CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,GNB,Kenneth Davis,DaviKe00,1986-09-07,1986,1,REG,0,8,36,0,4,1,5,0,0,0
2,GNB,Kenneth Davis,DaviKe00,1986-09-14,1986,2,REG,1,5,22,0,0,0,0,0,0,0
3,GNB,Kenneth Davis,DaviKe00,1986-09-22,1986,3,REG,1,9,8,0,3,2,32,0,0,0
4,GNB,Kenneth Davis,DaviKe00,1986-09-28,1986,4,REG,1,8,21,0,2,2,27,0,0,0
5,GNB,Kenneth Davis,DaviKe00,1986-10-05,1986,5,REG,0,2,3,0,2,1,0,0,0,0
6,GNB,Kenneth Davis,DaviKe00,1986-10-12,1986,6,REG,0,2,2,0,0,0,0,0,0,0
7,GNB,Kenneth Davis,DaviKe00,1986-10-19,1986,7,REG,0,10,65,0,1,1,7,0,0,0
8,GNB,Kenneth Davis,DaviKe00,1986-10-26,1986,8,REG,0,6,33,0,2,0,0,0,0,0
9,GNB,Kenneth Davis,DaviKe00,1986-11-02,1986,9,REG,0,10,39,0,1,0,0,0,0,0
10,GNB,Kenneth Davis,DaviKe00,1986-11-09,1986,10,REG,1,16,93,0,9,7,21,0,0,0
11,GNB,Kenneth Davis,DaviKe00,1986-11-16,1986,11,REG,1,11,59,0,2,1,5,0,0,0
12,GNB,Kenneth Davis,DaviKe00,1986-11-23,1986,12,REG,1,12,15,0,2,0,0,0,0,0
13,GNB,Kenneth Davis,DaviKe00,1986-11-27,1986,13,REG,0,0,0,0,0,0,0,0,0,0
14,GNB,Kenneth Davis,DaviKe00,1986-12-07,1986,14,REG,0,0,0,0,0,0,0,0,0,0
15,GNB,Kenneth Davis,DaviKe00,1986-12-14,1986,15,REG,0,7,31,0,0,0,0,0,0,0
16,GNB,Kenneth Davis,DaviKe00,1986-12-20,1986,16,REG,0,8,92,0,8,6,45,1,0,0
17,GNB,Kenneth Davis,DaviKe00,1987-09-13,1987,1,REG,1,8,40,0,2,1,1,0,0,0
18,GNB,Kenneth Davis,DaviKe00,1987-09-20,1987,2,REG,1,15,35,0,2,2,7,0,0,0
19,GNB,Kenneth Davis,DaviKe00,1987-10-25,1987,7,REG,1,23,129,2,1,1,35,0,0,0
20,GNB,Kenneth Davis,DaviKe00,1987-11-01,1987,8,REG,1,7,23,0,2,2,12,0,0,0
21,GNB,Kenneth Davis,DaviKe00,1987-11-08,1987,9,REG,1,11,5,0,7,3,11,0,0,0
22,GNB,Kenneth Davis,DaviKe00,1987-11-15,1987,10,REG,1,14,75,0,1,1,7,0,0,0
23,GNB,Kenneth Davis,DaviKe00,1987-11-22,1987,11,REG,1,4,12,0,1,0,0,0,0,0
24,GNB,Kenneth Davis,DaviKe00,1987-12-13,1987,14,REG,0,7,28,1,2,2,16,0,0,0
25,GNB,Kenneth Davis,DaviKe00,1987-12-19,1987,15,REG,0,9,34,0,4,1,9,0,0,0
26,GNB,Kenneth Davis,DaviKe00,1987-12-27,1987,16,REG,1,11,32,0,1,1,12,0,0,0
27,GNB,Kenneth Davis,DaviKe00,1988-09-04,1988,1,REG,1,3,3,0,4,1,5,0,0,0
28,GNB,Kenneth Davis,DaviKe00,1988-09-11,1988,2,REG,1,5,18,0,3,3,13,0,0,0
29,GNB,Kenneth Davis,DaviKe00,1988-09-18,1988,3,REG,1,3,17,0,3,3,26,0,0,0
30,GNB,Kenneth Davis,DaviKe00,1988-09-25,1988,4,REG,1,5,18,0,2,1,10,0,0,0
31,GNB,Kenneth Davis,DaviKe00,1988-10-02,1988,5,REG,1,4,1,0,2,1,8,0,0,0
32,GNB,Kenneth Davis,DaviKe00,1988-10-09,1988,6,REG,1,10,58,1,2,2,19,0,0,0
33,GNB,Kenneth Davis,DaviKe00,1988-10-16,1988,7,REG,1,2,-3,0,0,0,0,0,0,0
34,GNB,Kenneth Davis,DaviKe00,1988-12-11,1988,15,REG,0,6,9,0,0,0,0,0,0,0
35,GNB,Kenneth Davis,DaviKe00,1988-12-18,1988,16,REG,0,1,0,0,0,0,0,0,0,0
36,BUF,Kenneth Davis,DaviKe00,1989-09-10,1989,1,REG,0,0,0,0,0,0,0,0,0,0
37,BUF,Kenneth Davis,DaviKe00,1989-09-18,1989,2,REG,0,0,0,0,4,3,55,0,0,0
38,BUF,Kenneth Davis,DaviKe00,1989-09-24,1989,3,REG,0,0,0,0,0,0,0,0,0,0
39,BUF,Kenneth Davis,DaviKe00,1989-10-01,1989,4,REG,0,3,7,0,1,0,0,0,0,0
40,BUF,Kenneth Davis,DaviKe00,1989-10-08,1989,5,REG,0,2,-2,0,1,1,17,1,0,0
41,BUF,Kenneth Davis,DaviKe00,1989-10-16,1989,6,REG,0,0,0,0,0,0,0,0,0,0
42,BUF,Kenneth Davis,DaviKe00,1989-10-22,1989,7,REG,0,7,31,0,1,1,7,1,0,0
43,BUF,Kenneth Davis,DaviKe00,1989-10-29,1989,8,REG,0,2,9,0,0,0,0,0,0,0
44,BUF,Kenneth Davis,DaviKe00,1989-11-05,1989,9,REG,0,0,0,0,0,0,0,0,0,0
45,BUF,Kenneth Davis,DaviKe00,1989-11-12,1989,10,REG,0,7,59,0,0,0,0,0,0,0
46,BUF,Kenneth Davis,DaviKe00,1989-11-19,1989,11,REG,0,0,0,0,0,0,0,0,0,0
47,BUF,Kenneth Davis,DaviKe00,1989-11-26,1989,12,REG,0,2,12,0,1,1,13,0,0,0
48,BUF,Kenneth Davis,DaviKe00,1989-12-04,1989,13,REG,0,0,0,0,0,0,0,0,0,0
49,BUF,Kenneth Davis,DaviKe00,1989-12-10,1989,14,REG,0,1,0,0,0,0,0,0,0,0
50,BUF,Kenneth Davis,DaviKe00,1989-12-17,1989,15,REG,0,0,0,0,0,0,0,0,0,0
51,BUF,Kenneth Davis,DaviKe00,1989-12-23,1989,16,REG,0,5,33,1,0,0,0,0,0,0
52,BUF,Kenneth Davis,DaviKe00,1990-01-06,1989,18,POST,0,0,0,0,0,0,0,0,0,0
53,BUF,Kenneth Davis,DaviKe00,1990-09-09,1990,1,REG,0,0,0,0,0,0,0,0,0,0
54,BUF,Kenneth Davis,DaviKe00,1990-09-16,1990,2,REG,0,0,0,0,3,2,9,0,0,0
55,BUF,Kenneth Davis,DaviKe00,1990-09-24,1990,3,REG,0,7,31,1,0,0,0,0,0,0
56,BUF,Kenneth Davis,DaviKe00,1990-09-30,1990,4,REG,0,1,2,1,0,0,0,0,0,0
57,BUF,Kenneth Davis,DaviKe00,1990-10-07,1990,5,REG,0,2,4,0,0,0,0,0,0,0
0,BUF,Kenneth Davis,DaviKe00,,1990,6,BYE,0,0,0,0,0,0,0,0,0,0
58,BUF,Kenneth Davis,DaviKe00,1990-10-21,1990,7,REG,0,7,31,0,2,2,23,0,0,0
59,BUF,Kenneth Davis,DaviKe00,1990-10-28,1990,8,REG,0,0,0,0,0,0,0,0,0,0
60,BUF,Kenneth Davis,DaviKe00,1990-11-04,1990,9,REG,0,7,41,1,1,1,16,0,0,0
61,BUF,Kenneth Davis,DaviKe00,1990-11-11,1990,10,REG,0,12,47,1,0,0,0,0,0,0
62,BUF,Kenneth Davis,DaviKe00,1990-11-18,1990,11,REG,0,0,0,0,0,0,0,0,0,0
63,BUF,Kenneth Davis,DaviKe00,1990-11-26,1990,12,REG,0,2,9,0,0,0,0,0,0,0
64,BUF,Kenneth Davis,DaviKe00,1990-12-02,1990,13,REG,0,2,1,0,2,2,8,0,0,0
65,BUF,Kenneth Davis,DaviKe00,1990-12-09,1990,14,REG,0,10,57,0,0,0,0,0,0,0
66,BUF,Kenneth Davis,DaviKe00,1990-12-15,1990,15,REG,0,0,0,0,0,0,0,0,0,0
67,BUF,Kenneth Davis,DaviKe00,1990-12-23,1990,16,REG,0,8,30,0,1,1,9,0,0,0
68,BUF,Kenneth Davis,DaviKe00,1990-12-30,1990,17,REG,0,6,49,0,1,1,13,1,0,0
69,BUF,Kenneth Davis,DaviKe00,1991-01-12,1990,19,POST,0,0,0,0,1,1,3,0,0,0
70,BUF,Kenneth Davis,DaviKe00,1991-01-20,1990,20,POST,0,10,21,3,0,0,0,0,0,0
71,BUF,Kenneth Davis,DaviKe00,1991-01-27,1990,21,POST,0,2,4,0,2,2,23,0,0,0
72,BUF,Kenneth Davis,DaviKe00,1991-09-01,1991,1,REG,0,1,4,0,0,0,0,0,0,0
73,BUF,Kenneth Davis,DaviKe00,1991-09-08,1991,2,REG,0,17,56,0,1,1,-3,0,0,0
74,BUF,Kenneth Davis,DaviKe00,1991-09-15,1991,3,REG,0,1,1,0,2,2,5,0,0,0
75,BUF,Kenneth Davis,DaviKe00,1991-09-22,1991,4,REG,0,0,0,0,0,0,0,0,0,0
76,BUF,Kenneth Davis,DaviKe00,1991-09-29,1991,5,REG,0,5,25,0,0,0,0,0,0,0
77,BUF,Kenneth Davis,DaviKe00,1991-10-07,1991,6,REG,0,1,14,0,1,1,-2,0,0,0
78,BUF,Kenneth Davis,DaviKe00,1991-10-13,1991,7,REG,0,9,108,1,0,0,0,0,0,0
79,BUF,Kenneth Davis,DaviKe00,1991-10-21,1991,8,REG,0,1,2,0,0,0,0,0,0,0
0,BUF,Kenneth Davis,DaviKe00,,1991,9,BYE,0,0,0,0,0,0,0,0,0,0
80,BUF,Kenneth Davis,DaviKe00,1991-11-03,1991,10,REG,0,4,13,0,1,1,11,0,0,0
81,BUF,Kenneth Davis,DaviKe00,1991-11-10,1991,11,REG,0,5,19,0,1,1,6,0,0,0
82,BUF,Kenneth Davis,DaviKe00,1991-11-18,1991,12,REG,0,25,98,0,3,3,20,0,0,0
83,BUF,Kenneth Davis,DaviKe00,1991-11-24,1991,13,REG,0,4,51,0,3,3,17,0,0,0
84,BUF,Kenneth Davis,DaviKe00,1991-12-01,1991,14,REG,0,5,13,1,0,0,0,0,0,0
85,BUF,Kenneth Davis,DaviKe00,1991-12-08,1991,15,REG,0,4,12,1,0,0,0,0,0,0
86,BUF,Kenneth Davis,DaviKe00,1991-12-15,1991,16,REG,0,22,90,1,4,3,33,1,0,0
87,BUF,Kenneth Davis,DaviKe00,1991-12-22,1991,17,REG,1,25,118,0,7,5,31,0,0,0
88,BUF,Kenneth Davis,DaviKe00,1992-01-05,1991,19,POST,0,19,75,1,0,0,0,0,0,0
89,BUF,Kenneth Davis,DaviKe00,1992-01-12,1991,20,POST,0,6,7,0,2,2,13,0,0,0
90,BUF,Kenneth Davis,DaviKe00,1992-01-26,1991,21,POST,1,4,17,0,6,4,38,0,0,0
91,BUF,Kenneth Davis,DaviKe00,1992-09-06,1992,1,REG,0,5,44,0,2,2,13,0,0,0
92,BUF,Kenneth Davis,DaviKe00,1992-09-13,1992,2,REG,0,5,11,0,0,0,0,0,0,0
93,BUF,Kenneth Davis,DaviKe00,1992-09-20,1992,3,REG,0,12,64,0,1,1,15,0,0,0
94,BUF,Kenneth Davis,DaviKe00,1992-09-27,1992,4,REG,0,10,39,0,0,0,0,0,0,0
95,BUF,Kenneth Davis,DaviKe00,1992-10-04,1992,5,REG,0,6,19,0,0,0,0,0,0,0
96,BUF,Kenneth Davis,DaviKe00,1992-10-11,1992,6,REG,0,9,30,0,2,2,-4,0,0,0
0,BUF,Kenneth Davis,DaviKe00,,1992,7,BYE,0,0,0,0,0,0,0,0,0,0
97,BUF,Kenneth Davis,DaviKe00,1992-10-26,1992,8,REG,0,4,22,1,0,0,0,0,0,0
98,BUF,Kenneth Davis,DaviKe00,1992-11-01,1992,9,REG,0,16,41,0,8,6,44,0,0,0
99,BUF,Kenneth Davis,DaviKe00,1992-11-08,1992,10,REG,0,4,16,0,1,1,4,0,0,0
100,BUF,Kenneth Davis,DaviKe00,1992-11-16,1992,11,REG,0,9,27,2,0,0,0,0,0,0
101,BUF,Kenneth Davis,DaviKe00,1992-11-22,1992,12,REG,0,20,181,2,1,1,4,0,0,0
102,BUF,Kenneth Davis,DaviKe00,1992-11-29,1992,13,REG,0,6,28,0,0,0,0,0,0,0
103,BUF,Kenneth Davis,DaviKe00,1992-12-06,1992,14,REG,0,9,19,1,2,2,4,0,0,0
104,BUF,Kenneth Davis,DaviKe00,1992-12-12,1992,15,REG,0,6,9,0,0,0,0,0,0,0
105,BUF,Kenneth Davis,DaviKe00,1992-12-20,1992,16,REG,0,8,26,0,0,0,0,0,0,0
106,BUF,Kenneth Davis,DaviKe00,1992-12-27,1992,17,REG,0,10,37,0,1,0,0,0,0,0
107,BUF,Kenneth Davis,DaviKe00,1993-01-03,1992,18,POST,0,13,68,1,3,2,25,0,0,0
108,BUF,Kenneth Davis,DaviKe00,1993-01-09,1992,19,POST,0,10,104,0,0,0,0,0,0,0
109,BUF,Kenneth Davis,DaviKe00,1993-01-17,1992,20,POST,0,19,61,1,4,4,52,0,0,0
110,BUF,Kenneth Davis,DaviKe00,1993-01-31,1992,21,POST,0,15,86,0,4,3,16,0,0,0
111,BUF,Kenneth Davis,DaviKe00,1993-09-05,1993,1,REG,0,5,14,0,0,0,0,0,0,0
112,BUF,Kenneth Davis,DaviKe00,1993-09-12,1993,2,REG,0,6,9,0,1,1,6,0,0,0
0,BUF,Kenneth Davis,DaviKe00,,1993,3,BYE,0,0,0,0,0,0,0,0,0,0
113,BUF,Kenneth Davis,DaviKe00,1993-09-26,1993,4,REG,0,6,32,0,6,4,12,0,0,0
114,BUF,Kenneth Davis,DaviKe00,1993-10-03,1993,5,REG,0,5,17,0,0,0,0,0,0,0
115,BUF,Kenneth Davis,DaviKe00,1993-10-11,1993,6,REG,0,16,45,1,0,0,0,0,0,0
0,BUF,Kenneth Davis,DaviKe00,,1993,7,BYE,0,0,0,0,0,0,0,0,0,0
116,BUF,Kenneth Davis,DaviKe00,1993-10-24,1993,8,REG,0,10,58,0,3,3,12,0,0,0
117,BUF,Kenneth Davis,DaviKe00,1993-11-01,1993,9,REG,0,6,11,0,2,2,0,0,0,0
118,BUF,Kenneth Davis,DaviKe00,1993-11-07,1993,10,REG,0,3,6,0,1,1,0,0,0,0
119,BUF,Kenneth Davis,DaviKe00,1993-11-15,1993,11,REG,0,0,0,0,1,1,3,0,0,0
120,BUF,Kenneth Davis,DaviKe00,1993-11-21,1993,12,REG,0,6,17,1,1,1,3,0,0,0
121,BUF,Kenneth Davis,DaviKe00,1993-11-28,1993,13,REG,0,2,9,1,1,1,3,0,0,0
122,BUF,Kenneth Davis,DaviKe00,1993-12-05,1993,14,REG,0,1,0,0,0,0,0,0,0,0
123,BUF,Kenneth Davis,DaviKe00,1993-12-12,1993,15,REG,0,18,70,0,4,3,5,0,0,0
124,BUF,Kenneth Davis,DaviKe00,1993-12-19,1993,16,REG,0,13,64,3,0,0,0,0,0,0
125,BUF,Kenneth Davis,DaviKe00,1993-12-26,1993,17,REG,0,7,21,0,3,3,53,0,0,0
126,BUF,Kenneth Davis,DaviKe00,1994-01-02,1993,18,REG,0,5,18,0,1,1,-2,0,0,0
127,BUF,Kenneth Davis,DaviKe00,1994-01-15,1993,20,POST,0,11,36,1,2,1,16,0,0,0
128,BUF,Kenneth Davis,DaviKe00,1994-01-23,1993,21,POST,0,10,32,0,0,0,0,0,0,0
129,BUF,Kenneth Davis,DaviKe00,1994-01-30,1993,22,POST,0,9,38,0,5,3,-5,0,0,0
130,BUF,Kenneth Davis,DaviKe00,1994-09-04,1994,1,REG,0,1,4,0,0,0,0,0,0,0
131,BUF,Kenneth Davis,DaviKe00,1994-09-11,1994,2,REG,0,6,21,0,0,0,0,0,0,0
132,BUF,Kenneth Davis,DaviKe00,1994-09-18,1994,3,REG,0,0,0,0,1,1,-3,0,0,0
133,BUF,Kenneth Davis,DaviKe00,1994-09-26,1994,4,REG,0,15,45,0,4,3,20,0,0,0
134,BUF,Kenneth Davis,DaviKe00,1994-10-02,1994,5,REG,1,18,78,0,10,7,23,0,0,0
135,BUF,Kenneth Davis,DaviKe00,1994-10-09,1994,6,REG,0,7,35,1,1,1,12,0,0,0
136,BUF,Kenneth Davis,DaviKe00,1994-10-16,1994,7,REG,0,4,16,1,0,0,0,0,0,0
0,BUF,Kenneth Davis,DaviKe00,,1994,8,BYE,0,0,0,0,0,0,0,0,0,0
137,BUF,Kenneth Davis,DaviKe00,1994-10-30,1994,9,REG,0,11,83,0,0,0,0,0,0,0
138,BUF,Kenneth Davis,DaviKe00,1994-11-06,1994,10,REG,0,4,25,0,1,1,7,0,0,0
139,BUF,Kenneth Davis,DaviKe00,1994-11-14,1994,11,REG,0,2,0,0,1,1,4,0,0,0
140,BUF,Kenneth Davis,DaviKe00,1994-11-20,1994,12,REG,0,2,9,0,0,0,0,0,0,0
141,BUF,Kenneth Davis,DaviKe00,1994-11-24,1994,13,REG,0,3,1,0,1,0,0,0,0,0
