CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp,SUSP,INJ,Game Status,Injuries
1,CLE,Kevin Mack,MackKe00,1985-09-08,1985,1,REG,1,9,48,1,2,2,7,0,0,0,0,0,nan,nan
2,CLE,Kevin Mack,MackKe00,1985-09-16,1985,2,REG,1,12,40,0,5,4,54,0,0,0,0,0,nan,nan
3,CLE,Kevin Mack,MackKe00,1985-09-22,1985,3,REG,0,10,23,0,2,2,38,0,0,0,0,0,nan,nan
4,CLE,Kevin Mack,MackKe00,1985-09-29,1985,4,REG,1,16,130,1,7,7,49,1,0,0,0,0,nan,nan
5,CLE,Kevin Mack,MackKe00,1985-10-06,1985,5,REG,1,20,115,1,6,5,85,0,0,0,0,0,nan,nan
6,CLE,Kevin Mack,MackKe00,1985-10-13,1985,6,REG,1,20,91,1,0,0,0,0,0,0,0,0,nan,nan
7,CLE,Kevin Mack,MackKe00,1985-10-20,1985,7,REG,1,19,56,0,3,2,22,1,0,0,0,0,nan,nan
8,CLE,Kevin Mack,MackKe00,1985-10-27,1985,8,REG,1,13,60,0,1,1,19,0,0,0,0,0,nan,nan
9,CLE,Kevin Mack,MackKe00,1985-11-03,1985,9,REG,1,11,30,0,1,1,0,0,0,0,0,0,nan,nan
10,CLE,Kevin Mack,MackKe00,1985-11-10,1985,10,REG,1,9,88,0,0,0,0,0,0,0,0,0,nan,nan
11,CLE,Kevin Mack,MackKe00,1985-11-17,1985,11,REG,1,21,94,0,3,1,6,0,0,0,0,0,nan,nan
12,CLE,Kevin Mack,MackKe00,1985-11-24,1985,12,REG,1,14,117,2,1,0,0,0,0,0,0,0,nan,nan
13,CLE,Kevin Mack,MackKe00,1985-12-01,1985,13,REG,1,14,66,1,5,2,8,0,0,0,0,0,nan,nan
14,CLE,Kevin Mack,MackKe00,1985-12-08,1985,14,REG,1,9,44,0,1,1,4,0,0,0,0,0,nan,nan
15,CLE,Kevin Mack,MackKe00,1985-12-15,1985,15,REG,1,13,72,0,2,1,5,1,0,0,0,0,nan,nan
