CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,MIA,Lamar Miller,MillLa01,2012-09-09,2012,1,DNP,0,0,0,0,0,0,0,0,0,0
1,MIA,Lamar Miller,MillLa01,2012-09-16,2012,2,REG,0,10,65,1,0,0,0,0,23,4
2,MIA,Lamar Miller,MillLa01,2012-09-23,2012,3,REG,0,9,48,0,0,0,0,0,17,2
3,MIA,Lamar Miller,MillLa01,2012-09-30,2012,4,REG,0,4,13,0,0,0,0,0,8,0
4,MIA,Lamar Miller,MillLa01,2012-10-07,2012,5,REG,0,0,0,0,0,0,0,0,0,2
5,MIA,Lamar Miller,MillLa01,2012-10-14,2012,6,REG,0,0,0,0,0,0,0,0,4,8
0,MIA,Lamar Miller,MillLa01,1970-01-01,2012,7,BYE,0,0,0,0,0,0,0,0,0,0
0,MIA,Lamar Miller,MillLa01,2012-10-28,2012,8,DNP,0,0,0,0,0,0,0,0,0,0
6,MIA,Lamar Miller,MillLa01,2012-11-04,2012,9,REG,0,1,7,0,0,0,0,0,2,0
7,MIA,Lamar Miller,MillLa01,2012-11-11,2012,10,REG,0,3,12,0,3,2,13,0,14,4
8,MIA,Lamar Miller,MillLa01,2012-11-15,2012,11,REG,0,0,0,0,0,0,0,0,0,6
0,MIA,Lamar Miller,MillLa01,2012-11-25,2012,12,DNP,0,0,0,0,0,0,0,0,0,0
9,MIA,Lamar Miller,MillLa01,2012-12-02,2012,13,REG,0,0,0,0,0,0,0,0,0,4
10,MIA,Lamar Miller,MillLa01,2012-12-09,2012,14,REG,1,3,1,0,1,1,8,0,7,3
11,MIA,Lamar Miller,MillLa01,2012-12-16,2012,15,REG,0,6,18,0,1,1,2,0,18,6
12,MIA,Lamar Miller,MillLa01,2012-12-23,2012,16,REG,0,10,73,0,1,0,0,0,26,0
13,MIA,Lamar Miller,MillLa01,2012-12-30,2012,17,REG,0,5,13,0,2,2,22,0,24,0
14,MIA,Lamar Miller,MillLa01,2013-09-08,2013,1,REG,1,10,3,0,1,1,7,0,36,0
15,MIA,Lamar Miller,MillLa01,2013-09-15,2013,2,REG,1,14,69,1,2,2,6,0,31,0
16,MIA,Lamar Miller,MillLa01,2013-09-22,2013,3,REG,1,8,62,0,3,1,2,0,26,1
17,MIA,Lamar Miller,MillLa01,2013-09-30,2013,4,REG,1,11,62,1,3,1,6,0,34,0
18,MIA,Lamar Miller,MillLa01,2013-10-06,2013,5,REG,1,7,15,0,0,0,0,0,44,0
0,MIA,Lamar Miller,MillLa01,1970-01-01,2013,6,BYE,0,0,0,0,0,0,0,0,0,0
19,MIA,Lamar Miller,MillLa01,2013-10-20,2013,7,REG,0,9,43,0,3,1,4,0,33,0
20,MIA,Lamar Miller,MillLa01,2013-10-27,2013,8,REG,1,18,89,0,3,3,23,0,50,0
21,MIA,Lamar Miller,MillLa01,2013-10-31,2013,9,REG,1,16,105,0,4,4,24,0,39,0
22,MIA,Lamar Miller,MillLa01,2013-11-11,2013,10,REG,1,7,2,0,3,2,9,0,43,0
23,MIA,Lamar Miller,MillLa01,2013-11-17,2013,11,REG,1,4,17,0,2,2,20,0,38,0
24,MIA,Lamar Miller,MillLa01,2013-11-24,2013,12,REG,1,10,8,0,4,4,39,0,50,0
25,MIA,Lamar Miller,MillLa01,2013-12-01,2013,13,REG,1,22,72,0,1,1,13,0,65,0
26,MIA,Lamar Miller,MillLa01,2013-12-08,2013,14,REG,1,6,20,0,4,2,13,0,20,0
27,MIA,Lamar Miller,MillLa01,2013-12-15,2013,15,REG,1,15,61,0,1,1,0,0,39,0
28,MIA,Lamar Miller,MillLa01,2013-12-22,2013,16,REG,1,3,8,0,0,0,0,0,18,0
29,MIA,Lamar Miller,MillLa01,2013-12-29,2013,17,REG,1,17,73,0,1,1,4,0,57,0
30,MIA,Lamar Miller,MillLa01,2014-09-07,2014,1,REG,1,11,59,0,5,4,19,1,28,0
31,MIA,Lamar Miller,MillLa01,2014-09-14,2014,2,REG,1,11,46,0,5,2,7,0,52,0
32,MIA,Lamar Miller,MillLa01,2014-09-21,2014,3,REG,1,15,108,0,5,4,24,0,54,0
