CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp,SUSP,INJ,Game Status,Injuries
0,SEA,Lamar Smith,SmitLa00,1994-09-04,1994,1,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
0,SEA,Lamar Smith,SmitLa00,1994-09-11,1994,2,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
0,SEA,Lamar Smith,SmitLa00,1994-09-18,1994,3,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
1,SEA,Lamar Smith,SmitLa00,1994-09-25,1994,4,REG,0,2,-1,0,0,0,0,0,0,0,0,0,nan,nan
0,SEA,Lamar Smith,SmitLa00,1994-10-02,1994,5,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,SEA,Lamar Smith,SmitLa00,1994-10-09,1994,6,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,SEA,Lamar Smith,SmitLa00,1970-01-01,1994,7,BYE,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,SEA,Lamar Smith,SmitLa00,1994-10-23,1994,8,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,SEA,Lamar Smith,SmitLa00,1994-10-30,1994,9,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,SEA,Lamar Smith,SmitLa00,1994-11-06,1994,10,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
2,SEA,Lamar Smith,SmitLa00,1994-11-13,1994,11,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
0,SEA,Lamar Smith,SmitLa00,1994-11-20,1994,12,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,SEA,Lamar Smith,SmitLa00,1994-11-27,1994,13,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,SEA,Lamar Smith,SmitLa00,1994-12-04,1994,14,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,SEA,Lamar Smith,SmitLa00,1994-12-11,1994,15,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,SEA,Lamar Smith,SmitLa00,1994-12-18,1994,16,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,SEA,Lamar Smith,SmitLa00,1994-12-24,1994,17,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,SEA,Lamar Smith,SmitLa00,1995-09-03,1995,1,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
0,SEA,Lamar Smith,SmitLa00,1995-09-10,1995,2,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
3,SEA,Lamar Smith,SmitLa00,1995-09-17,1995,3,REG,0,1,2,0,0,0,0,0,0,0,0,0,nan,nan
0,SEA,Lamar Smith,SmitLa00,1970-01-01,1995,4,BYE,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
4,SEA,Lamar Smith,SmitLa00,1995-10-01,1995,5,REG,0,6,21,0,0,0,0,0,0,0,0,0,nan,nan
5,SEA,Lamar Smith,SmitLa00,1995-10-08,1995,6,REG,0,0,0,0,1,0,0,0,0,0,0,0,nan,nan
6,SEA,Lamar Smith,SmitLa00,1995-10-15,1995,7,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
7,SEA,Lamar Smith,SmitLa00,1995-10-22,1995,8,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
8,SEA,Lamar Smith,SmitLa00,1995-10-29,1995,9,REG,0,3,85,0,0,0,0,0,0,0,0,0,nan,nan
9,SEA,Lamar Smith,SmitLa00,1995-11-05,1995,10,REG,0,19,84,0,1,1,10,0,0,0,0,0,nan,nan
10,SEA,Lamar Smith,SmitLa00,1995-11-12,1995,11,REG,0,2,5,0,0,0,0,0,0,0,0,0,nan,nan
0,SEA,Lamar Smith,SmitLa00,1995-11-19,1995,12,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
0,SEA,Lamar Smith,SmitLa00,1995-11-26,1995,13,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
11,SEA,Lamar Smith,SmitLa00,1995-12-03,1995,14,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
12,SEA,Lamar Smith,SmitLa00,1995-12-10,1995,15,REG,0,1,3,0,0,0,0,0,0,0,0,0,nan,nan
13,SEA,Lamar Smith,SmitLa00,1995-12-17,1995,16,REG,0,4,15,0,0,0,0,0,0,0,0,0,nan,nan
14,SEA,Lamar Smith,SmitLa00,1995-12-24,1995,17,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
15,SEA,Lamar Smith,SmitLa00,1996-09-01,1996,1,REG,0,1,4,0,0,0,0,0,0,0,0,0,nan,nan
16,SEA,Lamar Smith,SmitLa00,1996-09-08,1996,2,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
17,SEA,Lamar Smith,SmitLa00,1996-09-15,1996,3,REG,0,8,73,1,2,1,6,0,0,0,0,0,nan,nan
18,SEA,Lamar Smith,SmitLa00,1996-09-22,1996,4,REG,0,7,32,1,1,1,-2,0,0,0,0,0,nan,nan
19,SEA,Lamar Smith,SmitLa00,1996-09-29,1996,5,REG,0,2,5,0,0,0,0,0,0,0,0,0,nan,nan
