CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp,SUSP,INJ,Game Status,Injuries
0,PHO,Larry Centers,CentLa00,1990-09-09,1990,1,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,PHO,Larry Centers,CentLa00,1990-09-16,1990,2,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,PHO,Larry Centers,CentLa00,1990-09-23,1990,3,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,PHO,Larry Centers,CentLa00,1990-09-30,1990,4,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,PHO,Larry Centers,CentLa00,1970-01-01,1990,5,BYE,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,PHO,Larry Centers,CentLa00,1990-10-14,1990,6,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,PHO,Larry Centers,CentLa00,1990-10-21,1990,7,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,PHO,Larry Centers,CentLa00,1990-10-28,1990,8,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
1,PHO,Larry Centers,CentLa00,1990-11-04,1990,9,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
2,PHO,Larry Centers,CentLa00,1990-11-11,1990,10,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
0,PHO,Larry Centers,CentLa00,1990-11-18,1990,11,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
0,PHO,Larry Centers,CentLa00,1990-11-25,1990,12,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
0,PHO,Larry Centers,CentLa00,1990-12-02,1990,13,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
3,PHO,Larry Centers,CentLa00,1990-12-09,1990,14,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
4,PHO,Larry Centers,CentLa00,1990-12-16,1990,15,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
5,PHO,Larry Centers,CentLa00,1990-12-23,1990,16,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
6,PHO,Larry Centers,CentLa00,1990-12-29,1990,17,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
7,PHO,Larry Centers,CentLa00,1991-09-01,1991,1,REG,0,1,1,0,0,0,0,0,0,0,0,0,nan,nan
8,PHO,Larry Centers,CentLa00,1991-09-08,1991,2,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
0,PHO,Larry Centers,CentLa00,1991-09-15,1991,3,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,PHO,Larry Centers,CentLa00,1991-09-22,1991,4,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,PHO,Larry Centers,CentLa00,1991-09-29,1991,5,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,PHO,Larry Centers,CentLa00,1991-10-06,1991,6,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,PHO,Larry Centers,CentLa00,1991-10-13,1991,7,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,PHO,Larry Centers,CentLa00,1991-10-20,1991,8,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,PHO,Larry Centers,CentLa00,1991-10-27,1991,9,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
9,PHO,Larry Centers,CentLa00,1991-11-03,1991,10,REG,0,1,6,0,6,4,28,0,0,0,0,0,nan,nan
10,PHO,Larry Centers,CentLa00,1991-11-10,1991,11,REG,0,2,10,0,3,3,48,0,0,0,0,0,nan,nan
11,PHO,Larry Centers,CentLa00,1991-11-17,1991,12,REG,0,0,0,0,1,1,4,0,0,0,0,0,nan,nan
12,PHO,Larry Centers,CentLa00,1991-11-24,1991,13,REG,0,0,0,0,3,3,37,0,0,0,0,0,nan,nan
0,PHO,Larry Centers,CentLa00,1970-01-01,1991,14,BYE,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
13,PHO,Larry Centers,CentLa00,1991-12-08,1991,15,REG,1,7,16,0,3,2,7,0,0,0,0,0,nan,nan
14,PHO,Larry Centers,CentLa00,1991-12-15,1991,16,REG,0,2,9,0,1,1,11,0,0,0,0,0,nan,nan
15,PHO,Larry Centers,CentLa00,1991-12-22,1991,17,REG,1,1,2,0,6,5,41,0,0,0,0,0,nan,nan
16,PHO,Larry Centers,CentLa00,1992-09-06,1992,1,REG,0,1,-4,0,3,3,15,0,0,0,0,0,nan,nan
17,PHO,Larry Centers,CentLa00,1992-09-13,1992,2,REG,0,1,28,0,2,1,0,0,0,0,0,0,nan,nan
18,PHO,Larry Centers,CentLa00,1992-09-20,1992,3,REG,0,1,2,0,7,7,64,0,0,0,0,0,nan,nan
0,PHO,Larry Centers,CentLa00,1970-01-01,1992,4,BYE,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
19,PHO,Larry Centers,CentLa00,1992-10-04,1992,5,REG,0,0,0,0,5,5,36,1,0,0,0,0,nan,nan
20,PHO,Larry Centers,CentLa00,1992-10-11,1992,6,REG,0,1,10,0,5,3,27,0,0,0,0,0,nan,nan
21,PHO,Larry Centers,CentLa00,1992-10-18,1992,7,REG,0,4,17,0,2,1,3,0,0,0,0,0,nan,nan
22,PHO,Larry Centers,CentLa00,1992-10-25,1992,8,REG,1,14,30,0,3,2,12,0,0,0,0,0,nan,nan
23,PHO,Larry Centers,CentLa00,1992-11-01,1992,9,REG,0,1,4,0,2,2,5,0,0,0,0,0,nan,nan
24,PHO,Larry Centers,CentLa00,1992-11-08,1992,10,REG,0,0,0,0,2,1,7,0,0,0,0,0,nan,nan
25,PHO,Larry Centers,CentLa00,1992-11-15,1992,11,REG,0,1,-2,0,1,1,2,0,0,0,0,0,nan,nan
26,PHO,Larry Centers,CentLa00,1992-11-22,1992,12,REG,0,0,0,0,5,5,28,1,0,0,0,0,nan,nan
27,PHO,Larry Centers,CentLa00,1992-11-29,1992,13,REG,0,3,3,0,8,7,63,0,0,0,0,0,nan,nan
28,PHO,Larry Centers,CentLa00,1992-12-06,1992,14,REG,0,6,30,0,4,4,58,0,0,0,0,0,nan,nan
29,PHO,Larry Centers,CentLa00,1992-12-12,1992,15,REG,0,2,3,0,1,0,0,0,0,0,0,0,nan,nan
30,PHO,Larry Centers,CentLa00,1992-12-20,1992,16,REG,0,0,0,0,1,1,10,0,0,0,0,0,nan,nan
31,PHO,Larry Centers,CentLa00,1992-12-27,1992,17,REG,0,2,18,0,8,7,87,0,0,0,0,0,nan,nan
32,PHO,Larry Centers,CentLa00,1993-09-05,1993,1,REG,1,0,0,0,5,3,49,1,0,0,0,0,nan,nan
33,PHO,Larry Centers,CentLa00,1993-09-12,1993,2,REG,0,0,0,0,3,3,1,0,0,0,0,0,nan,nan
34,PHO,Larry Centers,CentLa00,1993-09-19,1993,3,REG,0,0,0,0,2,2,14,0,0,0,0,0,nan,nan
35,PHO,Larry Centers,CentLa00,1993-09-26,1993,4,REG,0,0,0,0,3,3,38,0,0,0,0,0,nan,nan
