CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp,SUSP,INJ,Game Status,Injuries
1,CIN,Larry Kinnebrew,KinnLa00,1983-09-04,1983,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
2,CIN,Larry Kinnebrew,KinnLa00,1983-09-11,1983,2,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
3,CIN,Larry Kinnebrew,KinnLa00,1983-09-15,1983,3,REG,0,4,19,1,2,2,4,0,0,0,0,0,nan,nan
4,CIN,Larry Kinnebrew,KinnLa00,1983-09-25,1983,4,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
5,CIN,Larry Kinnebrew,KinnLa00,1983-10-02,1983,5,REG,0,6,21,0,1,0,0,0,0,0,0,0,nan,nan
6,CIN,Larry Kinnebrew,KinnLa00,1983-10-10,1983,6,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
7,CIN,Larry Kinnebrew,KinnLa00,1983-10-16,1983,7,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
8,CIN,Larry Kinnebrew,KinnLa00,1983-10-23,1983,8,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
9,CIN,Larry Kinnebrew,KinnLa00,1983-10-30,1983,9,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
10,CIN,Larry Kinnebrew,KinnLa00,1983-11-06,1983,10,REG,0,10,33,1,0,0,0,0,0,0,0,0,nan,nan
11,CIN,Larry Kinnebrew,KinnLa00,1983-11-13,1983,11,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
12,CIN,Larry Kinnebrew,KinnLa00,1983-11-20,1983,12,REG,0,6,19,0,0,0,0,0,0,0,0,0,nan,nan
13,CIN,Larry Kinnebrew,KinnLa00,1983-11-28,1983,13,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
14,CIN,Larry Kinnebrew,KinnLa00,1983-12-04,1983,14,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
15,CIN,Larry Kinnebrew,KinnLa00,1983-12-11,1983,15,REG,0,2,5,0,0,0,0,0,0,0,0,0,nan,nan
16,CIN,Larry Kinnebrew,KinnLa00,1983-12-17,1983,16,REG,0,11,59,1,0,0,0,0,0,0,0,0,nan,nan
17,CIN,Larry Kinnebrew,KinnLa00,1984-09-02,1984,1,REG,0,8,12,1,1,1,4,0,0,0,0,0,nan,nan
18,CIN,Larry Kinnebrew,KinnLa00,1984-09-09,1984,2,REG,0,3,15,0,1,1,4,0,0,0,0,0,nan,nan
19,CIN,Larry Kinnebrew,KinnLa00,1984-09-16,1984,3,REG,0,6,55,0,5,4,31,0,0,0,0,0,nan,nan
20,CIN,Larry Kinnebrew,KinnLa00,1984-09-23,1984,4,REG,0,6,21,1,1,0,0,0,0,0,0,0,nan,nan
21,CIN,Larry Kinnebrew,KinnLa00,1984-10-01,1984,5,REG,0,1,0,0,1,1,9,0,0,0,0,0,nan,nan
