CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp,SUSP,INJ,Game Status,Injuries
1,NWE,Leonard Russell,RussLe00,1991-09-01,1991,1,REG,1,24,72,0,1,1,7,0,0,0,0,0,,
2,NWE,Leonard Russell,RussLe00,1991-09-08,1991,2,REG,1,12,60,0,3,2,-8,0,0,0,0,0,,
3,NWE,Leonard Russell,RussLe00,1991-09-15,1991,3,REG,1,16,47,0,2,1,18,0,0,0,0,0,,
4,NWE,Leonard Russell,RussLe00,1991-09-22,1991,4,REG,1,19,85,1,1,1,5,0,0,0,0,0,,
5,NWE,Leonard Russell,RussLe00,1991-09-29,1991,5,REG,1,3,7,0,0,0,0,0,0,0,0,0,,
6,NWE,Leonard Russell,RussLe00,1991-10-06,1991,6,REG,1,2,4,0,0,0,0,0,0,0,0,0,,
0,NWE,Leonard Russell,RussLe00,,1991,7,BYE,0,0,0,0,0,0,0,0,0,0,0,0,,
7,NWE,Leonard Russell,RussLe00,1991-10-20,1991,8,REG,0,25,78,1,2,1,9,0,0,0,0,0,,
8,NWE,Leonard Russell,RussLe00,1991-10-27,1991,9,REG,1,17,89,0,3,2,9,0,0,0,0,0,,
9,NWE,Leonard Russell,RussLe00,1991-11-03,1991,10,REG,1,27,106,2,2,2,7,0,0,0,0,0,,
10,NWE,Leonard Russell,RussLe00,1991-11-10,1991,11,REG,1,19,57,0,2,2,14,0,0,0,0,0,,
11,NWE,Leonard Russell,RussLe00,1991-11-17,1991,12,REG,1,8,5,0,1,1,0,0,0,0,0,0,,
12,NWE,Leonard Russell,RussLe00,1991-11-24,1991,13,REG,1,19,69,0,0,0,0,0,0,0,0,0,,
13,NWE,Leonard Russell,RussLe00,1991-12-01,1991,14,REG,1,14,41,0,1,0,0,0,0,0,0,0,,
14,NWE,Leonard Russell,RussLe00,1991-12-08,1991,15,REG,1,20,82,0,2,1,1,0,0,0,0,0,,
15,NWE,Leonard Russell,RussLe00,1991-12-15,1991,16,REG,1,26,112,0,4,3,10,0,0,0,0,0,,
16,NWE,Leonard Russell,RussLe00,1991-12-22,1991,17,REG,1,15,45,0,2,1,9,0,0,0,0,0,,
0,NWE,Leonard Russell,RussLe00,,1992,1,BYE,0,0,0,0,0,0,0,0,0,0,0,0,,
17,NWE,Leonard Russell,RussLe00,1992-09-13,1992,2,REG,1,18,71,0,4,4,9,0,0,0,0,0,,
18,NWE,Leonard Russell,RussLe00,1992-09-20,1992,3,REG,1,18,81,0,3,3,5,0,0,0,0,0,,
19,NWE,Leonard Russell,RussLe00,1992-09-27,1992,4,REG,1,18,59,0,1,1,-3,0,0,0,0,0,,
20,NWE,Leonard Russell,RussLe00,1992-10-04,1992,5,REG,1,9,15,0,3,2,6,0,0,0,0,0,,
0,NWE,Leonard Russell,RussLe00,1992-10-11,1992,6,DNP,0,0,0,0,0,0,0,0,0,0,0,0,,
21,NWE,Leonard Russell,RussLe00,1992-10-18,1992,7,REG,1,6,10,0,1,0,0,0,0,0,0,0,,
22,NWE,Leonard Russell,RussLe00,1992-10-25,1992,8,REG,1,8,9,0,0,0,0,0,0,0,0,0,,
23,NWE,Leonard Russell,RussLe00,1992-11-01,1992,9,REG,1,15,40,0,2,1,7,0,0,0,0,0,,
24,NWE,Leonard Russell,RussLe00,1992-11-08,1992,10,REG,1,10,31,1,0,0,0,0,0,0,0,0,,
0,NWE,Leonard Russell,RussLe00,1992-11-15,1992,11,DNP,0,0,0,0,0,0,0,0,0,0,0,0,,
0,NWE,Leonard Russell,RussLe00,1992-11-22,1992,12,DNP,0,0,0,0,0,0,0,0,0,0,0,0,,
25,NWE,Leonard Russell,RussLe00,1992-11-29,1992,13,REG,0,0,0,0,0,0,0,0,0,0,0,0,,
26,NWE,Leonard Russell,RussLe00,1992-12-06,1992,14,REG,1,11,39,0,0,0,0,0,0,0,0,0,,
27,NWE,Leonard Russell,RussLe00,1992-12-13,1992,15,REG,1,10,35,1,0,0,0,0,0,0,0,0,,
0,NWE,Leonard Russell,RussLe00,1992-12-20,1992,16,DNP,0,0,0,0,0,0,0,0,0,0,0,0,,
0,NWE,Leonard Russell,RussLe00,1992-12-27,1992,17,DNP,0,0,0,0,0,0,0,0,0,0,0,0,,
28,NWE,Leonard Russell,RussLe00,1993-09-05,1993,1,REG,1,23,81,0,7,4,20,0,0,0,0,0,,
29,NWE,Leonard Russell,RussLe00,1993-09-12,1993,2,REG,1,17,40,0,5,4,58,0,0,0,0,0,,
30,NWE,Leonard Russell,RussLe00,1993-09-19,1993,3,REG,1,8,21,0,1,1,-2,0,0,0,0,0,,
31,NWE,Leonard Russell,RussLe00,1993-09-26,1993,4,REG,1,10,29,1,3,2,0,0,0,0,0,0,,
0,NWE,Leonard Russell,RussLe00,,1993,5,BYE,0,0,0,0,0,0,0,0,0,0,0,0,,
32,NWE,Leonard Russell,RussLe00,1993-10-10,1993,6,REG,1,28,116,0,1,1,77,0,0,0,0,0,,
33,NWE,Leonard Russell,RussLe00,1993-10-17,1993,7,REG,1,15,42,1,2,1,4,0,0,0,0,0,,
34,NWE,Leonard Russell,RussLe00,1993-10-24,1993,8,REG,1,21,97,0,4,3,28,0,0,0,0,0,,
35,NWE,Leonard Russell,RussLe00,1993-10-31,1993,9,REG,1,10,39,0,2,2,6,0,0,0,0,0,,
36,NWE,Leonard Russell,RussLe00,1993-11-07,1993,10,REG,1,25,95,1,4,2,18,0,0,0,0,0,,
0,NWE,Leonard Russell,RussLe00,,1993,11,BYE,0,0,0,0,0,0,0,0,0,0,0,0,,
37,NWE,Leonard Russell,RussLe00,1993-11-21,1993,12,REG,1,8,26,0,0,0,0,0,0,0,0,0,,
38,NWE,Leonard Russell,RussLe00,1993-11-28,1993,13,REG,0,27,147,0,3,2,6,0,0,0,0,0,,
39,NWE,Leonard Russell,RussLe00,1993-12-05,1993,14,REG,1,19,54,1,2,1,4,0,0,0,0,0,,
40,NWE,Leonard Russell,RussLe00,1993-12-12,1993,15,REG,1,29,97,0,0,0,0,0,0,0,0,0,,
41,NWE,Leonard Russell,RussLe00,1993-12-19,1993,16,REG,1,14,38,1,1,1,11,0,0,0,0,0,,
42,NWE,Leonard Russell,RussLe00,1993-12-26,1993,17,REG,1,26,138,2,0,0,0,0,0,0,0,0,,
