CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp,SUSP,INJ,Game Status,Injuries
0,CLE,Leroy Hoard,HoarLe00,1990-09-09,1990,1,DNP,0,0,0,0,0,0,0,0,0,0,0,0,,
1,CLE,Leroy Hoard,HoarLe00,1990-09-16,1990,2,REG,0,6,29,1,2,2,22,0,0,0,0,0,,
2,CLE,Leroy Hoard,HoarLe00,1990-09-23,1990,3,REG,1,14,34,1,5,4,26,0,0,0,0,0,,
3,CLE,Leroy Hoard,HoarLe00,1990-09-30,1990,4,REG,1,11,40,0,2,1,6,0,0,0,0,0,,
4,CLE,Leroy Hoard,HoarLe00,1990-10-08,1990,5,REG,1,7,9,0,0,0,0,0,0,0,0,0,,
5,CLE,Leroy Hoard,HoarLe00,1990-10-14,1990,6,REG,1,4,4,0,1,1,4,0,0,0,0,0,,
6,CLE,Leroy Hoard,HoarLe00,1990-10-22,1990,7,REG,1,9,30,1,1,0,0,0,0,0,0,0,,
7,CLE,Leroy Hoard,HoarLe00,1990-10-28,1990,8,REG,0,2,3,0,0,0,0,0,0,0,0,0,,
8,CLE,Leroy Hoard,HoarLe00,1990-11-04,1990,9,REG,0,2,8,0,1,1,6,0,0,0,0,0,,
0,CLE,Leroy Hoard,HoarLe00,1970-01-01,1990,10,BYE,0,0,0,0,0,0,0,0,0,0,0,0,,
9,CLE,Leroy Hoard,HoarLe00,1990-11-18,1990,11,REG,0,0,0,0,0,0,0,0,0,0,0,0,,
0,CLE,Leroy Hoard,HoarLe00,1990-11-25,1990,12,DNP,0,0,0,0,0,0,0,0,0,0,0,0,,
10,CLE,Leroy Hoard,HoarLe00,1990-12-02,1990,13,REG,0,0,0,0,0,0,0,0,0,0,0,0,,
11,CLE,Leroy Hoard,HoarLe00,1990-12-09,1990,14,REG,0,0,0,0,0,0,0,0,0,0,0,0,,
12,CLE,Leroy Hoard,HoarLe00,1990-12-16,1990,15,REG,0,0,0,0,0,0,0,0,0,0,0,0,,
13,CLE,Leroy Hoard,HoarLe00,1990-12-23,1990,16,REG,0,2,-8,0,1,1,9,0,0,0,0,0,,
14,CLE,Leroy Hoard,HoarLe00,1990-12-30,1990,17,REG,0,1,0,0,0,0,0,0,0,0,0,0,,
15,CLE,Leroy Hoard,HoarLe00,1991-09-01,1991,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,,
16,CLE,Leroy Hoard,HoarLe00,1991-09-08,1991,2,REG,0,4,19,0,1,1,7,1,0,0,0,0,,
17,CLE,Leroy Hoard,HoarLe00,1991-09-15,1991,3,REG,0,3,12,0,3,2,12,0,0,0,0,0,,
18,CLE,Leroy Hoard,HoarLe00,1991-09-22,1991,4,REG,0,0,0,0,0,0,0,0,0,0,0,0,,
0,CLE,Leroy Hoard,HoarLe00,1970-01-01,1991,5,BYE,0,0,0,0,0,0,0,0,0,0,0,0,,
19,CLE,Leroy Hoard,HoarLe00,1991-10-06,1991,6,REG,1,0,0,0,1,1,4,1,0,0,0,0,,
20,CLE,Leroy Hoard,HoarLe00,1991-10-13,1991,7,REG,1,0,0,0,1,1,8,0,0,0,0,0,,
21,CLE,Leroy Hoard,HoarLe00,1991-10-20,1991,8,REG,0,4,7,0,4,3,29,2,0,0,0,0,,
22,CLE,Leroy Hoard,HoarLe00,1991-10-27,1991,9,REG,1,1,2,0,1,1,2,1,0,0,0,0,,
23,CLE,Leroy Hoard,HoarLe00,1991-11-03,1991,10,REG,1,1,3,0,3,3,35,0,0,0,0,0,,
24,CLE,Leroy Hoard,HoarLe00,1991-11-10,1991,11,REG,0,1,2,0,2,1,65,1,0,0,0,0,,
25,CLE,Leroy Hoard,HoarLe00,1991-11-17,1991,12,REG,1,2,1,0,14,10,107,1,0,0,0,0,,
26,CLE,Leroy Hoard,HoarLe00,1991-11-24,1991,13,REG,1,6,61,1,3,2,78,1,0,0,0,0,,
27,CLE,Leroy Hoard,HoarLe00,1991-12-01,1991,14,REG,1,2,2,1,8,6,74,0,0,0,0,0,,
28,CLE,Leroy Hoard,HoarLe00,1991-12-08,1991,15,REG,1,3,11,0,3,2,19,0,0,0,0,0,,
29,CLE,Leroy Hoard,HoarLe00,1991-12-15,1991,16,REG,0,5,17,0,10,10,70,1,0,0,0,0,,
30,CLE,Leroy Hoard,HoarLe00,1991-12-22,1991,17,REG,1,5,17,0,9,5,57,0,0,0,0,0,,
31,CLE,Leroy Hoard,HoarLe00,1992-09-06,1992,1,REG,0,5,15,0,1,1,16,0,0,0,0,0,,
32,CLE,Leroy Hoard,HoarLe00,1992-09-14,1992,2,REG,1,2,0,0,5,1,2,0,0,0,0,0,,
33,CLE,Leroy Hoard,HoarLe00,1992-09-20,1992,3,REG,0,6,-4,0,3,2,10,0,0,0,0,0,,
34,CLE,Leroy Hoard,HoarLe00,1992-09-27,1992,4,REG,0,10,71,0,4,4,54,0,0,0,0,0,,
0,CLE,Leroy Hoard,HoarLe00,1970-01-01,1992,5,BYE,0,0,0,0,0,0,0,0,0,0,0,0,,
35,CLE,Leroy Hoard,HoarLe00,1992-10-11,1992,6,REG,1,0,0,0,2,0,0,0,0,0,0,0,,
36,CLE,Leroy Hoard,HoarLe00,1992-10-18,1992,7,REG,1,2,7,0,1,0,0,0,0,0,0,0,,
37,CLE,Leroy Hoard,HoarLe00,1992-10-25,1992,8,REG,1,0,0,0,2,1,11,0,0,0,0,0,,
38,CLE,Leroy Hoard,HoarLe00,1992-11-01,1992,9,REG,0,3,12,0,4,3,20,0,0,0,0,0,,
39,CLE,Leroy Hoard,HoarLe00,1992-11-08,1992,10,REG,1,0,0,0,4,2,68,1,0,0,0,0,,
40,CLE,Leroy Hoard,HoarLe00,1992-11-15,1992,11,REG,1,0,0,0,2,1,25,0,0,0,0,0,,
41,CLE,Leroy Hoard,HoarLe00,1992-11-22,1992,12,REG,1,3,8,0,5,3,31,0,0,0,0,0,,
