CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp,SUSP,INJ,Game Status,Injuries
1,SDG,Marion Butts,ButtMa00,1989-09-10,1989,1,REG,1,9,64,2,0,0,0,0,0,0,0,0,nan,nan
2,SDG,Marion Butts,ButtMa00,1989-09-17,1989,2,REG,0,5,10,2,1,1,8,0,0,0,0,0,nan,nan
3,SDG,Marion Butts,ButtMa00,1989-09-24,1989,3,REG,0,15,62,0,0,0,0,0,0,0,0,0,nan,nan
4,SDG,Marion Butts,ButtMa00,1989-10-01,1989,4,REG,0,9,26,1,1,1,0,0,0,0,0,0,nan,nan
5,SDG,Marion Butts,ButtMa00,1989-10-08,1989,5,REG,0,6,18,1,0,0,0,0,0,0,0,0,nan,nan
6,SDG,Marion Butts,ButtMa00,1989-10-15,1989,6,REG,0,6,19,1,1,1,3,0,0,0,0,0,nan,nan
7,SDG,Marion Butts,ButtMa00,1989-10-22,1989,7,REG,0,2,2,0,0,0,0,0,0,0,0,0,nan,nan
8,SDG,Marion Butts,ButtMa00,1989-10-29,1989,8,REG,0,7,44,0,2,2,11,0,0,0,0,0,nan,nan
9,SDG,Marion Butts,ButtMa00,1989-11-05,1989,9,REG,0,16,72,0,1,0,0,0,0,0,0,0,nan,nan
10,SDG,Marion Butts,ButtMa00,1989-11-12,1989,10,REG,1,11,56,0,0,0,0,0,0,0,0,0,nan,nan
11,SDG,Marion Butts,ButtMa00,1989-11-19,1989,11,REG,0,2,4,0,0,0,0,0,0,0,0,0,nan,nan
0,SDG,Marion Butts,ButtMa00,1989-11-26,1989,12,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
12,SDG,Marion Butts,ButtMa00,1989-12-03,1989,13,REG,0,5,42,1,2,1,-4,0,0,0,0,0,nan,nan
13,SDG,Marion Butts,ButtMa00,1989-12-10,1989,14,REG,1,22,72,1,1,1,3,0,0,0,0,0,nan,nan
14,SDG,Marion Butts,ButtMa00,1989-12-17,1989,15,REG,1,39,176,0,0,0,0,0,0,0,0,0,nan,nan
15,SDG,Marion Butts,ButtMa00,1989-12-24,1989,16,REG,1,16,16,0,3,0,0,0,0,0,0,0,nan,nan
16,SDG,Marion Butts,ButtMa00,1990-09-09,1990,1,REG,1,16,61,1,1,1,0,0,0,0,0,0,nan,nan
17,SDG,Marion Butts,ButtMa00,1990-09-16,1990,2,REG,1,18,103,0,1,1,9,0,0,0,0,0,nan,nan
18,SDG,Marion Butts,ButtMa00,1990-09-23,1990,3,REG,1,24,90,0,1,0,0,0,0,0,0,0,nan,nan
19,SDG,Marion Butts,ButtMa00,1990-09-30,1990,4,REG,1,12,75,0,2,2,10,0,0,0,0,0,nan,nan
20,SDG,Marion Butts,ButtMa00,1990-10-07,1990,5,REG,1,9,55,0,1,1,0,0,0,0,0,0,nan,nan
21,SDG,Marion Butts,ButtMa00,1990-10-14,1990,6,REG,1,26,121,2,1,1,3,0,0,0,0,0,nan,nan
22,SDG,Marion Butts,ButtMa00,1990-10-21,1990,7,REG,1,16,76,0,2,2,23,0,0,0,0,0,nan,nan
23,SDG,Marion Butts,ButtMa00,1990-10-28,1990,8,REG,1,24,73,3,1,1,4,0,0,0,0,0,nan,nan
24,SDG,Marion Butts,ButtMa00,1990-11-04,1990,9,REG,1,14,59,0,2,1,12,0,0,0,0,0,nan,nan
25,SDG,Marion Butts,ButtMa00,1990-11-11,1990,10,REG,0,16,114,0,1,1,1,0,0,0,0,0,nan,nan
26,SDG,Marion Butts,ButtMa00,1990-11-18,1990,11,REG,1,14,40,0,2,2,19,0,0,0,0,0,nan,nan
27,SDG,Marion Butts,ButtMa00,1990-11-25,1990,12,REG,1,28,128,0,1,1,1,0,0,0,0,0,nan,nan
28,SDG,Marion Butts,ButtMa00,1990-12-02,1990,13,REG,1,26,159,2,1,1,26,0,0,0,0,0,nan,nan
0,SDG,Marion Butts,ButtMa00,,1990,14,BYE,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
29,SDG,Marion Butts,ButtMa00,1990-12-16,1990,15,REG,1,22,71,0,2,1,9,0,0,0,0,0,nan,nan
0,SDG,Marion Butts,ButtMa00,1990-12-23,1990,16,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
0,SDG,Marion Butts,ButtMa00,1990-12-30,1990,17,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
30,SDG,Marion Butts,ButtMa00,1991-09-01,1991,1,REG,0,5,6,0,1,0,0,0,0,0,0,0,nan,nan
31,SDG,Marion Butts,ButtMa00,1991-09-08,1991,2,REG,0,3,29,0,0,0,0,0,0,0,0,0,nan,nan
32,SDG,Marion Butts,ButtMa00,1991-09-15,1991,3,REG,0,8,63,0,0,0,0,0,0,0,0,0,nan,nan
33,SDG,Marion Butts,ButtMa00,1991-09-22,1991,4,REG,0,11,49,1,0,0,0,0,0,0,0,0,nan,nan
34,SDG,Marion Butts,ButtMa00,1991-09-29,1991,5,REG,0,10,45,0,1,1,46,0,0,0,0,0,nan,nan
35,SDG,Marion Butts,ButtMa00,1991-10-06,1991,6,REG,0,11,51,1,2,2,10,1,0,0,0,0,nan,nan
36,SDG,Marion Butts,ButtMa00,1991-10-13,1991,7,REG,0,5,7,0,0,0,0,0,0,0,0,0,nan,nan
37,SDG,Marion Butts,ButtMa00,1991-10-20,1991,8,REG,0,16,54,1,6,2,16,0,0,0,0,0,nan,nan
38,SDG,Marion Butts,ButtMa00,1991-10-27,1991,9,REG,1,23,76,0,2,2,4,0,0,0,0,0,nan,nan
0,SDG,Marion Butts,ButtMa00,,1991,10,BYE,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
39,SDG,Marion Butts,ButtMa00,1991-11-10,1991,11,REG,1,20,86,2,0,0,0,0,0,0,0,0,nan,nan
40,SDG,Marion Butts,ButtMa00,1991-11-17,1991,12,REG,1,15,92,1,2,2,15,0,0,0,0,0,nan,nan
41,SDG,Marion Butts,ButtMa00,1991-11-24,1991,13,REG,1,9,63,0,1,1,0,0,0,0,0,0,nan,nan
42,SDG,Marion Butts,ButtMa00,1991-12-01,1991,14,REG,1,16,44,0,0,0,0,0,0,0,0,0,nan,nan
43,SDG,Marion Butts,ButtMa00,1991-12-08,1991,15,REG,1,20,77,0,0,0,0,0,0,0,0,0,nan,nan
44,SDG,Marion Butts,ButtMa00,1991-12-15,1991,16,REG,1,14,46,0,0,0,0,0,0,0,0,0,nan,nan
