CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp,SUSP,INJ,Game Status,Injuries
0,DAL,Mark Higgs,HiggMa00,1988-09-04,1988,1,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
0,DAL,Mark Higgs,HiggMa00,1988-09-12,1988,2,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
1,DAL,Mark Higgs,HiggMa00,1988-09-18,1988,3,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
0,DAL,Mark Higgs,HiggMa00,1988-09-25,1988,4,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
0,DAL,Mark Higgs,HiggMa00,1988-10-03,1988,5,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
0,DAL,Mark Higgs,HiggMa00,1988-10-09,1988,6,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
2,DAL,Mark Higgs,HiggMa00,1988-10-16,1988,7,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
0,DAL,Mark Higgs,HiggMa00,1988-10-23,1988,8,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
3,DAL,Mark Higgs,HiggMa00,1988-10-30,1988,9,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
0,DAL,Mark Higgs,HiggMa00,1988-11-06,1988,10,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
0,DAL,Mark Higgs,HiggMa00,1988-11-13,1988,11,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
4,DAL,Mark Higgs,HiggMa00,1988-11-20,1988,12,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
0,DAL,Mark Higgs,HiggMa00,1988-11-24,1988,13,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
0,DAL,Mark Higgs,HiggMa00,1988-12-04,1988,14,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
5,DAL,Mark Higgs,HiggMa00,1988-12-11,1988,15,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
0,DAL,Mark Higgs,HiggMa00,1988-12-18,1988,16,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
6,PHI,Mark Higgs,HiggMa00,1989-09-10,1989,1,REG,0,13,44,0,0,0,0,0,0,0,0,0,nan,nan
7,PHI,Mark Higgs,HiggMa00,1989-09-17,1989,2,REG,0,5,16,0,1,1,8,0,0,0,0,0,nan,nan
8,PHI,Mark Higgs,HiggMa00,1989-09-24,1989,3,REG,0,6,29,0,0,0,0,0,0,0,0,0,nan,nan
9,PHI,Mark Higgs,HiggMa00,1989-10-02,1989,4,REG,0,1,5,0,0,0,0,0,0,0,0,0,nan,nan
10,PHI,Mark Higgs,HiggMa00,1989-10-08,1989,5,REG,0,3,5,0,0,0,0,0,0,0,0,0,nan,nan
11,PHI,Mark Higgs,HiggMa00,1989-10-15,1989,6,REG,1,10,34,0,1,1,2,0,0,0,0,0,nan,nan
12,PHI,Mark Higgs,HiggMa00,1989-10-22,1989,7,REG,0,1,-2,0,0,0,0,0,0,0,0,0,nan,nan
13,PHI,Mark Higgs,HiggMa00,1989-10-29,1989,8,REG,0,4,17,0,1,1,-1,0,0,0,0,0,nan,nan
14,PHI,Mark Higgs,HiggMa00,1989-11-05,1989,9,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
15,PHI,Mark Higgs,HiggMa00,1989-11-12,1989,10,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
0,PHI,Mark Higgs,HiggMa00,1989-11-19,1989,11,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
16,PHI,Mark Higgs,HiggMa00,1989-11-23,1989,12,REG,0,3,18,0,0,0,0,0,0,0,0,0,nan,nan
17,PHI,Mark Higgs,HiggMa00,1989-12-03,1989,13,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
18,PHI,Mark Higgs,HiggMa00,1989-12-10,1989,14,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
19,PHI,Mark Higgs,HiggMa00,1989-12-18,1989,15,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
20,PHI,Mark Higgs,HiggMa00,1989-12-24,1989,16,REG,0,3,18,0,0,0,0,0,0,0,0,0,nan,nan
21,PHI,Mark Higgs,HiggMa00,1989-12-31,1989,17,POST,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
