CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,IND,Marlon Mack,MackMa00,2017-09-10,2017,1,REG,0,10,24,1,1,1,21,0,17,0
2,IND,Marlon Mack,MackMa00,2017-09-17,2017,2,REG,0,6,-3,0,1,1,11,0,11,0
0,IND,Marlon Mack,MackMa00,2017-09-24,2017,3,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Marlon Mack,MackMa00,2017-10-01,2017,4,DNP,0,0,0,0,0,0,0,0,0,0
3,IND,Marlon Mack,MackMa00,2017-10-08,2017,5,REG,0,9,91,1,1,1,2,0,17,2
4,IND,Marlon Mack,MackMa00,2017-10-16,2017,6,REG,0,2,18,0,2,0,0,0,14,0
5,IND,Marlon Mack,MackMa00,2017-10-22,2017,7,REG,0,5,26,0,6,4,40,0,32,6
6,IND,Marlon Mack,MackMa00,2017-10-29,2017,8,REG,0,11,27,0,5,3,36,1,39,5
7,IND,Marlon Mack,MackMa00,2017-11-05,2017,9,REG,0,9,29,0,0,0,0,0,27,0
8,IND,Marlon Mack,MackMa00,2017-11-12,2017,10,REG,0,7,7,0,4,2,19,0,25,0
0,IND,Marlon Mack,MackMa00,,2017,11,BYE,0,0,0,0,0,0,0,0,0,0
9,IND,Marlon Mack,MackMa00,2017-11-26,2017,12,REG,0,4,11,0,2,2,20,0,19,0
10,IND,Marlon Mack,MackMa00,2017-12-03,2017,13,REG,0,6,46,0,2,1,8,0,30,0
11,IND,Marlon Mack,MackMa00,2017-12-10,2017,14,REG,0,7,23,0,3,2,21,0,17,0
12,IND,Marlon Mack,MackMa00,2017-12-14,2017,15,REG,0,6,14,0,1,0,0,0,24,1
13,IND,Marlon Mack,MackMa00,2017-12-23,2017,16,REG,0,4,17,0,2,2,37,0,15,6
14,IND,Marlon Mack,MackMa00,2017-12-31,2017,17,REG,0,7,28,1,3,2,10,0,22,4
0,IND,Marlon Mack,MackMa00,2018-09-09,2018,1,DNP,0,0,0,0,0,0,0,0,0,0
15,IND,Marlon Mack,MackMa00,2018-09-16,2018,2,REG,1,10,34,0,2,1,2,0,18,0
