CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp,SUSP,INJ,Game Status,Injuries
1,JAX,Maurice JonesDrew,DrewMa00,2006-09-10,2006,1,REG,0,2,8,0,2,0,0,0,0,0,0,0,nan,nan
2,JAX,Maurice JonesDrew,DrewMa00,2006-09-18,2006,2,REG,0,2,4,0,2,2,6,0,0,0,0,0,nan,nan
3,JAX,Maurice JonesDrew,DrewMa00,2006-09-24,2006,3,REG,0,13,103,0,5,4,32,1,0,0,0,0,nan,nan
4,JAX,Maurice JonesDrew,DrewMa00,2006-10-01,2006,4,REG,0,3,3,0,4,3,53,1,0,0,0,0,nan,nan
5,JAX,Maurice JonesDrew,DrewMa00,2006-10-08,2006,5,REG,0,13,59,2,2,0,0,0,0,0,0,0,nan,nan
0,JAX,Maurice JonesDrew,DrewMa00,,2006,6,BYE,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
6,JAX,Maurice JonesDrew,DrewMa00,2006-10-22,2006,7,REG,0,8,10,1,8,7,58,0,0,0,0,0,nan,nan
7,JAX,Maurice JonesDrew,DrewMa00,2006-10-29,2006,8,REG,0,21,77,0,5,3,20,0,0,0,0,0,nan,nan
8,JAX,Maurice JonesDrew,DrewMa00,2006-11-05,2006,9,REG,0,8,56,0,2,2,29,0,0,0,0,0,nan,nan
9,JAX,Maurice JonesDrew,DrewMa00,2006-11-12,2006,10,REG,0,3,11,1,5,4,56,0,0,0,0,0,nan,nan
10,JAX,Maurice JonesDrew,DrewMa00,2006-11-20,2006,11,REG,0,9,45,1,3,2,16,0,0,0,0,0,nan,nan
11,JAX,Maurice JonesDrew,DrewMa00,2006-11-26,2006,12,REG,0,8,78,1,5,5,47,0,0,0,0,0,nan,nan
12,JAX,Maurice JonesDrew,DrewMa00,2006-12-03,2006,13,REG,0,5,46,1,0,0,0,0,0,0,0,0,nan,nan
13,JAX,Maurice JonesDrew,DrewMa00,2006-12-10,2006,14,REG,0,15,166,2,1,1,15,0,0,0,0,0,nan,nan
14,JAX,Maurice JonesDrew,DrewMa00,2006-12-17,2006,15,REG,0,25,98,1,3,3,47,0,0,0,0,0,nan,nan
15,JAX,Maurice JonesDrew,DrewMa00,2006-12-24,2006,16,REG,1,19,131,2,9,6,41,0,0,0,0,0,nan,nan
16,JAX,Maurice JonesDrew,DrewMa00,2006-12-31,2006,17,REG,0,12,46,1,6,4,16,0,0,0,0,0,nan,nan
17,JAX,Maurice JonesDrew,DrewMa00,2007-09-09,2007,1,REG,0,7,32,0,4,3,28,0,0,0,0,0,nan,nan
18,JAX,Maurice JonesDrew,DrewMa00,2007-09-16,2007,2,REG,0,11,31,0,2,1,10,0,0,0,0,0,nan,nan
19,JAX,Maurice JonesDrew,DrewMa00,2007-09-23,2007,3,REG,0,15,37,0,2,2,18,0,0,0,0,0,nan,nan
0,JAX,Maurice JonesDrew,DrewMa00,,2007,4,BYE,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
20,JAX,Maurice JonesDrew,DrewMa00,2007-10-07,2007,5,REG,0,9,82,1,3,3,30,0,0,0,0,0,nan,nan
21,JAX,Maurice JonesDrew,DrewMa00,2007-10-14,2007,6,REG,0,12,125,2,5,4,59,0,0,0,0,0,nan,nan
22,JAX,Maurice JonesDrew,DrewMa00,2007-10-22,2007,7,REG,0,13,52,1,4,3,17,0,0,0,0,0,nan,nan
23,JAX,Maurice JonesDrew,DrewMa00,2007-10-28,2007,8,REG,0,10,48,0,4,2,14,0,0,0,0,0,nan,nan
24,JAX,Maurice JonesDrew,DrewMa00,2007-11-04,2007,9,REG,0,5,28,0,4,2,31,0,0,0,0,0,nan,nan
25,JAX,Maurice JonesDrew,DrewMa00,2007-11-11,2007,10,REG,0,19,101,1,4,3,28,0,0,0,0,0,nan,nan
26,JAX,Maurice JonesDrew,DrewMa00,2007-11-18,2007,11,REG,0,12,33,1,3,1,4,0,0,0,0,0,nan,nan
27,JAX,Maurice JonesDrew,DrewMa00,2007-11-25,2007,12,REG,0,10,10,1,2,2,16,0,0,0,0,0,nan,nan
28,JAX,Maurice JonesDrew,DrewMa00,2007-12-02,2007,13,REG,0,11,52,1,1,1,5,0,0,0,0,0,nan,nan
29,JAX,Maurice JonesDrew,DrewMa00,2007-12-09,2007,14,REG,0,11,24,0,4,2,21,0,0,0,0,0,nan,nan
30,JAX,Maurice JonesDrew,DrewMa00,2007-12-16,2007,15,REG,0,12,69,0,6,5,30,0,0,0,0,0,nan,nan
31,JAX,Maurice JonesDrew,DrewMa00,2007-12-23,2007,16,REG,0,10,44,1,7,6,96,0,0,0,0,0,nan,nan
0,JAX,Maurice JonesDrew,DrewMa00,2007-12-30,2007,17,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
32,JAX,Maurice JonesDrew,DrewMa00,2008-01-05,2007,18,POST,0,8,29,1,3,1,43,1,0,0,0,0,nan,nan
33,JAX,Maurice JonesDrew,DrewMa00,2008-01-12,2007,19,POST,0,6,19,0,6,6,49,0,0,0,0,0,nan,nan
34,JAX,Maurice JonesDrew,DrewMa00,2008-09-07,2008,1,REG,0,5,13,0,4,4,37,0,0,0,0,0,nan,nan
35,JAX,Maurice JonesDrew,DrewMa00,2008-09-14,2008,2,REG,0,7,17,1,3,3,25,0,0,0,0,0,nan,nan
36,JAX,Maurice JonesDrew,DrewMa00,2008-09-21,2008,3,REG,0,19,107,1,5,4,59,0,0,0,0,0,nan,nan
37,JAX,Maurice JonesDrew,DrewMa00,2008-09-28,2008,4,REG,0,7,32,0,2,2,17,0,0,0,0,0,nan,nan
38,JAX,Maurice JonesDrew,DrewMa00,2008-10-05,2008,5,REG,0,5,7,1,6,6,23,0,0,0,0,0,nan,nan
39,JAX,Maurice JonesDrew,DrewMa00,2008-10-12,2008,6,REG,0,22,125,2,2,2,23,0,0,0,0,0,nan,nan
0,JAX,Maurice JonesDrew,DrewMa00,,2008,7,BYE,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
40,JAX,Maurice JonesDrew,DrewMa00,2008-10-26,2008,8,REG,0,12,29,0,5,3,19,0,0,0,0,0,nan,nan
41,JAX,Maurice JonesDrew,DrewMa00,2008-11-02,2008,9,REG,0,10,33,1,2,2,29,0,0,0,0,0,nan,nan
42,JAX,Maurice JonesDrew,DrewMa00,2008-11-09,2008,10,REG,0,11,70,3,2,2,21,0,0,0,0,0,nan,nan
43,JAX,Maurice JonesDrew,DrewMa00,2008-11-16,2008,11,REG,0,17,66,2,3,3,27,0,0,0,0,0,nan,nan
44,JAX,Maurice JonesDrew,DrewMa00,2008-11-23,2008,12,REG,0,3,4,0,10,9,113,0,0,0,0,0,nan,nan
45,JAX,Maurice JonesDrew,DrewMa00,2008-12-01,2008,13,REG,0,12,49,0,5,3,22,0,0,0,0,0,nan,nan
46,JAX,Maurice JonesDrew,DrewMa00,2008-12-07,2008,14,REG,0,12,55,0,9,7,47,1,0,0,0,0,nan,nan
47,JAX,Maurice JonesDrew,DrewMa00,2008-12-14,2008,15,REG,1,12,48,1,7,4,22,1,0,0,0,0,nan,nan
48,JAX,Maurice JonesDrew,DrewMa00,2008-12-18,2008,16,REG,1,20,91,0,8,7,71,0,0,0,0,0,nan,nan
49,JAX,Maurice JonesDrew,DrewMa00,2008-12-28,2008,17,REG,1,23,78,0,2,1,10,0,0,0,0,0,nan,nan
50,JAX,Maurice JonesDrew,DrewMa00,2009-09-13,2009,1,REG,1,21,97,1,8,5,26,0,0,0,0,0,nan,nan
51,JAX,Maurice JonesDrew,DrewMa00,2009-09-20,2009,2,REG,1,13,66,0,7,4,17,0,0,0,0,0,nan,nan
52,JAX,Maurice JonesDrew,DrewMa00,2009-09-27,2009,3,REG,1,23,119,3,7,4,28,0,0,0,0,0,nan,nan
53,JAX,Maurice JonesDrew,DrewMa00,2009-10-04,2009,4,REG,1,6,14,1,3,3,26,0,0,0,0,0,nan,nan
54,JAX,Maurice JonesDrew,DrewMa00,2009-10-11,2009,5,REG,1,12,34,0,5,5,23,0,0,0,0,0,nan,nan
55,JAX,Maurice JonesDrew,DrewMa00,2009-10-18,2009,6,REG,1,33,133,3,7,5,45,0,0,0,0,0,nan,nan
0,JAX,Maurice JonesDrew,DrewMa00,,2009,7,BYE,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
56,JAX,Maurice JonesDrew,DrewMa00,2009-11-01,2009,8,REG,1,8,177,2,4,1,-4,0,0,0,0,0,nan,nan
57,JAX,Maurice JonesDrew,DrewMa00,2009-11-08,2009,9,REG,1,29,97,1,4,3,37,0,0,0,0,0,nan,nan
58,JAX,Maurice JonesDrew,DrewMa00,2009-11-15,2009,10,REG,1,24,123,1,2,2,22,0,0,0,0,0,nan,nan
59,JAX,Maurice JonesDrew,DrewMa00,2009-11-22,2009,11,REG,1,25,66,1,5,4,18,0,0,0,0,0,nan,nan
60,JAX,Maurice JonesDrew,DrewMa00,2009-11-29,2009,12,REG,1,15,75,0,5,5,35,0,0,0,0,0,nan,nan
61,JAX,Maurice JonesDrew,DrewMa00,2009-12-06,2009,13,REG,1,24,76,0,2,1,6,0,0,0,0,0,nan,nan
62,JAX,Maurice JonesDrew,DrewMa00,2009-12-13,2009,14,REG,1,18,59,1,2,2,24,0,0,0,0,0,nan,nan
63,JAX,Maurice JonesDrew,DrewMa00,2009-12-17,2009,15,REG,1,27,110,1,5,5,30,1,0,0,0,0,nan,nan
64,JAX,Maurice JonesDrew,DrewMa00,2009-12-27,2009,16,REG,1,18,63,0,3,3,35,0,0,0,0,0,nan,nan
65,JAX,Maurice JonesDrew,DrewMa00,2010-01-03,2009,17,REG,1,16,82,0,2,1,6,0,0,0,0,0,nan,nan
66,JAX,Maurice JonesDrew,DrewMa00,2010-09-12,2010,1,REG,1,23,98,0,3,3,15,0,0,0,0,0,nan,nan
67,JAX,Maurice JonesDrew,DrewMa00,2010-09-19,2010,2,REG,1,12,31,0,1,1,17,0,0,0,0,0,nan,nan
68,JAX,Maurice JonesDrew,DrewMa00,2010-09-26,2010,3,REG,1,22,88,0,3,2,1,0,0,0,0,0,nan,nan
69,JAX,Maurice JonesDrew,DrewMa00,2010-10-03,2010,4,REG,1,26,105,1,2,2,16,1,0,0,0,0,nan,nan
70,JAX,Maurice JonesDrew,DrewMa00,2010-10-10,2010,5,REG,1,19,84,0,4,2,9,0,0,0,0,0,nan,nan
71,JAX,Maurice JonesDrew,DrewMa00,2010-10-18,2010,6,REG,1,17,57,0,2,2,8,0,0,0,0,0,nan,nan
72,JAX,Maurice JonesDrew,DrewMa00,2010-10-24,2010,7,REG,1,16,47,0,6,5,74,1,0,0,0,0,nan,nan
