CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp,SUSP,INJ,Game Status,Injuries
1,PIT,Merril Hoge,HogeMe00,1987-09-13,1987,1,REG,0,0,0,0,2,1,27,0,0,0,0,0,nan,nan
2,PIT,Merril Hoge,HogeMe00,1987-09-20,1987,2,REG,0,0,0,0,4,2,23,0,0,0,0,0,nan,nan
0,PIT,Merril Hoge,HogeMe00,1987-10-04,1987,4,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
0,PIT,Merril Hoge,HogeMe00,1987-10-11,1987,5,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
3,PIT,Merril Hoge,HogeMe00,1987-10-18,1987,6,REG,0,2,7,0,3,2,29,1,0,0,0,0,nan,nan
4,PIT,Merril Hoge,HogeMe00,1987-10-25,1987,7,REG,0,0,0,0,1,0,0,0,0,0,0,0,nan,nan
5,PIT,Merril Hoge,HogeMe00,1987-11-01,1987,8,REG,0,0,0,0,3,2,18,0,0,0,0,0,nan,nan
6,PIT,Merril Hoge,HogeMe00,1987-11-08,1987,9,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
7,PIT,Merril Hoge,HogeMe00,1987-11-15,1987,10,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
8,PIT,Merril Hoge,HogeMe00,1987-11-22,1987,11,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
9,PIT,Merril Hoge,HogeMe00,1987-11-29,1987,12,REG,0,1,1,0,0,0,0,0,0,0,0,0,nan,nan
10,PIT,Merril Hoge,HogeMe00,1987-12-06,1987,13,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
11,PIT,Merril Hoge,HogeMe00,1987-12-13,1987,14,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
12,PIT,Merril Hoge,HogeMe00,1987-12-20,1987,15,REG,0,0,0,0,1,0,0,0,0,0,0,0,nan,nan
13,PIT,Merril Hoge,HogeMe00,1987-12-26,1987,16,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
14,PIT,Merril Hoge,HogeMe00,1988-09-04,1988,1,REG,0,2,18,0,3,1,8,0,0,0,0,0,nan,nan
15,PIT,Merril Hoge,HogeMe00,1988-09-11,1988,2,REG,0,2,8,0,1,0,0,0,0,0,0,0,nan,nan
16,PIT,Merril Hoge,HogeMe00,1988-09-18,1988,3,REG,0,2,3,0,1,0,0,0,0,0,0,0,nan,nan
17,PIT,Merril Hoge,HogeMe00,1988-09-25,1988,4,REG,0,4,31,0,5,4,34,0,0,0,0,0,nan,nan
18,PIT,Merril Hoge,HogeMe00,1988-10-02,1988,5,REG,0,5,21,0,5,4,31,0,0,0,0,0,nan,nan
19,PIT,Merril Hoge,HogeMe00,1988-10-09,1988,6,REG,0,5,34,0,5,5,36,1,0,0,0,0,nan,nan
20,PIT,Merril Hoge,HogeMe00,1988-10-16,1988,7,REG,0,5,0,1,3,2,17,0,0,0,0,0,nan,nan
21,PIT,Merril Hoge,HogeMe00,1988-10-23,1988,8,REG,0,21,94,0,4,4,66,0,0,0,0,0,nan,nan
22,PIT,Merril Hoge,HogeMe00,1988-10-30,1988,9,REG,1,14,47,0,4,2,14,0,0,0,0,0,nan,nan
23,PIT,Merril Hoge,HogeMe00,1988-11-06,1988,10,REG,1,15,46,0,5,4,37,0,0,0,0,0,nan,nan
24,PIT,Merril Hoge,HogeMe00,1988-11-13,1988,11,REG,1,21,102,0,6,4,56,1,0,0,0,0,nan,nan
25,PIT,Merril Hoge,HogeMe00,1988-11-20,1988,12,REG,1,17,66,0,8,4,33,0,0,0,0,0,nan,nan
26,PIT,Merril Hoge,HogeMe00,1988-11-27,1988,13,REG,1,15,76,1,4,3,8,0,0,0,0,0,nan,nan
27,PIT,Merril Hoge,HogeMe00,1988-12-04,1988,14,REG,1,16,36,1,7,6,90,1,0,0,0,0,nan,nan
28,PIT,Merril Hoge,HogeMe00,1988-12-11,1988,15,REG,1,10,49,0,5,4,49,0,0,0,0,0,nan,nan
29,PIT,Merril Hoge,HogeMe00,1988-12-18,1988,16,REG,1,16,74,0,3,3,8,0,0,0,0,0,nan,nan
30,PIT,Merril Hoge,HogeMe00,1989-09-10,1989,1,REG,1,4,5,0,4,2,25,0,0,0,0,0,nan,nan
31,PIT,Merril Hoge,HogeMe00,1989-09-17,1989,2,REG,1,13,33,0,5,2,7,0,0,0,0,0,nan,nan
32,PIT,Merril Hoge,HogeMe00,1989-09-24,1989,3,REG,1,17,64,1,2,1,7,0,0,0,0,0,nan,nan
33,PIT,Merril Hoge,HogeMe00,1989-10-01,1989,4,REG,1,12,15,0,2,2,9,0,0,0,0,0,nan,nan
34,PIT,Merril Hoge,HogeMe00,1989-10-08,1989,5,REG,1,16,68,0,2,1,-1,0,0,0,0,0,nan,nan
35,PIT,Merril Hoge,HogeMe00,1989-10-15,1989,6,REG,1,9,35,0,1,1,15,0,0,0,0,0,nan,nan
