CarGm,Date,Season,Season_type,Week,Team,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,2018-09-09,2018,DNP,1,MIN,0,0,0,0,0,0,0,0,0,0
0,2018-09-16,2018,DNP,2,MIN,0,0,0,0,0,0,0,0,0,0
1,2018-09-23,2018,REG,3,MIN,0,2,11,0,1,1,0,0,13,0
2,2018-09-27,2018,REG,4,MIN,0,0,0,0,1,1,1,0,4,5
3,2018-10-07,2018,REG,5,MIN,0,1,1,0,0,0,0,0,1,0
4,2018-10-14,2018,REG,6,MIN,0,1,20,0,0,0,0,0,3,0
5,2018-10-21,2018,REG,7,MIN,0,4,4,0,1,0,0,0,8,0
6,2018-10-28,2018,REG,8,MIN,0,3,11,0,0,0,0,0,7,7
7,2018-11-04,2018,REG,9,MIN,0,0,0,0,0,0,0,0,0,3
0,1970-01-01,2018,BYE,10,MIN,0,0,0,0,0,0,0,0,0,0
0,2018-11-18,2018,DNP,11,MIN,0,0,0,0,0,0,0,0,0,0
0,2018-11-25,2018,DNP,12,MIN,0,0,0,0,0,0,0,0,0,0
0,2018-12-02,2018,DNP,13,MIN,0,0,0,0,0,0,0,0,0,0
0,2018-12-10,2018,DNP,14,MIN,0,0,0,0,0,0,0,0,0,0
0,2018-12-16,2018,DNP,15,MIN,0,0,0,0,0,0,0,0,0,0
0,2018-12-23,2018,DNP,16,MIN,0,0,0,0,0,0,0,0,0,0
8,2018-12-30,2018,REG,17,MIN,0,0,0,0,0,0,0,0,0,11
9,2019-09-08,2019,REG,1,MIN,0,0,0,0,0,0,0,0,2,13
10,2019-09-15,2019,REG,2,MIN,0,0,0,0,0,0,0,0,0,17
11,2019-09-22,2019,REG,3,MIN,0,3,28,0,0,0,0,0,5,11
12,2019-09-29,2019,REG,4,MIN,0,0,0,0,0,0,0,0,0,10
13,2019-10-06,2019,REG,5,MIN,0,0,0,0,0,0,0,0,0,13
14,2019-10-13,2019,REG,6,MIN,0,0,0,0,0,0,0,0,0,18
15,2019-10-20,2019,REG,7,MIN,0,0,0,0,0,0,0,0,0,18
16,2019-10-24,2019,REG,8,MIN,0,0,0,0,0,0,0,0,0,12
17,2019-11-03,2019,REG,9,MIN,0,0,0,0,0,0,0,0,0,22
18,2019-11-10,2019,REG,10,MIN,0,0,0,0,0,0,0,0,0,14
19,2019-11-17,2019,REG,11,MIN,0,0,0,0,0,0,0,0,0,18
0,1970-01-01,2019,BYE,12,MIN,0,0,0,0,0,0,0,0,0,0
20,2019-12-02,2019,REG,13,MIN,0,0,0,0,0,0,0,0,2,19
21,2019-12-08,2019,REG,14,MIN,0,5,13,0,0,0,0,0,6,18
22,2019-12-15,2019,REG,15,MIN,0,13,56,2,0,0,0,0,21,11
23,2019-12-23,2019,REG,16,MIN,1,11,28,0,1,1,5,0,18,0
24,2019-12-29,2019,REG,17,MIN,1,17,148,1,3,2,12,0,28,6
25,2020-01-05,2019,POST,18,MIN,0,0,0,0,0,0,0,0,0,22
26,2020-01-11,2019,POST,19,MIN,0,0,0,0,0,0,0,0,0,19
27,2020-09-13,2020,REG,1,MIN,0,0,0,0,0,0,0,0,0,17
28,2020-09-20,2020,REG,2,MIN,0,0,0,0,0,0,0,0,0,5
29,2020-09-27,2020,REG,3,MIN,0,0,0,0,0,0,0,0,0,21
30,2020-10-04,2020,REG,4,MIN,0,0,0,0,0,0,0,0,0,20
31,2020-10-11,2020,REG,5,MIN,0,2,19,0,0,0,0,0,5,15
32,2020-10-18,2020,REG,6,MIN,0,1,-1,0,1,1,6,0,5,20
0,1970-01-01,2020,BYE,7,MIN,0,0,0,0,0,0,0,0,0,0
