CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp,SUSP,INJ,Game Status,Injuries
0,SFO,Mike Davis,DaviMi01,2015-09-14,2015,1,DNP,0,0,0,0,0,0,0,0,0,0,0,0,,
1,SFO,Mike Davis,DaviMi01,2015-09-20,2015,2,REG,0,7,14,0,4,2,4,0,42,0,0,0,,
2,SFO,Mike Davis,DaviMi01,2015-09-27,2015,3,REG,0,7,6,0,3,1,5,0,18,0,0,0,,
0,SFO,Mike Davis,DaviMi01,2015-10-04,2015,4,DNP,0,0,0,0,0,0,0,0,0,0,0,0,,
0,SFO,Mike Davis,DaviMi01,2015-10-11,2015,5,DNP,0,0,0,0,0,0,0,0,0,0,0,0,,
3,SFO,Mike Davis,DaviMi01,2015-10-18,2015,6,REG,0,1,0,0,0,0,0,0,3,0,0,0,,
4,SFO,Mike Davis,DaviMi01,2015-10-22,2015,7,REG,0,0,0,0,0,0,0,0,9,0,0,0,,
5,SFO,Mike Davis,DaviMi01,2015-11-01,2015,8,REG,0,10,4,0,3,2,14,0,27,0,0,0,,
0,SFO,Mike Davis,DaviMi01,2015-11-08,2015,9,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Hand
0,SFO,Mike Davis,DaviMi01,1970-01-01,2015,10,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,SFO,Mike Davis,DaviMi01,2015-11-22,2015,11,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,SFO,Mike Davis,DaviMi01,2015-11-29,2015,12,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,SFO,Mike Davis,DaviMi01,2015-12-06,2015,13,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,SFO,Mike Davis,DaviMi01,2015-12-13,2015,14,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,SFO,Mike Davis,DaviMi01,2015-12-20,2015,15,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,SFO,Mike Davis,DaviMi01,2015-12-27,2015,16,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
6,SFO,Mike Davis,DaviMi01,2016-01-03,2015,17,REG,0,10,34,0,3,2,15,0,27,0,0,0,,
7,SFO,Mike Davis,DaviMi01,2016-09-12,2016,1,REG,0,3,1,0,0,0,0,0,3,0,0,0,,
8,SFO,Mike Davis,DaviMi01,2016-09-18,2016,2,REG,0,0,0,0,1,1,10,0,4,13,0,0,,
9,SFO,Mike Davis,DaviMi01,2016-09-25,2016,3,REG,0,0,0,0,0,0,0,0,0,8,0,0,,
10,SFO,Mike Davis,DaviMi01,2016-10-02,2016,4,REG,0,0,0,0,0,0,0,0,0,5,0,0,,
11,SFO,Mike Davis,DaviMi01,2016-10-06,2016,5,REG,0,2,4,0,0,0,0,0,6,6,0,0,,
