CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,PIT,Najee Harris,HarrNa00,2021-09-12,2021,1,REG,1,16,45,0,3,1,4,0,58,0
2,PIT,Najee Harris,HarrNa00,2021-09-19,2021,2,REG,1,10,38,0,5,5,43,1,53,0
3,PIT,Najee Harris,HarrNa00,2021-09-26,2021,3,REG,1,14,40,0,19,14,102,0,79,0
4,PIT,Najee Harris,HarrNa00,2021-10-03,2021,4,REG,1,15,62,1,7,6,29,0,48,0
5,PIT,Najee Harris,HarrNa00,2021-10-10,2021,5,REG,1,23,122,1,5,2,20,0,42,0
6,PIT,Najee Harris,HarrNa00,2021-10-17,2021,6,REG,1,24,81,0,7,6,46,1,63,0
0,PIT,Najee Harris,HarrNa00,,2021,7,BYE,0,0,0,0,0,0,0,0,0,0
7,PIT,Najee Harris,HarrNa00,2021-10-31,2021,8,REG,1,26,91,1,3,3,29,0,62,0
8,PIT,Najee Harris,HarrNa00,2021-11-08,2021,9,REG,1,22,62,1,3,3,16,0,59,0
9,PIT,Najee Harris,HarrNa00,2021-11-14,2021,10,REG,1,26,105,0,4,4,28,0,76,0
10,PIT,Najee Harris,HarrNa00,2021-11-21,2021,11,REG,1,12,39,1,6,5,20,0,52,0
11,PIT,Najee Harris,HarrNa00,2021-11-28,2021,12,REG,1,8,23,0,5,3,14,0,36,0
12,PIT,Najee Harris,HarrNa00,2021-12-05,2021,13,REG,1,21,71,0,5,5,36,0,58,0
13,PIT,Najee Harris,HarrNa00,2021-12-09,2021,14,REG,1,20,94,1,3,3,10,1,71,0
14,PIT,Najee Harris,HarrNa00,2021-12-19,2021,15,REG,1,12,18,0,5,2,8,0,49,0
15,PIT,Najee Harris,HarrNa00,2021-12-26,2021,16,REG,1,19,93,0,7,5,17,0,56,0
16,PIT,Najee Harris,HarrNa00,2022-01-03,2021,17,REG,1,28,188,1,3,3,18,0,78,0
17,PIT,Najee Harris,HarrNa00,2022-01-09,2021,18,REG,1,11,28,0,4,4,27,0,40,0
18,PIT,Najee Harris,HarrNa00,2022-01-16,2021,19,POST,1,12,29,0,2,2,-1,0,30,0
19,PIT,Najee Harris,HarrNa00,2022-09-11,2022,1,REG,1,10,23,0,2,2,3,1,37,0
20,PIT,Najee Harris,HarrNa00,2022-09-18,2022,2,REG,1,15,49,0,6,5,40,0,42,0
21,PIT,Najee Harris,HarrNa00,2022-09-22,2022,3,REG,1,15,56,1,3,3,5,0,47,0
22,PIT,Najee Harris,HarrNa00,2022-10-02,2022,4,REG,1,18,74,0,0,0,0,0,48,0
23,PIT,Najee Harris,HarrNa00,2022-10-09,2022,5,REG,1,11,20,0,4,3,16,0,37,0
24,PIT,Najee Harris,HarrNa00,2022-10-16,2022,6,REG,1,14,42,0,3,2,7,1,44,0
25,PIT,Najee Harris,HarrNa00,2022-10-23,2022,7,REG,1,17,65,0,4,3,15,0,58,0
26,PIT,Najee Harris,HarrNa00,2022-10-30,2022,8,REG,1,8,32,0,6,6,26,0,54,0
0,PIT,Najee Harris,HarrNa00,,2022,9,BYE,0,0,0,0,0,0,0,0,0,0
27,PIT,Najee Harris,HarrNa00,2022-11-13,2022,10,REG,1,20,99,0,1,0,0,0,50,0
28,PIT,Najee Harris,HarrNa00,2022-11-20,2022,11,REG,1,20,90,2,6,4,26,0,67,0
29,PIT,Najee Harris,HarrNa00,2022-11-28,2022,12,REG,1,10,35,1,1,1,4,0,20,0
30,PIT,Najee Harris,HarrNa00,2022-12-04,2022,13,REG,1,17,86,0,1,1,6,0,43,0
31,PIT,Najee Harris,HarrNa00,2022-12-11,2022,14,REG,1,12,33,1,3,2,17,0,31,0
32,PIT,Najee Harris,HarrNa00,2022-12-18,2022,15,REG,1,24,86,1,0,0,0,0,45,1
33,PIT,Najee Harris,HarrNa00,2022-12-24,2022,16,REG,1,16,53,0,9,6,42,0,49,0
34,PIT,Najee Harris,HarrNa00,2023-01-01,2022,17,REG,1,22,111,0,3,2,12,1,45,0
35,PIT,Najee Harris,HarrNa00,2023-01-08,2022,18,REG,1,23,80,1,1,1,10,0,46,0
36,PIT,Najee Harris,HarrNa00,2023-09-10,2023,1,REG,1,6,31,0,2,2,2,0,33,0
37,PIT,Najee Harris,HarrNa00,2023-09-18,2023,2,REG,1,10,43,0,3,1,0,0,31,0
38,PIT,Najee Harris,HarrNa00,2023-09-24,2023,3,REG,1,19,65,0,1,0,0,0,31,1
39,PIT,Najee Harris,HarrNa00,2023-10-01,2023,4,REG,1,14,71,0,2,1,32,0,29,0
40,PIT,Najee Harris,HarrNa00,2023-10-08,2023,5,REG,1,14,37,0,1,1,3,0,37,0
0,PIT,Najee Harris,HarrNa00,,2023,6,BYE,0,0,0,0,0,0,0,0,0,0
41,PIT,Najee Harris,HarrNa00,2023-10-22,2023,7,REG,1,14,53,1,3,3,15,0,34,0
42,PIT,Najee Harris,HarrNa00,2023-10-29,2023,8,REG,1,7,13,0,5,5,42,0,35,0
43,PIT,Najee Harris,HarrNa00,2023-11-02,2023,9,REG,1,16,69,1,4,2,7,0,38,0
44,PIT,Najee Harris,HarrNa00,2023-11-12,2023,10,REG,1,16,82,1,4,3,14,0,33,0
45,PIT,Najee Harris,HarrNa00,2023-11-19,2023,11,REG,1,12,35,0,2,1,1,0,33,0
46,PIT,Najee Harris,HarrNa00,2023-11-26,2023,12,REG,1,15,99,1,0,0,0,0,38,1
47,PIT,Najee Harris,HarrNa00,2023-12-03,2023,13,REG,1,16,63,0,3,2,14,0,36,0
48,PIT,Najee Harris,HarrNa00,2023-12-07,2023,14,REG,1,12,29,0,3,3,19,0,40,0
49,PIT,Najee Harris,HarrNa00,2023-12-16,2023,15,REG,1,12,33,0,0,0,0,0,20,0
50,PIT,Najee Harris,HarrNa00,2023-12-23,2023,16,REG,1,19,78,1,0,0,0,0,26,0
51,PIT,Najee Harris,HarrNa00,2023-12-31,2023,17,REG,1,27,122,2,0,0,0,0,38,1
52,PIT,Najee Harris,HarrNa00,2024-01-06,2023,18,REG,1,26,112,1,5,5,21,0,37,1
53,PIT,Najee Harris,HarrNa00,2024-01-15,2023,19,POST,1,12,37,0,3,2,15,0,37,0
54,PIT,Najee Harris,HarrNa00,2024-09-08,2024,1,REG,1,20,70,0,2,1,9,0,38,0
55,PIT,Najee Harris,HarrNa00,2024-09-15,2024,2,REG,1,17,69,0,2,1,5,0,30,0
56,PIT,Najee Harris,HarrNa00,2024-09-22,2024,3,REG,1,18,70,0,5,5,16,0,40,0
57,PIT,Najee Harris,HarrNa00,2024-09-29,2024,4,REG,1,13,19,0,6,3,54,0,48,0
58,PIT,Najee Harris,HarrNa00,2024-10-06,2024,5,REG,1,14,42,0,2,2,35,0,43,0
59,PIT,Najee Harris,HarrNa00,2024-10-13,2024,6,REG,1,14,106,1,2,2,16,0,31,1
60,PIT,Najee Harris,HarrNa00,2024-10-20,2024,7,REG,1,21,102,1,1,0,0,0,33,0
61,PIT,Najee Harris,HarrNa00,2024-10-28,2024,8,REG,1,19,114,0,4,3,17,0,39,0
0,PIT,Najee Harris,HarrNa00,,2024,9,BYE,0,0,0,0,0,0,0,0,0,0
62,PIT,Najee Harris,HarrNa00,2024-11-10,2024,10,REG,1,21,53,1,0,0,0,0,37,0
63,PIT,Najee Harris,HarrNa00,2024-11-17,2024,11,REG,1,18,63,0,5,4,30,0,45,0
64,PIT,Najee Harris,HarrNa00,2024-11-21,2024,12,REG,1,16,41,0,2,2,13,0,27,0
65,PIT,Najee Harris,HarrNa00,2024-12-01,2024,13,REG,1,16,75,1,6,6,54,0,36,1
66,PIT,Najee Harris,HarrNa00,2024-12-08,2024,14,REG,1,16,53,1,0,0,0,0,27,0
67,PIT,Najee Harris,HarrNa00,2024-12-15,2024,15,REG,1,6,14,0,1,1,7,0,14,0
68,PIT,Najee Harris,HarrNa00,2024-12-21,2024,16,REG,1,9,42,0,1,0,0,0,17,0
69,PIT,Najee Harris,HarrNa00,2024-12-25,2024,17,REG,1,13,74,0,4,2,7,0,34,0
70,PIT,Najee Harris,HarrNa00,2025-01-04,2024,18,REG,1,12,36,1,5,4,20,0,30,0
71,PIT,Najee Harris,HarrNa00,2025-01-11,2024,19,POST,1,6,17,0,3,3,41,0,21,0
