CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,SDG,Natrone Means,MeanNa00,1993-09-05,1993,1,REG,0,14,43,0,1,0,0,0,0,0
2,SDG,Natrone Means,MeanNa00,1993-09-12,1993,2,REG,0,4,13,0,1,0,0,0,0,0
3,SDG,Natrone Means,MeanNa00,1993-09-19,1993,3,REG,0,10,33,0,3,0,0,0,0,0
0,SDG,Natrone Means,MeanNa00,,1993,4,BYE,0,0,0,0,0,0,0,0,0,0
4,SDG,Natrone Means,MeanNa00,1993-10-03,1993,5,REG,0,2,-3,0,2,2,18,0,0,0
5,SDG,Natrone Means,MeanNa00,1993-10-10,1993,6,REG,0,5,6,0,1,1,4,0,0,0
6,SDG,Natrone Means,MeanNa00,1993-10-17,1993,7,REG,0,12,34,1,4,4,20,0,0,0
0,SDG,Natrone Means,MeanNa00,,1993,8,BYE,0,0,0,0,0,0,0,0,0,0
7,SDG,Natrone Means,MeanNa00,1993-10-31,1993,9,REG,0,14,68,0,0,0,0,0,0,0
8,SDG,Natrone Means,MeanNa00,1993-11-07,1993,10,REG,0,17,105,1,0,0,0,0,0,0
9,SDG,Natrone Means,MeanNa00,1993-11-14,1993,11,REG,0,18,69,0,0,0,0,0,0,0
10,SDG,Natrone Means,MeanNa00,1993-11-21,1993,12,REG,0,4,10,0,0,0,0,0,0,0
11,SDG,Natrone Means,MeanNa00,1993-11-29,1993,13,REG,0,10,74,0,0,0,0,0,0,0
12,SDG,Natrone Means,MeanNa00,1993-12-05,1993,14,REG,0,10,22,1,3,2,15,0,0,0
13,SDG,Natrone Means,MeanNa00,1993-12-12,1993,15,REG,0,5,12,0,0,0,0,0,0,0
14,SDG,Natrone Means,MeanNa00,1993-12-19,1993,16,REG,0,10,22,1,1,1,2,0,0,0
15,SDG,Natrone Means,MeanNa00,1993-12-27,1993,17,REG,0,18,118,3,1,0,0,0,0,0
16,SDG,Natrone Means,MeanNa00,1994-01-02,1993,18,REG,0,7,19,1,1,0,0,0,0,0
17,SDG,Natrone Means,MeanNa00,1994-09-04,1994,1,REG,1,22,96,1,3,3,27,0,0,0
18,SDG,Natrone Means,MeanNa00,1994-09-11,1994,2,REG,1,21,107,1,1,1,16,0,0,0
19,SDG,Natrone Means,MeanNa00,1994-09-18,1994,3,REG,1,24,86,1,6,4,26,0,0,0
20,SDG,Natrone Means,MeanNa00,1994-09-25,1994,4,REG,1,21,52,1,3,3,20,0,0,0
0,SDG,Natrone Means,MeanNa00,,1994,5,BYE,0,0,0,0,0,0,0,0,0,0
21,SDG,Natrone Means,MeanNa00,1994-10-09,1994,6,REG,1,19,125,1,4,3,21,0,0,0
22,SDG,Natrone Means,MeanNa00,1994-10-16,1994,7,REG,1,26,120,3,1,1,10,0,0,0
23,SDG,Natrone Means,MeanNa00,1994-10-23,1994,8,REG,1,19,100,0,7,6,41,0,0,0
24,SDG,Natrone Means,MeanNa00,1994-10-30,1994,9,REG,1,26,104,1,2,2,2,0,0,0
25,SDG,Natrone Means,MeanNa00,1994-11-06,1994,10,REG,1,25,102,0,4,4,24,0,0,0
26,SDG,Natrone Means,MeanNa00,1994-11-13,1994,11,REG,1,21,55,0,6,6,25,0,0,0
27,SDG,Natrone Means,MeanNa00,1994-11-20,1994,12,REG,1,15,59,0,2,2,5,0,0,0
28,SDG,Natrone Means,MeanNa00,1994-11-27,1994,13,REG,1,23,95,0,1,1,4,0,0,0
29,SDG,Natrone Means,MeanNa00,1994-12-05,1994,14,REG,1,18,41,0,2,2,8,0,0,0
30,SDG,Natrone Means,MeanNa00,1994-12-11,1994,15,REG,1,18,50,1,1,1,6,0,0,0
31,SDG,Natrone Means,MeanNa00,1994-12-18,1994,16,REG,1,23,73,0,0,0,0,0,0,0
32,SDG,Natrone Means,MeanNa00,1994-12-24,1994,17,REG,1,22,85,2,0,0,0,0,0,0
33,SDG,Natrone Means,MeanNa00,1995-01-08,1994,19,POST,1,24,139,1,3,3,16,0,0,0
34,SDG,Natrone Means,MeanNa00,1995-01-15,1994,20,POST,1,20,69,0,4,2,19,0,0,0
35,SDG,Natrone Means,MeanNa00,1995-01-29,1994,21,POST,1,13,33,1,2,1,4,0,0,0
36,SDG,Natrone Means,MeanNa00,1995-09-03,1995,1,REG,1,15,60,0,0,0,0,0,0,0
37,SDG,Natrone Means,MeanNa00,1995-09-10,1995,2,REG,1,26,115,0,0,0,0,0,0,0
38,SDG,Natrone Means,MeanNa00,1995-09-17,1995,3,REG,1,23,122,0,0,0,0,0,0,0
39,SDG,Natrone Means,MeanNa00,1995-09-24,1995,4,REG,1,27,115,2,0,0,0,0,0,0
40,SDG,Natrone Means,MeanNa00,1995-10-01,1995,5,REG,1,18,92,1,1,0,0,0,0,0
41,SDG,Natrone Means,MeanNa00,1995-10-09,1995,6,REG,1,24,33,1,5,5,33,0,0,0
42,SDG,Natrone Means,MeanNa00,1995-10-15,1995,7,REG,1,22,90,0,1,0,0,0,0,0
43,SDG,Natrone Means,MeanNa00,1995-10-22,1995,8,REG,1,26,91,1,1,1,8,0,0,0
0,SDG,Natrone Means,MeanNa00,,1995,9,BYE,0,0,0,0,0,0,0,0,0,0
44,SDG,Natrone Means,MeanNa00,1995-11-05,1995,10,REG,1,2,6,0,1,1,5,0,0,0
0,SDG,Natrone Means,MeanNa00,1995-11-12,1995,11,DNP,0,0,0,0,0,0,0,0,0,0
0,SDG,Natrone Means,MeanNa00,1995-11-19,1995,12,DNP,0,0,0,0,0,0,0,0,0,0
0,SDG,Natrone Means,MeanNa00,1995-11-27,1995,13,DNP,0,0,0,0,0,0,0,0,0,0
0,SDG,Natrone Means,MeanNa00,1995-12-03,1995,14,DNP,0,0,0,0,0,0,0,0,0,0
0,SDG,Natrone Means,MeanNa00,1995-12-09,1995,15,DNP,0,0,0,0,0,0,0,0,0,0
45,SDG,Natrone Means,MeanNa00,1995-12-17,1995,16,REG,0,3,6,0,0,0,0,0,0,0
0,SDG,Natrone Means,MeanNa00,1995-12-23,1995,17,DNP,0,0,0,0,0,0,0,0,0,0
46,SDG,Natrone Means,MeanNa00,1995-12-31,1995,18,POST,0,6,11,0,0,0,0,0,0,0
0,JAX,Natrone Means,MeanNa00,1996-09-01,1996,1,DNP,0,0,0,0,0,0,0,0,0,0
0,JAX,Natrone Means,MeanNa00,1996-09-08,1996,2,DNP,0,0,0,0,0,0,0,0,0,0
47,JAX,Natrone Means,MeanNa00,1996-09-15,1996,3,REG,0,8,12,0,0,0,0,0,0,0
48,JAX,Natrone Means,MeanNa00,1996-09-22,1996,4,REG,0,0,0,0,0,0,0,0,0,0
49,JAX,Natrone Means,MeanNa00,1996-09-29,1996,5,REG,0,11,27,0,1,0,0,0,0,0
50,JAX,Natrone Means,MeanNa00,1996-10-06,1996,6,REG,0,6,50,0,0,0,0,0,0,0
51,JAX,Natrone Means,MeanNa00,1996-10-13,1996,7,REG,0,6,14,0,1,1,8,0,0,0
52,JAX,Natrone Means,MeanNa00,1996-10-20,1996,8,REG,0,1,-3,0,0,0,0,0,0,0
53,JAX,Natrone Means,MeanNa00,1996-10-27,1996,9,REG,0,7,24,0,1,1,11,1,0,0
0,JAX,Natrone Means,MeanNa00,,1996,10,BYE,0,0,0,0,0,0,0,0,0,0
54,JAX,Natrone Means,MeanNa00,1996-11-10,1996,11,REG,0,3,3,0,0,0,0,0,0,0
55,JAX,Natrone Means,MeanNa00,1996-11-17,1996,12,REG,0,4,16,0,0,0,0,0,0,0
56,JAX,Natrone Means,MeanNa00,1996-11-24,1996,13,REG,0,10,39,0,2,2,9,0,0,0
57,JAX,Natrone Means,MeanNa00,1996-12-01,1996,14,REG,1,21,56,0,1,1,7,0,0,0
58,JAX,Natrone Means,MeanNa00,1996-12-08,1996,15,REG,1,25,67,2,1,1,2,0,0,0
59,JAX,Natrone Means,MeanNa00,1996-12-15,1996,16,REG,1,23,92,0,2,1,8,0,0,0
60,JAX,Natrone Means,MeanNa00,1996-12-22,1996,17,REG,1,27,110,0,0,0,0,0,0,0
61,JAX,Natrone Means,MeanNa00,1996-12-28,1996,18,POST,1,31,175,1,3,1,-4,0,0,0
62,JAX,Natrone Means,MeanNa00,1997-01-04,1996,19,POST,1,21,140,1,4,4,46,0,0,0
63,JAX,Natrone Means,MeanNa00,1997-01-12,1996,20,POST,1,19,43,0,0,0,0,0,0,0
64,JAX,Natrone Means,MeanNa00,1997-08-31,1997,1,REG,1,25,67,1,2,2,5,0,0,0
65,JAX,Natrone Means,MeanNa00,1997-09-07,1997,2,REG,1,24,85,2,1,1,20,0,0,0
0,JAX,Natrone Means,MeanNa00,,1997,3,BYE,0,0,0,0,0,0,0,0,0,0
66,JAX,Natrone Means,MeanNa00,1997-09-22,1997,4,REG,1,24,40,1,0,0,0,0,0,0
67,JAX,Natrone Means,MeanNa00,1997-09-28,1997,5,REG,1,18,62,0,0,0,0,0,0,0
68,JAX,Natrone Means,MeanNa00,1997-10-05,1997,6,REG,1,15,75,0,1,0,0,0,0,0
69,JAX,Natrone Means,MeanNa00,1997-10-12,1997,7,REG,1,2,13,0,0,0,0,0,0,0
