CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp,SUSP,INJ,Game Status,Injuries
0,DEN,Olandis Gary,GaryOl00,1999-09-13,1999,1,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,DEN,Olandis Gary,GaryOl00,1999-09-19,1999,2,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,DEN,Olandis Gary,GaryOl00,1999-09-26,1999,3,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,DEN,Olandis Gary,GaryOl00,1999-10-03,1999,4,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
1,DEN,Olandis Gary,GaryOl00,1999-10-10,1999,5,REG,1,20,64,0,1,1,10,0,0,0,0,0,nan,nan
2,DEN,Olandis Gary,GaryOl00,1999-10-17,1999,6,REG,1,37,124,1,3,2,26,0,0,0,0,0,nan,nan
3,DEN,Olandis Gary,GaryOl00,1999-10-24,1999,7,REG,1,19,90,0,4,4,39,0,0,0,0,0,nan,nan
4,DEN,Olandis Gary,GaryOl00,1999-10-31,1999,8,REG,1,19,79,0,0,0,0,0,0,0,0,0,nan,nan
5,DEN,Olandis Gary,GaryOl00,1999-11-07,1999,9,REG,1,30,108,2,2,2,11,0,0,0,0,0,nan,nan
6,DEN,Olandis Gary,GaryOl00,1999-11-14,1999,10,REG,1,26,65,0,4,3,20,0,0,0,0,0,nan,nan
7,DEN,Olandis Gary,GaryOl00,1999-11-22,1999,11,REG,1,22,95,1,4,1,6,0,0,0,0,0,nan,nan
0,DEN,Olandis Gary,GaryOl00,1970-01-01,1999,12,BYE,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
8,DEN,Olandis Gary,GaryOl00,1999-12-05,1999,13,REG,1,14,61,1,2,2,15,0,0,0,0,0,nan,nan
9,DEN,Olandis Gary,GaryOl00,1999-12-13,1999,14,REG,1,20,67,1,1,1,5,0,0,0,0,0,nan,nan
10,DEN,Olandis Gary,GaryOl00,1999-12-19,1999,15,REG,1,22,183,0,3,2,16,0,0,0,0,0,nan,nan
11,DEN,Olandis Gary,GaryOl00,1999-12-25,1999,16,REG,1,29,185,1,0,0,0,0,0,0,0,0,nan,nan
12,DEN,Olandis Gary,GaryOl00,2000-01-02,1999,17,REG,1,18,38,0,5,3,11,0,0,0,0,0,nan,nan
13,DEN,Olandis Gary,GaryOl00,2000-09-04,2000,1,REG,0,13,80,0,4,3,10,0,0,0,0,0,nan,nan
0,DEN,Olandis Gary,GaryOl00,2000-09-10,2000,2,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,DEN,Olandis Gary,GaryOl00,2000-09-17,2000,3,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,DEN,Olandis Gary,GaryOl00,2000-09-24,2000,4,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
