CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp,SUSP,INJ,Game Status,Injuries
0,NOR,Pierre Thomas,ThomPi00,2007-09-06,2007,1,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,NOR,Pierre Thomas,ThomPi00,2007-09-16,2007,2,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,NOR,Pierre Thomas,ThomPi00,2007-09-24,2007,3,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,NOR,Pierre Thomas,ThomPi00,1970-01-01,2007,4,BYE,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
1,NOR,Pierre Thomas,ThomPi00,2007-10-07,2007,5,REG,0,1,3,0,0,0,0,0,0,0,0,0,,
2,NOR,Pierre Thomas,ThomPi00,2007-10-14,2007,6,REG,0,0,0,0,0,0,0,0,0,0,0,0,,
3,NOR,Pierre Thomas,ThomPi00,2007-10-21,2007,7,REG,0,2,28,1,0,0,0,0,0,0,0,0,,
4,NOR,Pierre Thomas,ThomPi00,2007-10-28,2007,8,REG,0,3,9,0,0,0,0,0,0,0,0,0,,
5,NOR,Pierre Thomas,ThomPi00,2007-11-04,2007,9,REG,0,0,0,0,0,0,0,0,0,0,0,0,,
6,NOR,Pierre Thomas,ThomPi00,2007-11-11,2007,10,REG,0,0,0,0,0,0,0,0,0,0,0,0,,
7,NOR,Pierre Thomas,ThomPi00,2007-11-18,2007,11,REG,0,1,6,0,0,0,0,0,0,0,0,0,,
8,NOR,Pierre Thomas,ThomPi00,2007-11-25,2007,12,REG,0,12,32,0,0,0,0,0,0,0,0,0,,
0,NOR,Pierre Thomas,ThomPi00,2007-12-02,2007,13,DNP,0,0,0,0,0,0,0,0,0,0,0,0,,
9,NOR,Pierre Thomas,ThomPi00,2007-12-10,2007,14,REG,0,6,31,0,0,0,0,0,0,0,0,0,,
10,NOR,Pierre Thomas,ThomPi00,2007-12-16,2007,15,REG,0,2,20,0,1,1,2,0,0,0,0,0,,
11,NOR,Pierre Thomas,ThomPi00,2007-12-23,2007,16,REG,0,5,18,0,7,4,28,0,0,0,0,0,,
12,NOR,Pierre Thomas,ThomPi00,2007-12-30,2007,17,REG,1,20,105,0,15,12,121,1,0,0,0,0,,
13,NOR,Pierre Thomas,ThomPi00,2008-09-07,2008,1,REG,1,10,52,0,2,2,11,0,0,0,0,0,,
14,NOR,Pierre Thomas,ThomPi00,2008-09-14,2008,2,REG,0,6,8,1,2,2,29,0,0,0,0,0,,
15,NOR,Pierre Thomas,ThomPi00,2008-09-21,2008,3,REG,0,6,15,2,3,3,8,0,0,0,0,0,,
16,NOR,Pierre Thomas,ThomPi00,2008-09-28,2008,4,REG,0,1,1,0,0,0,0,0,0,0,0,0,,
17,NOR,Pierre Thomas,ThomPi00,2008-10-06,2008,5,REG,0,0,0,0,0,0,0,0,0,0,0,0,,
18,NOR,Pierre Thomas,ThomPi00,2008-10-12,2008,6,REG,0,3,18,0,0,0,0,0,0,0,0,0,,
19,NOR,Pierre Thomas,ThomPi00,2008-10-19,2008,7,REG,0,1,2,0,0,0,0,0,0,0,0,0,,
20,NOR,Pierre Thomas,ThomPi00,2008-10-26,2008,8,REG,0,3,28,0,0,0,0,0,0,0,0,0,,
