CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp,SUSP,INJ,Game Status,Injuries
1,SEA,Rashaad Penny,PennRa00,2018-09-09,2018,1,REG,0,7,8,0,5,4,35,0,25,0,0,0,,
2,SEA,Rashaad Penny,PennRa00,2018-09-17,2018,2,REG,0,10,30,0,2,0,0,0,20,0,0,0,,
3,SEA,Rashaad Penny,PennRa00,2018-09-23,2018,3,REG,0,3,5,0,0,0,0,0,10,4,0,0,,
4,SEA,Rashaad Penny,PennRa00,2018-09-30,2018,4,REG,0,9,49,0,0,0,0,0,16,4,0,0,,
5,SEA,Rashaad Penny,PennRa00,2018-10-07,2018,5,REG,0,0,0,0,0,0,0,0,0,1,0,0,,
6,SEA,Rashaad Penny,PennRa00,2018-10-14,2018,6,REG,0,9,43,0,2,2,27,0,13,2,0,0,,
0,SEA,Rashaad Penny,PennRa00,,2018,7,BYE,0,0,0,0,0,0,0,0,0,0,0,0,,
7,SEA,Rashaad Penny,PennRa00,2018-10-28,2018,8,REG,0,0,0,0,0,0,0,0,0,2,0,0,,
8,SEA,Rashaad Penny,PennRa00,2018-11-04,2018,9,REG,0,4,11,0,3,3,13,0,13,3,0,0,,
9,SEA,Rashaad Penny,PennRa00,2018-11-11,2018,10,REG,0,12,108,1,0,0,0,0,27,0,0,0,,
10,SEA,Rashaad Penny,PennRa00,2018-11-15,2018,11,REG,0,8,46,0,0,0,0,0,17,0,0,0,,
11,SEA,Rashaad Penny,PennRa00,2018-11-25,2018,12,REG,0,4,4,0,0,0,0,0,10,0,0,0,,
12,SEA,Rashaad Penny,PennRa00,2018-12-02,2018,13,REG,0,7,65,1,0,0,0,0,12,0,0,0,,
13,SEA,Rashaad Penny,PennRa00,2018-12-10,2018,14,REG,0,8,44,0,0,0,0,0,14,0,0,0,,
0,SEA,Rashaad Penny,PennRa00,2018-12-16,2018,15,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Knee
0,SEA,Rashaad Penny,PennRa00,2018-12-23,2018,16,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Questionable,Knee
14,SEA,Rashaad Penny,PennRa00,2018-12-30,2018,17,REG,0,4,6,0,0,0,0,0,4,0,0,0,,
15,SEA,Rashaad Penny,PennRa00,2019-01-05,2018,18,POST,0,4,29,0,0,0,0,0,5,0,0,0,,
16,SEA,Rashaad Penny,PennRa00,2019-09-08,2019,1,REG,0,6,18,0,0,0,0,0,14,5,0,0,,
17,SEA,Rashaad Penny,PennRa00,2019-09-15,2019,2,REG,0,10,62,1,1,1,3,0,25,3,0,0,,
0,SEA,Rashaad Penny,PennRa00,2019-09-22,2019,3,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Questionable,Hamstring
0,SEA,Rashaad Penny,PennRa00,2019-09-29,2019,4,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Questionable,Hamstring
18,SEA,Rashaad Penny,PennRa00,2019-10-03,2019,5,REG,0,6,18,0,2,2,31,0,11,0,0,0,,
0,SEA,Rashaad Penny,PennRa00,2019-10-13,2019,6,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Questionable,Hamstring
19,SEA,Rashaad Penny,PennRa00,2019-10-20,2019,7,REG,0,0,0,0,0,0,0,0,2,0,0,0,,
20,SEA,Rashaad Penny,PennRa00,2019-10-27,2019,8,REG,0,8,55,0,0,0,0,0,18,0,0,0,,
21,SEA,Rashaad Penny,PennRa00,2019-11-03,2019,9,REG,0,4,12,0,1,0,0,0,11,0,0,0,,
22,SEA,Rashaad Penny,PennRa00,2019-11-11,2019,10,REG,0,2,2,0,0,0,0,0,3,0,0,0,,
0,SEA,Rashaad Penny,PennRa00,,2019,11,BYE,0,0,0,0,0,0,0,0,0,0,0,0,,
23,SEA,Rashaad Penny,PennRa00,2019-11-24,2019,12,REG,0,14,129,1,1,0,0,0,30,0,0,0,,
24,SEA,Rashaad Penny,PennRa00,2019-12-02,2019,13,REG,0,15,74,1,5,4,33,1,35,0,0,0,,
25,SEA,Rashaad Penny,PennRa00,2019-12-08,2019,14,REG,0,0,0,0,1,1,16,0,1,0,0,0,,
0,SEA,Rashaad Penny,PennRa00,2019-12-15,2019,15,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Knee
0,SEA,Rashaad Penny,PennRa00,2019-12-22,2019,16,DNP,0,0,0,0,0,0,0,0,0,0,0,0,,
0,SEA,Rashaad Penny,PennRa00,2019-12-29,2019,17,DNP,0,0,0,0,0,0,0,0,0,0,0,0,,
0,SEA,Rashaad Penny,PennRa00,2020-09-13,2020,1,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,SEA,Rashaad Penny,PennRa00,2020-09-20,2020,2,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,SEA,Rashaad Penny,PennRa00,2020-09-27,2020,3,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,SEA,Rashaad Penny,PennRa00,2020-10-04,2020,4,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,SEA,Rashaad Penny,PennRa00,2020-10-11,2020,5,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,SEA,Rashaad Penny,PennRa00,,2020,6,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,SEA,Rashaad Penny,PennRa00,2020-10-25,2020,7,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,SEA,Rashaad Penny,PennRa00,2020-11-01,2020,8,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,SEA,Rashaad Penny,PennRa00,2020-11-08,2020,9,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,SEA,Rashaad Penny,PennRa00,2020-11-15,2020,10,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,SEA,Rashaad Penny,PennRa00,2020-11-19,2020,11,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,SEA,Rashaad Penny,PennRa00,2020-11-30,2020,12,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,SEA,Rashaad Penny,PennRa00,2020-12-06,2020,13,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,SEA,Rashaad Penny,PennRa00,2020-12-13,2020,14,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
26,SEA,Rashaad Penny,PennRa00,2020-12-20,2020,15,REG,0,2,6,0,0,0,0,0,6,0,0,0,,
27,SEA,Rashaad Penny,PennRa00,2020-12-27,2020,16,REG,0,3,9,0,0,0,0,0,4,0,0,0,,
28,SEA,Rashaad Penny,PennRa00,2021-01-03,2020,17,REG,0,6,19,0,0,0,0,0,28,0,0,0,,
29,SEA,Rashaad Penny,PennRa00,2021-09-12,2021,1,REG,0,2,8,0,0,0,0,0,7,0,0,0,,
0,SEA,Rashaad Penny,PennRa00,2021-09-19,2021,2,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Doubtful,Calf
0,SEA,Rashaad Penny,PennRa00,2021-09-26,2021,3,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Calf
0,SEA,Rashaad Penny,PennRa00,2021-10-03,2021,4,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Calf
0,SEA,Rashaad Penny,PennRa00,2021-10-07,2021,5,DNP,0,0,0,0,0,0,0,0,0,0,0,0,,
0,SEA,Rashaad Penny,PennRa00,2021-10-17,2021,6,DNP,0,0,0,0,0,0,0,0,0,0,0,0,,
30,SEA,Rashaad Penny,PennRa00,2021-10-25,2021,7,REG,0,6,9,0,0,0,0,0,20,0,0,0,,
31,SEA,Rashaad Penny,PennRa00,2021-10-31,2021,8,REG,0,7,7,0,0,0,0,0,11,0,0,0,,
0,SEA,Rashaad Penny,PennRa00,,2021,9,BYE,0,0,0,0,0,0,0,0,0,0,0,0,,
0,SEA,Rashaad Penny,PennRa00,2021-11-14,2021,10,DNP,0,0,0,0,0,0,0,0,0,0,0,0,,
32,SEA,Rashaad Penny,PennRa00,2021-11-21,2021,11,REG,1,2,19,0,0,0,0,0,8,0,0,0,,
0,SEA,Rashaad Penny,PennRa00,2021-11-29,2021,12,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Hamstring
33,SEA,Rashaad Penny,PennRa00,2021-12-05,2021,13,REG,0,10,35,0,1,1,27,0,29,0,0,0,,
34,SEA,Rashaad Penny,PennRa00,2021-12-12,2021,14,REG,1,16,137,2,1,1,1,0,35,0,0,0,,
35,SEA,Rashaad Penny,PennRa00,2021-12-21,2021,15,REG,1,11,39,0,2,2,5,0,24,0,0,0,,
36,SEA,Rashaad Penny,PennRa00,2021-12-26,2021,16,REG,1,17,135,1,1,0,0,0,30,0,0,0,,
37,SEA,Rashaad Penny,PennRa00,2022-01-02,2021,17,REG,1,25,170,2,3,2,15,0,46,0,0,0,,
38,SEA,Rashaad Penny,PennRa00,2022-01-09,2021,18,REG,1,23,190,1,0,0,0,0,43,0,0,0,,
39,SEA,Rashaad Penny,PennRa00,2022-09-12,2022,1,REG,1,12,60,0,3,2,7,0,38,0,0,0,,
40,SEA,Rashaad Penny,PennRa00,2022-09-18,2022,2,REG,1,6,15,0,0,0,0,0,20,0,0,0,,
41,SEA,Rashaad Penny,PennRa00,2022-09-25,2022,3,REG,1,14,66,0,1,1,3,0,49,0,0,0,,
42,SEA,Rashaad Penny,PennRa00,2022-10-02,2022,4,REG,1,17,151,2,1,1,6,0,48,0,0,0,,
43,SEA,Rashaad Penny,PennRa00,2022-10-09,2022,5,REG,1,8,54,0,0,0,0,0,15,0,0,0,,
0,SEA,Rashaad Penny,PennRa00,2022-10-16,2022,6,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,SEA,Rashaad Penny,PennRa00,2022-10-23,2022,7,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,SEA,Rashaad Penny,PennRa00,2022-10-30,2022,8,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,SEA,Rashaad Penny,PennRa00,2022-11-06,2022,9,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,SEA,Rashaad Penny,PennRa00,2022-11-13,2022,10,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,SEA,Rashaad Penny,PennRa00,,2022,11,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,SEA,Rashaad Penny,PennRa00,2022-11-27,2022,12,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,SEA,Rashaad Penny,PennRa00,2022-12-04,2022,13,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,SEA,Rashaad Penny,PennRa00,2022-12-11,2022,14,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,SEA,Rashaad Penny,PennRa00,2022-12-15,2022,15,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
