CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp,SUSP,INJ,Game Status,Injuries
0,CIN,Rex Burkhead,BurkRe00,2013-09-08,2013,1,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,CIN,Rex Burkhead,BurkRe00,2013-09-16,2013,2,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,CIN,Rex Burkhead,BurkRe00,2013-09-22,2013,3,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,CIN,Rex Burkhead,BurkRe00,2013-09-29,2013,4,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,CIN,Rex Burkhead,BurkRe00,2013-10-06,2013,5,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,CIN,Rex Burkhead,BurkRe00,2013-10-13,2013,6,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,CIN,Rex Burkhead,BurkRe00,2013-10-20,2013,7,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,CIN,Rex Burkhead,BurkRe00,2013-10-27,2013,8,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Questionable,Calf
0,CIN,Rex Burkhead,BurkRe00,2013-10-31,2013,9,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Questionable,Hamstring
1,CIN,Rex Burkhead,BurkRe00,2013-11-10,2013,10,REG,0,0,0,0,0,0,0,0,0,17,0,0,,
0,CIN,Rex Burkhead,BurkRe00,2013-11-17,2013,11,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,CIN,Rex Burkhead,BurkRe00,1970-01-01,2013,12,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,CIN,Rex Burkhead,BurkRe00,2013-12-01,2013,13,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,CIN,Rex Burkhead,BurkRe00,2013-12-08,2013,14,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,CIN,Rex Burkhead,BurkRe00,2013-12-15,2013,15,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
