CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp,SUSP,INJ,Game Status,Injuries
1,NWE,Rhamondre Stevenson,StevRh00,2021-09-12,2021,1,REG,0,1,2,0,1,1,9,0,5,0,0,0,,
0,NWE,Rhamondre Stevenson,StevRh00,2021-09-19,2021,2,DNP,0,0,0,0,0,0,0,0,0,0,0,0,,
0,NWE,Rhamondre Stevenson,StevRh00,2021-09-26,2021,3,DNP,0,0,0,0,0,0,0,0,0,0,0,0,,
0,NWE,Rhamondre Stevenson,StevRh00,2021-10-03,2021,4,DNP,0,0,0,0,0,0,0,0,0,0,0,0,,
2,NWE,Rhamondre Stevenson,StevRh00,2021-10-10,2021,5,REG,0,11,23,0,0,0,0,0,22,0,0,0,,
3,NWE,Rhamondre Stevenson,StevRh00,2021-10-17,2021,6,REG,0,5,23,1,3,3,39,0,18,0,0,0,,
0,NWE,Rhamondre Stevenson,StevRh00,2021-10-24,2021,7,DNP,0,0,0,0,0,0,0,0,0,0,0,0,,
4,NWE,Rhamondre Stevenson,StevRh00,2021-10-31,2021,8,REG,0,8,26,0,2,1,5,0,12,0,0,0,,
5,NWE,Rhamondre Stevenson,StevRh00,2021-11-07,2021,9,REG,0,10,62,0,2,2,44,0,17,1,0,0,,
6,NWE,Rhamondre Stevenson,StevRh00,2021-11-14,2021,10,REG,1,20,100,2,5,4,14,0,37,0,0,0,,
7,NWE,Rhamondre Stevenson,StevRh00,2021-11-18,2021,11,REG,0,12,69,0,1,1,6,0,22,0,0,0,,
8,NWE,Rhamondre Stevenson,StevRh00,2021-11-28,2021,12,REG,0,9,46,0,1,0,0,0,20,0,0,0,,
9,NWE,Rhamondre Stevenson,StevRh00,2021-12-06,2021,13,REG,0,24,78,0,0,0,0,0,32,0,0,0,,
0,NWE,Rhamondre Stevenson,StevRh00,,2021,14,BYE,0,0,0,0,0,0,0,0,0,0,0,0,,
10,NWE,Rhamondre Stevenson,StevRh00,2021-12-18,2021,15,REG,1,10,36,0,1,1,4,0,31,0,0,0,,
0,NWE,Rhamondre Stevenson,StevRh00,2021-12-26,2021,16,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Illness
11,NWE,Rhamondre Stevenson,StevRh00,2022-01-02,2021,17,REG,0,19,107,2,0,0,0,0,40,0,0,0,,
12,NWE,Rhamondre Stevenson,StevRh00,2022-01-09,2021,18,REG,0,4,34,0,2,1,2,0,9,0,0,0,,
13,NWE,Rhamondre Stevenson,StevRh00,2022-01-15,2021,19,POST,0,8,27,0,4,4,33,0,23,0,0,0,,
14,NWE,Rhamondre Stevenson,StevRh00,2022-09-11,2022,1,REG,0,8,25,0,2,2,2,0,14,0,0,0,,
15,NWE,Rhamondre Stevenson,StevRh00,2022-09-18,2022,2,REG,0,9,47,0,2,1,4,0,42,0,0,0,,
16,NWE,Rhamondre Stevenson,StevRh00,2022-09-25,2022,3,REG,0,12,73,1,5,4,28,0,41,0,0,0,,
17,NWE,Rhamondre Stevenson,StevRh00,2022-10-02,2022,4,REG,0,14,66,0,5,4,23,0,32,0,0,0,,
18,NWE,Rhamondre Stevenson,StevRh00,2022-10-09,2022,5,REG,0,25,161,0,2,2,14,0,54,0,0,0,,
19,NWE,Rhamondre Stevenson,StevRh00,2022-10-16,2022,6,REG,1,19,76,2,5,4,15,0,60,0,0,0,,
20,NWE,Rhamondre Stevenson,StevRh00,2022-10-24,2022,7,REG,1,11,39,1,8,8,59,0,40,0,0,0,,
21,NWE,Rhamondre Stevenson,StevRh00,2022-10-30,2022,8,REG,0,16,71,0,7,7,72,0,49,1,0,0,,
22,NWE,Rhamondre Stevenson,StevRh00,2022-11-06,2022,9,REG,1,15,60,0,7,3,10,1,46,0,0,0,,
0,NWE,Rhamondre Stevenson,StevRh00,,2022,10,BYE,0,0,0,0,0,0,0,0,0,0,0,0,,
23,NWE,Rhamondre Stevenson,StevRh00,2022-11-20,2022,11,REG,0,15,26,0,6,6,56,0,49,0,0,0,,
24,NWE,Rhamondre Stevenson,StevRh00,2022-11-24,2022,12,REG,0,7,36,0,10,9,76,0,45,0,0,0,,
25,NWE,Rhamondre Stevenson,StevRh00,2022-12-01,2022,13,REG,1,10,54,0,8,6,24,0,53,0,0,0,,
26,NWE,Rhamondre Stevenson,StevRh00,2022-12-12,2022,14,REG,1,3,8,0,3,2,2,0,13,0,0,0,,
27,NWE,Rhamondre Stevenson,StevRh00,2022-12-18,2022,15,REG,0,19,172,1,3,2,-4,0,43,0,0,0,,
28,NWE,Rhamondre Stevenson,StevRh00,2022-12-24,2022,16,REG,1,13,30,0,5,2,3,0,51,0,0,0,,
29,NWE,Rhamondre Stevenson,StevRh00,2023-01-01,2022,17,REG,1,8,42,0,4,2,9,0,34,1,0,0,,
30,NWE,Rhamondre Stevenson,StevRh00,2023-01-08,2022,18,REG,0,6,54,0,6,5,28,0,33,0,0,0,,
31,NWE,Rhamondre Stevenson,StevRh00,2023-09-10,2023,1,REG,1,12,25,0,6,6,64,0,58,0,0,0,,
32,NWE,Rhamondre Stevenson,StevRh00,2023-09-17,2023,2,REG,1,15,50,1,3,3,10,0,54,0,0,0,,
33,NWE,Rhamondre Stevenson,StevRh00,2023-09-24,2023,3,REG,1,19,59,0,4,1,3,0,47,0,0,0,,
34,NWE,Rhamondre Stevenson,StevRh00,2023-10-01,2023,4,REG,1,14,30,0,3,2,10,0,35,0,0,0,,
35,NWE,Rhamondre Stevenson,StevRh00,2023-10-08,2023,5,REG,1,8,24,0,2,0,0,0,27,0,0,0,,
36,NWE,Rhamondre Stevenson,StevRh00,2023-10-15,2023,6,REG,1,10,46,1,6,5,24,0,39,0,0,0,,
