CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp,SUSP,INJ,Game Status,Injuries
0,NYJ,Richie Anderson,AndeRi00,1993-09-05,1993,1,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,NYJ,Richie Anderson,AndeRi00,1993-09-12,1993,2,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,NYJ,Richie Anderson,AndeRi00,1970-01-01,1993,3,BYE,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,NYJ,Richie Anderson,AndeRi00,1993-09-26,1993,4,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
1,NYJ,Richie Anderson,AndeRi00,1993-10-03,1993,5,REG,0,0,0,0,0,0,0,0,0,0,0,0,,
2,NYJ,Richie Anderson,AndeRi00,1993-10-10,1993,6,REG,0,0,0,0,0,0,0,0,0,0,0,0,,
0,NYJ,Richie Anderson,AndeRi00,1970-01-01,1993,7,BYE,0,0,0,0,0,0,0,0,0,0,0,0,,
3,NYJ,Richie Anderson,AndeRi00,1993-10-24,1993,8,REG,0,0,0,0,0,0,0,0,0,0,0,0,,
4,NYJ,Richie Anderson,AndeRi00,1993-10-31,1993,9,REG,0,0,0,0,0,0,0,0,0,0,0,0,,
5,NYJ,Richie Anderson,AndeRi00,1993-11-07,1993,10,REG,0,0,0,0,0,0,0,0,0,0,0,0,,
6,NYJ,Richie Anderson,AndeRi00,1993-11-14,1993,11,REG,0,0,0,0,1,0,0,0,0,0,0,0,,
7,NYJ,Richie Anderson,AndeRi00,1993-11-21,1993,12,REG,0,0,0,0,0,0,0,0,0,0,0,0,,
0,NYJ,Richie Anderson,AndeRi00,1993-11-28,1993,13,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,NYJ,Richie Anderson,AndeRi00,1993-12-05,1993,14,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
