CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,WAS,Ricky Ervins,ErviRi00,1991-09-01,1991,1,REG,0,6,54,0,0,0,0,0,0,0
0,WAS,Ricky Ervins,ErviRi00,1991-09-09,1991,2,DNP,0,0,0,0,0,0,0,0,0,0
2,WAS,Ricky Ervins,ErviRi00,1991-09-15,1991,3,REG,0,4,23,0,3,3,19,0,0,0
3,WAS,Ricky Ervins,ErviRi00,1991-09-22,1991,4,REG,0,0,0,0,0,0,0,0,0,0
4,WAS,Ricky Ervins,ErviRi00,1991-09-30,1991,5,REG,0,1,9,0,1,1,23,0,0,0
5,WAS,Ricky Ervins,ErviRi00,1991-10-06,1991,6,REG,0,0,0,0,0,0,0,0,0,0
6,WAS,Ricky Ervins,ErviRi00,1991-10-13,1991,7,REG,0,13,133,2,0,0,0,0,0,0
0,WAS,Ricky Ervins,ErviRi00,,1991,8,BYE,0,0,0,0,0,0,0,0,0,0
7,WAS,Ricky Ervins,ErviRi00,1991-10-27,1991,9,REG,0,20,82,0,2,2,9,0,0,0
8,WAS,Ricky Ervins,ErviRi00,1991-11-03,1991,10,REG,0,9,43,0,1,1,6,0,0,0
9,WAS,Ricky Ervins,ErviRi00,1991-11-10,1991,11,REG,0,16,39,0,1,0,0,0,0,0
10,WAS,Ricky Ervins,ErviRi00,1991-11-17,1991,12,REG,0,23,84,0,3,3,25,0,0,0
11,WAS,Ricky Ervins,ErviRi00,1991-11-24,1991,13,REG,0,5,29,0,2,1,13,0,0,0
12,WAS,Ricky Ervins,ErviRi00,1991-12-01,1991,14,REG,0,6,17,0,2,2,36,1,0,0
13,WAS,Ricky Ervins,ErviRi00,1991-12-08,1991,15,REG,0,6,22,0,0,0,0,0,0,0
14,WAS,Ricky Ervins,ErviRi00,1991-12-15,1991,16,REG,0,13,85,0,1,1,9,0,0,0
15,WAS,Ricky Ervins,ErviRi00,1991-12-22,1991,17,REG,0,23,60,1,3,2,41,0,0,0
16,WAS,Ricky Ervins,ErviRi00,1992-01-04,1991,19,POST,0,23,104,1,3,3,24,0,0,0
17,WAS,Ricky Ervins,ErviRi00,1992-01-12,1991,20,POST,0,13,53,0,0,0,0,0,0,0
18,WAS,Ricky Ervins,ErviRi00,1992-01-26,1991,21,POST,0,13,72,0,0,0,0,0,0,0
19,WAS,Ricky Ervins,ErviRi00,1992-09-07,1992,1,REG,0,6,16,0,2,2,8,0,0,0
20,WAS,Ricky Ervins,ErviRi00,1992-09-13,1992,2,REG,0,16,71,0,0,0,0,0,0,0
21,WAS,Ricky Ervins,ErviRi00,1992-09-20,1992,3,REG,0,9,10,0,1,1,7,0,0,0
0,WAS,Ricky Ervins,ErviRi00,,1992,4,BYE,0,0,0,0,0,0,0,0,0,0
