CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp,SUSP,INJ,Game Status,Injuries
1,SEA,Robert Turbin,TurbRo00,2012-09-09,2012,1,REG,0,2,5,0,1,1,2,0,8,0,0,0,,
2,SEA,Robert Turbin,TurbRo00,2012-09-16,2012,2,REG,0,5,15,0,2,2,24,0,11,3,0,0,,
3,SEA,Robert Turbin,TurbRo00,2012-09-24,2012,3,REG,0,0,0,0,0,0,0,0,2,6,0,0,,
4,SEA,Robert Turbin,TurbRo00,2012-09-30,2012,4,REG,0,6,45,0,2,2,13,0,11,4,0,0,,
5,SEA,Robert Turbin,TurbRo00,2012-10-07,2012,5,REG,0,4,6,0,2,2,8,0,12,0,0,0,,
6,SEA,Robert Turbin,TurbRo00,2012-10-14,2012,6,REG,0,5,27,0,2,2,21,0,12,1,0,0,,
7,SEA,Robert Turbin,TurbRo00,2012-10-18,2012,7,REG,0,4,17,0,1,0,0,0,11,4,0,0,,
8,SEA,Robert Turbin,TurbRo00,2012-10-28,2012,8,REG,0,4,14,0,3,2,28,0,13,0,0,0,,
9,SEA,Robert Turbin,TurbRo00,2012-11-04,2012,9,REG,0,5,21,0,1,1,9,0,20,2,0,0,,
10,SEA,Robert Turbin,TurbRo00,2012-11-11,2012,10,REG,0,7,17,0,0,0,0,0,20,0,0,0,,
0,SEA,Robert Turbin,TurbRo00,,2012,11,BYE,0,0,0,0,0,0,0,0,0,0,0,0,,
11,SEA,Robert Turbin,TurbRo00,2012-11-25,2012,12,REG,0,2,9,0,3,3,47,0,15,4,0,0,,
12,SEA,Robert Turbin,TurbRo00,2012-12-02,2012,13,REG,0,1,6,0,0,0,0,0,12,0,0,0,,
13,SEA,Robert Turbin,TurbRo00,2012-12-09,2012,14,REG,0,20,108,0,1,0,0,0,29,8,0,0,,
14,SEA,Robert Turbin,TurbRo00,2012-12-16,2012,15,REG,0,10,31,0,1,1,-3,0,22,3,0,0,,
15,SEA,Robert Turbin,TurbRo00,2012-12-23,2012,16,REG,0,3,38,0,3,2,20,0,17,1,0,0,,
16,SEA,Robert Turbin,TurbRo00,2012-12-30,2012,17,REG,0,2,-5,0,1,1,12,0,10,2,0,0,,
17,SEA,Robert Turbin,TurbRo00,2013-01-06,2012,18,POST,0,8,22,0,1,1,6,0,23,2,0,0,,
18,SEA,Robert Turbin,TurbRo00,2013-01-13,2012,19,POST,0,4,18,0,3,2,37,0,17,1,0,0,,
19,SEA,Robert Turbin,TurbRo00,2013-09-08,2013,1,REG,0,3,17,0,2,2,13,0,18,0,0,0,,
20,SEA,Robert Turbin,TurbRo00,2013-09-15,2013,2,REG,0,6,31,0,1,0,0,0,19,0,0,0,,
21,SEA,Robert Turbin,TurbRo00,2013-09-22,2013,3,REG,0,3,5,0,1,0,0,0,16,1,0,0,,
22,SEA,Robert Turbin,TurbRo00,2013-09-29,2013,4,REG,0,3,4,0,0,0,0,0,11,0,0,0,,
