CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp,SUSP,INJ,Game Status,Injuries
1,HOU,Rodney Thomas,ThomRo00,1995-09-03,1995,1,REG,0,6,47,0,4,1,0,0,0,0,0,0,nan,nan
2,HOU,Rodney Thomas,ThomRo00,1995-09-10,1995,2,REG,0,5,23,1,1,1,3,0,0,0,0,0,nan,nan
3,HOU,Rodney Thomas,ThomRo00,1995-09-17,1995,3,REG,1,14,26,0,2,2,32,0,0,0,0,0,nan,nan
4,HOU,Rodney Thomas,ThomRo00,1995-09-24,1995,4,REG,0,25,76,1,4,4,16,1,0,0,0,0,nan,nan
5,HOU,Rodney Thomas,ThomRo00,1995-10-01,1995,5,REG,1,17,59,0,13,8,53,1,0,0,0,0,nan,nan
6,HOU,Rodney Thomas,ThomRo00,1995-10-08,1995,6,REG,1,9,45,0,8,5,20,0,0,0,0,0,nan,nan
0,HOU,Rodney Thomas,ThomRo00,,1995,7,BYE,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
7,HOU,Rodney Thomas,ThomRo00,1995-10-22,1995,8,REG,1,4,11,0,2,1,4,0,0,0,0,0,nan,nan
8,HOU,Rodney Thomas,ThomRo00,1995-10-29,1995,9,REG,0,23,89,0,1,1,4,0,0,0,0,0,nan,nan
9,HOU,Rodney Thomas,ThomRo00,1995-11-05,1995,10,REG,0,17,108,0,2,2,1,0,0,0,0,0,nan,nan
10,HOU,Rodney Thomas,ThomRo00,1995-11-12,1995,11,REG,1,16,65,0,6,2,14,0,0,0,0,0,nan,nan
11,HOU,Rodney Thomas,ThomRo00,1995-11-19,1995,12,REG,1,25,58,0,6,3,11,0,0,0,0,0,nan,nan
12,HOU,Rodney Thomas,ThomRo00,1995-11-26,1995,13,REG,1,13,104,1,1,1,4,0,0,0,0,0,nan,nan
13,HOU,Rodney Thomas,ThomRo00,1995-12-03,1995,14,REG,1,20,56,0,3,3,6,0,0,0,0,0,nan,nan
14,HOU,Rodney Thomas,ThomRo00,1995-12-10,1995,15,REG,1,21,74,0,3,3,21,0,0,0,0,0,nan,nan
15,HOU,Rodney Thomas,ThomRo00,1995-12-17,1995,16,REG,0,12,26,0,1,1,15,0,0,0,0,0,nan,nan
16,HOU,Rodney Thomas,ThomRo00,1995-12-24,1995,17,REG,1,24,80,2,2,1,0,0,0,0,0,0,nan,nan
17,HOU,Rodney Thomas,ThomRo00,1996-09-01,1996,1,REG,0,1,8,0,1,1,6,0,0,0,0,0,nan,nan
18,HOU,Rodney Thomas,ThomRo00,1996-09-08,1996,2,REG,0,9,27,0,0,0,0,0,0,0,0,0,nan,nan
19,HOU,Rodney Thomas,ThomRo00,1996-09-15,1996,3,REG,0,10,32,0,1,1,5,0,0,0,0,0,nan,nan
0,HOU,Rodney Thomas,ThomRo00,,1996,4,BYE,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
20,HOU,Rodney Thomas,ThomRo00,1996-09-29,1996,5,REG,0,4,7,0,2,2,19,0,0,0,0,0,nan,nan
21,HOU,Rodney Thomas,ThomRo00,1996-10-06,1996,6,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
22,HOU,Rodney Thomas,ThomRo00,1996-10-13,1996,7,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
23,HOU,Rodney Thomas,ThomRo00,1996-10-20,1996,8,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
24,HOU,Rodney Thomas,ThomRo00,1996-10-27,1996,9,REG,0,1,6,0,0,0,0,0,0,0,0,0,nan,nan
25,HOU,Rodney Thomas,ThomRo00,1996-11-03,1996,10,REG,0,1,-2,0,4,3,57,0,0,0,0,0,nan,nan
26,HOU,Rodney Thomas,ThomRo00,1996-11-10,1996,11,REG,0,3,1,0,0,0,0,0,0,0,0,0,nan,nan
27,HOU,Rodney Thomas,ThomRo00,1996-11-17,1996,12,REG,0,1,-3,0,1,0,0,0,0,0,0,0,nan,nan
28,HOU,Rodney Thomas,ThomRo00,1996-11-24,1996,13,REG,0,3,15,0,4,3,17,0,0,0,0,0,nan,nan
29,HOU,Rodney Thomas,ThomRo00,1996-12-01,1996,14,REG,0,9,54,1,0,0,0,0,0,0,0,0,nan,nan
30,HOU,Rodney Thomas,ThomRo00,1996-12-08,1996,15,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
31,HOU,Rodney Thomas,ThomRo00,1996-12-15,1996,16,REG,0,2,13,0,2,1,7,0,0,0,0,0,nan,nan
32,HOU,Rodney Thomas,ThomRo00,1996-12-22,1996,17,REG,0,5,-7,0,2,2,17,0,0,0,0,0,nan,nan
