CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp,SUSP,INJ,Game Status,Injuries
1,DEN,Royce Freeman,FreeRo00,2018-09-09,2018,1,REG,1,15,71,0,0,0,0,0,29,0,0,0,,
2,DEN,Royce Freeman,FreeRo00,2018-09-16,2018,2,REG,1,8,28,1,1,0,0,0,16,0,0,0,,
3,DEN,Royce Freeman,FreeRo00,2018-09-23,2018,3,REG,1,13,53,1,1,1,5,0,29,0,0,0,,
4,DEN,Royce Freeman,FreeRo00,2018-10-01,2018,4,REG,1,8,67,1,0,0,0,0,16,0,0,0,,
5,DEN,Royce Freeman,FreeRo00,2018-10-07,2018,5,REG,1,5,31,0,4,3,16,0,30,0,0,0,,
6,DEN,Royce Freeman,FreeRo00,2018-10-14,2018,6,REG,1,9,22,0,0,0,0,0,25,0,0,0,,
7,DEN,Royce Freeman,FreeRo00,2018-10-18,2018,7,REG,1,13,37,1,0,0,0,0,18,0,0,0,,
0,DEN,Royce Freeman,FreeRo00,2018-10-28,2018,8,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Ankle
0,DEN,Royce Freeman,FreeRo00,2018-11-04,2018,9,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Questionable,Ankle
0,DEN,Royce Freeman,FreeRo00,,2018,10,BYE,0,0,0,0,0,0,0,0,0,0,0,0,,
8,DEN,Royce Freeman,FreeRo00,2018-11-18,2018,11,REG,0,7,23,1,1,1,7,0,13,0,0,0,,
9,DEN,Royce Freeman,FreeRo00,2018-11-25,2018,12,REG,0,6,17,0,0,0,0,0,15,0,0,0,,
10,DEN,Royce Freeman,FreeRo00,2018-12-02,2018,13,REG,0,12,48,0,0,0,0,0,21,0,0,0,,
11,DEN,Royce Freeman,FreeRo00,2018-12-09,2018,14,REG,0,6,36,0,1,0,0,0,9,0,0,0,,
12,DEN,Royce Freeman,FreeRo00,2018-12-15,2018,15,REG,0,4,7,0,1,1,1,0,18,0,0,0,,
13,DEN,Royce Freeman,FreeRo00,2018-12-24,2018,16,REG,0,7,21,0,1,0,0,0,25,0,0,0,,
14,DEN,Royce Freeman,FreeRo00,2018-12-30,2018,17,REG,1,17,60,0,10,8,43,0,44,0,0,0,,
15,DEN,Royce Freeman,FreeRo00,2019-09-09,2019,1,REG,0,10,56,0,1,1,5,0,29,0,0,0,,
16,DEN,Royce Freeman,FreeRo00,2019-09-15,2019,2,REG,0,11,54,0,7,5,48,0,43,0,0,0,,
17,DEN,Royce Freeman,FreeRo00,2019-09-22,2019,3,REG,0,15,63,0,5,4,10,0,36,0,0,0,,
18,DEN,Royce Freeman,FreeRo00,2019-09-29,2019,4,REG,0,6,16,0,6,4,34,0,34,0,0,0,,
19,DEN,Royce Freeman,FreeRo00,2019-10-06,2019,5,REG,0,13,61,0,2,2,6,0,32,0,0,0,,
20,DEN,Royce Freeman,FreeRo00,2019-10-13,2019,6,REG,0,11,34,0,5,5,42,0,37,0,0,0,,
21,DEN,Royce Freeman,FreeRo00,2019-10-17,2019,7,REG,0,10,35,1,5,4,32,0,42,0,0,0,,
22,DEN,Royce Freeman,FreeRo00,2019-10-27,2019,8,REG,0,12,40,1,2,1,5,0,37,0,0,0,,
23,DEN,Royce Freeman,FreeRo00,2019-11-03,2019,9,REG,0,5,15,0,1,1,-1,0,24,0,0,0,,
0,DEN,Royce Freeman,FreeRo00,,2019,10,BYE,0,0,0,0,0,0,0,0,0,0,0,0,,
24,DEN,Royce Freeman,FreeRo00,2019-11-17,2019,11,REG,0,8,31,0,1,1,14,0,23,0,0,0,,
25,DEN,Royce Freeman,FreeRo00,2019-11-24,2019,12,REG,0,2,20,0,2,2,9,0,27,0,0,0,,
26,DEN,Royce Freeman,FreeRo00,2019-12-01,2019,13,REG,0,5,11,0,4,4,13,0,31,0,0,0,,
27,DEN,Royce Freeman,FreeRo00,2019-12-08,2019,14,REG,0,8,24,0,2,2,8,1,27,0,0,0,,
28,DEN,Royce Freeman,FreeRo00,2019-12-15,2019,15,REG,0,5,12,0,4,4,14,0,32,0,0,0,,
29,DEN,Royce Freeman,FreeRo00,2019-12-22,2019,16,REG,0,9,28,1,2,2,9,0,28,0,0,0,,
30,DEN,Royce Freeman,FreeRo00,2019-12-29,2019,17,REG,0,2,-4,0,1,1,8,0,24,0,0,0,,
31,DEN,Royce Freeman,FreeRo00,2020-09-14,2020,1,REG,0,1,0,0,1,1,12,0,6,7,0,0,,
32,DEN,Royce Freeman,FreeRo00,2020-09-20,2020,2,REG,0,3,20,0,0,0,0,0,16,6,0,0,,
33,DEN,Royce Freeman,FreeRo00,2020-09-27,2020,3,REG,0,2,4,0,2,2,31,0,24,7,0,0,,
34,DEN,Royce Freeman,FreeRo00,2020-10-01,2020,4,REG,0,3,6,0,2,2,6,0,14,0,0,0,,
0,DEN,Royce Freeman,FreeRo00,,2020,5,BYE,0,0,0,0,0,0,0,0,0,0,0,0,,
35,DEN,Royce Freeman,FreeRo00,2020-10-18,2020,6,REG,0,8,26,0,1,1,4,0,25,3,0,0,,
36,DEN,Royce Freeman,FreeRo00,2020-10-25,2020,7,REG,0,3,12,0,2,1,5,0,18,17,0,0,,
37,DEN,Royce Freeman,FreeRo00,2020-11-01,2020,8,REG,0,0,0,0,0,0,0,0,0,19,0,0,,
38,DEN,Royce Freeman,FreeRo00,2020-11-08,2020,9,REG,0,0,0,0,0,0,0,0,1,24,0,0,,
39,DEN,Royce Freeman,FreeRo00,2020-11-15,2020,10,REG,0,2,11,0,2,2,15,0,10,18,0,0,,
40,DEN,Royce Freeman,FreeRo00,2020-11-22,2020,11,REG,0,0,0,0,0,0,0,0,4,17,0,0,,
41,DEN,Royce Freeman,FreeRo00,2020-11-29,2020,12,REG,0,8,50,0,0,0,0,0,13,0,0,0,,
42,DEN,Royce Freeman,FreeRo00,2020-12-06,2020,13,REG,0,0,0,0,0,0,0,0,4,12,0,0,,
43,DEN,Royce Freeman,FreeRo00,2020-12-13,2020,14,REG,0,0,0,0,0,0,0,0,4,13,0,0,,
44,DEN,Royce Freeman,FreeRo00,2020-12-19,2020,15,REG,0,1,4,0,0,0,0,0,7,7,0,0,,
45,DEN,Royce Freeman,FreeRo00,2020-12-27,2020,16,REG,0,2,16,0,2,2,7,0,18,5,0,0,,
46,DEN,Royce Freeman,FreeRo00,2021-01-03,2020,17,REG,0,2,21,0,1,1,1,0,29,4,0,0,,
47,CAR,Royce Freeman,FreeRo00,2021-09-12,2021,1,REG,0,0,0,0,0,0,0,0,0,4,0,0,,
48,CAR,Royce Freeman,FreeRo00,2021-09-19,2021,2,REG,0,0,0,0,0,0,0,0,3,5,0,0,,
49,CAR,Royce Freeman,FreeRo00,2021-09-23,2021,3,REG,0,5,17,0,1,1,8,0,11,11,0,0,,
50,CAR,Royce Freeman,FreeRo00,2021-10-03,2021,4,REG,0,3,12,0,0,0,0,0,12,0,0,0,,
51,CAR,Royce Freeman,FreeRo00,2021-10-10,2021,5,REG,0,3,2,0,2,1,6,0,14,0,0,0,,
52,CAR,Royce Freeman,FreeRo00,2021-10-17,2021,6,REG,0,1,3,0,0,0,0,0,23,3,0,0,,
53,CAR,Royce Freeman,FreeRo00,2021-10-24,2021,7,REG,0,3,18,0,2,1,1,0,29,9,0,0,,
54,CAR,Royce Freeman,FreeRo00,2021-10-31,2021,8,REG,0,6,25,0,1,0,0,0,11,1,0,0,,
0,CAR,Royce Freeman,FreeRo00,2021-11-07,2021,9,DNP,0,0,0,0,0,0,0,0,0,0,0,0,,
0,CAR,Royce Freeman,FreeRo00,2021-11-14,2021,10,DNP,0,0,0,0,0,0,0,0,0,0,0,0,,
0,CAR,Royce Freeman,FreeRo00,2021-11-21,2021,11,DNP,0,0,0,0,0,0,0,0,0,0,0,0,,
55,HOU,Royce Freeman,FreeRo00,2021-11-28,2021,12,REG,0,0,0,0,0,0,0,0,0,5,0,0,,
56,HOU,Royce Freeman,FreeRo00,2021-12-05,2021,13,REG,0,3,10,0,1,1,11,0,22,6,0,0,,
57,HOU,Royce Freeman,FreeRo00,2021-12-12,2021,14,REG,0,11,15,0,8,6,51,0,44,6,0,0,,
