CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp,SUSP,INJ,Game Status,Injuries
1,NOR,Rueben Mayes,MayeRu00,1986-09-07,1986,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
2,NOR,Rueben Mayes,MayeRu00,1986-09-14,1986,2,REG,0,5,25,0,2,2,7,0,0,0,0,0,nan,nan
3,NOR,Rueben Mayes,MayeRu00,1986-09-21,1986,3,REG,0,7,64,0,1,0,0,0,0,0,0,0,nan,nan
4,NOR,Rueben Mayes,MayeRu00,1986-09-28,1986,4,REG,0,10,31,0,2,2,12,0,0,0,0,0,nan,nan
5,NOR,Rueben Mayes,MayeRu00,1986-10-05,1986,5,REG,1,13,80,0,4,3,7,0,0,0,0,0,nan,nan
6,NOR,Rueben Mayes,MayeRu00,1986-10-12,1986,6,REG,1,22,108,0,5,2,2,0,0,0,0,0,nan,nan
7,NOR,Rueben Mayes,MayeRu00,1986-10-19,1986,7,REG,1,24,172,2,2,0,0,0,0,0,0,0,nan,nan
8,NOR,Rueben Mayes,MayeRu00,1986-10-26,1986,8,REG,1,4,-2,0,0,0,0,0,0,0,0,0,nan,nan
9,NOR,Rueben Mayes,MayeRu00,1986-11-02,1986,9,REG,1,28,128,2,2,2,14,0,0,0,0,0,nan,nan
10,NOR,Rueben Mayes,MayeRu00,1986-11-09,1986,10,REG,1,24,73,0,3,1,15,0,0,0,0,0,nan,nan
11,NOR,Rueben Mayes,MayeRu00,1986-11-16,1986,11,REG,1,25,131,0,1,0,0,0,0,0,0,0,nan,nan
12,NOR,Rueben Mayes,MayeRu00,1986-11-23,1986,12,REG,1,20,71,0,0,0,0,0,0,0,0,0,nan,nan
13,NOR,Rueben Mayes,MayeRu00,1986-11-30,1986,13,REG,1,33,157,1,2,2,25,0,0,0,0,0,nan,nan
14,NOR,Rueben Mayes,MayeRu00,1986-12-07,1986,14,REG,1,28,203,2,2,2,22,0,0,0,0,0,nan,nan
