CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp,SUSP,INJ,Game Status,Injuries
1,BUF,Shawn Bryson,BrysSh00,2000-09-03,2000,1,REG,0,10,16,0,2,1,23,0,0,0,0,0,nan,nan
2,BUF,Shawn Bryson,BrysSh00,2000-09-10,2000,2,REG,1,12,31,0,1,0,0,0,0,0,0,0,nan,nan
3,BUF,Shawn Bryson,BrysSh00,2000-09-17,2000,3,REG,0,12,40,0,1,0,0,0,0,0,0,0,nan,nan
0,BUF,Shawn Bryson,BrysSh00,,2000,4,BYE,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
4,BUF,Shawn Bryson,BrysSh00,2000-10-01,2000,5,REG,0,11,43,0,3,1,1,0,0,0,0,0,nan,nan
5,BUF,Shawn Bryson,BrysSh00,2000-10-08,2000,6,REG,1,5,4,0,2,1,32,0,0,0,0,0,nan,nan
6,BUF,Shawn Bryson,BrysSh00,2000-10-15,2000,7,REG,0,9,22,0,8,6,47,1,0,0,0,0,nan,nan
7,BUF,Shawn Bryson,BrysSh00,2000-10-22,2000,8,REG,0,11,72,0,3,2,17,0,0,0,0,0,nan,nan
8,BUF,Shawn Bryson,BrysSh00,2000-10-29,2000,9,REG,0,6,17,0,2,2,3,0,0,0,0,0,nan,nan
9,BUF,Shawn Bryson,BrysSh00,2000-11-05,2000,10,REG,0,13,60,0,0,0,0,0,0,0,0,0,nan,nan
10,BUF,Shawn Bryson,BrysSh00,2000-11-12,2000,11,REG,0,5,21,0,4,4,11,0,0,0,0,0,nan,nan
11,BUF,Shawn Bryson,BrysSh00,2000-11-19,2000,12,REG,1,10,12,0,3,2,4,0,0,0,0,0,nan,nan
12,BUF,Shawn Bryson,BrysSh00,2000-11-26,2000,13,REG,1,8,32,0,2,1,17,0,0,0,0,0,nan,nan
13,BUF,Shawn Bryson,BrysSh00,2000-12-03,2000,14,REG,0,12,88,0,2,2,-4,0,0,0,0,0,nan,nan
14,BUF,Shawn Bryson,BrysSh00,2000-12-11,2000,15,REG,1,15,45,0,8,6,75,0,0,0,0,0,nan,nan
15,BUF,Shawn Bryson,BrysSh00,2000-12-17,2000,16,REG,1,19,82,0,4,3,34,0,0,0,0,0,nan,nan
16,BUF,Shawn Bryson,BrysSh00,2000-12-23,2000,17,REG,1,3,6,0,1,1,11,1,0,0,0,0,nan,nan
17,BUF,Shawn Bryson,BrysSh00,2001-09-09,2001,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
18,BUF,Shawn Bryson,BrysSh00,2001-09-23,2001,2,REG,0,1,1,0,0,0,0,0,0,0,0,0,nan,nan
19,BUF,Shawn Bryson,BrysSh00,2001-09-30,2001,3,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
20,BUF,Shawn Bryson,BrysSh00,2001-10-07,2001,4,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
0,BUF,Shawn Bryson,BrysSh00,,2001,5,BYE,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
21,BUF,Shawn Bryson,BrysSh00,2001-10-18,2001,6,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
22,BUF,Shawn Bryson,BrysSh00,2001-10-28,2001,7,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
23,BUF,Shawn Bryson,BrysSh00,2001-11-04,2001,8,REG,0,3,15,0,0,0,0,0,0,0,0,0,nan,nan
24,BUF,Shawn Bryson,BrysSh00,2001-11-11,2001,9,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
25,BUF,Shawn Bryson,BrysSh00,2001-11-18,2001,10,REG,0,2,8,0,1,1,12,0,0,0,0,0,nan,nan
26,BUF,Shawn Bryson,BrysSh00,2001-11-25,2001,11,REG,0,4,26,0,1,1,6,0,0,0,0,0,nan,nan
0,BUF,Shawn Bryson,BrysSh00,2001-12-02,2001,12,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
27,BUF,Shawn Bryson,BrysSh00,2001-12-09,2001,13,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
28,BUF,Shawn Bryson,BrysSh00,2001-12-16,2001,14,REG,0,14,38,0,3,3,12,0,0,0,0,0,nan,nan
29,BUF,Shawn Bryson,BrysSh00,2001-12-23,2001,15,REG,1,16,130,2,4,3,31,0,0,0,0,0,nan,nan
30,BUF,Shawn Bryson,BrysSh00,2001-12-30,2001,16,REG,1,28,107,0,1,0,0,0,0,0,0,0,nan,nan
31,BUF,Shawn Bryson,BrysSh00,2002-01-06,2001,17,REG,1,12,16,0,1,1,-2,0,0,0,0,0,nan,nan
