CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp,SUSP,INJ,Game Status,Injuries
1,NWE,Stevan Ridley,RidlSt00,2011-09-12,2011,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,,
2,NWE,Stevan Ridley,RidlSt00,2011-09-18,2011,2,REG,0,2,9,0,0,0,0,0,0,0,0,0,,
3,NWE,Stevan Ridley,RidlSt00,2011-09-25,2011,3,REG,0,6,42,0,1,1,8,0,0,0,0,0,,
4,NWE,Stevan Ridley,RidlSt00,2011-10-02,2011,4,REG,0,10,97,1,2,1,3,0,0,0,0,0,,
5,NWE,Stevan Ridley,RidlSt00,2011-10-09,2011,5,REG,0,7,13,0,0,0,0,0,0,0,0,0,,
6,NWE,Stevan Ridley,RidlSt00,2011-10-16,2011,6,REG,1,3,19,0,0,0,0,0,0,0,0,0,,
0,NWE,Stevan Ridley,RidlSt00,,2011,7,BYE,0,0,0,0,0,0,0,0,0,0,0,0,,
7,NWE,Stevan Ridley,RidlSt00,2011-10-30,2011,8,REG,0,0,0,0,0,0,0,0,0,0,0,0,,
8,NWE,Stevan Ridley,RidlSt00,2011-11-06,2011,9,REG,0,3,10,0,1,1,2,0,0,0,0,0,,
9,NWE,Stevan Ridley,RidlSt00,2011-11-13,2011,10,REG,0,5,4,0,0,0,0,0,0,0,0,0,,
10,NWE,Stevan Ridley,RidlSt00,2011-11-21,2011,11,REG,0,0,0,0,0,0,0,0,0,0,0,0,,
11,NWE,Stevan Ridley,RidlSt00,2011-11-27,2011,12,REG,0,4,4,0,0,0,0,0,0,0,0,0,,
12,NWE,Stevan Ridley,RidlSt00,2011-12-04,2011,13,REG,0,8,33,0,0,0,0,0,0,0,0,0,,
13,NWE,Stevan Ridley,RidlSt00,2011-12-11,2011,14,REG,0,0,0,0,0,0,0,0,0,0,0,0,,
14,NWE,Stevan Ridley,RidlSt00,2011-12-18,2011,15,REG,0,11,65,0,0,0,0,0,0,0,0,0,,
15,NWE,Stevan Ridley,RidlSt00,2011-12-24,2011,16,REG,0,13,64,0,1,0,0,0,0,0,0,0,,
16,NWE,Stevan Ridley,RidlSt00,2012-01-01,2011,17,REG,1,15,81,0,0,0,0,0,0,0,0,0,,
17,NWE,Stevan Ridley,RidlSt00,2012-01-14,2011,19,POST,0,4,21,0,1,1,4,0,0,0,0,0,,
18,NWE,Stevan Ridley,RidlSt00,2012-09-09,2012,1,REG,1,21,125,1,3,2,27,0,40,0,0,0,,
19,NWE,Stevan Ridley,RidlSt00,2012-09-16,2012,2,REG,1,18,71,0,4,3,24,0,43,0,0,0,,
20,NWE,Stevan Ridley,RidlSt00,2012-09-23,2012,3,REG,1,13,37,0,1,0,0,0,25,0,0,0,,
21,NWE,Stevan Ridley,RidlSt00,2012-09-30,2012,4,REG,1,22,106,2,0,0,0,0,34,0,0,0,,
22,NWE,Stevan Ridley,RidlSt00,2012-10-07,2012,5,REG,0,28,151,1,0,0,0,0,43,0,0,0,,
23,NWE,Stevan Ridley,RidlSt00,2012-10-14,2012,6,REG,0,16,34,0,2,1,0,0,35,1,0,0,,
24,NWE,Stevan Ridley,RidlSt00,2012-10-21,2012,7,REG,0,17,65,0,0,0,0,0,31,0,0,0,,
