CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp,SUSP,INJ,Game Status,Injuries
1,DAL,Tashard Choice,ChoiTa00,2008-09-07,2008,1,REG,0,5,26,0,1,1,2,0,0,0,0,0,,
2,DAL,Tashard Choice,ChoiTa00,2008-09-15,2008,2,REG,0,0,0,0,0,0,0,0,0,0,0,0,,
3,DAL,Tashard Choice,ChoiTa00,2008-09-21,2008,3,REG,0,0,0,0,0,0,0,0,0,0,0,0,,
4,DAL,Tashard Choice,ChoiTa00,2008-09-28,2008,4,REG,0,0,0,0,0,0,0,0,0,0,0,0,,
5,DAL,Tashard Choice,ChoiTa00,2008-10-05,2008,5,REG,0,0,0,0,0,0,0,0,0,0,0,0,,
6,DAL,Tashard Choice,ChoiTa00,2008-10-12,2008,6,REG,0,0,0,0,0,0,0,0,0,0,0,0,,
7,DAL,Tashard Choice,ChoiTa00,2008-10-19,2008,7,REG,0,2,13,0,0,0,0,0,0,0,0,0,,
8,DAL,Tashard Choice,ChoiTa00,2008-10-26,2008,8,REG,0,0,0,0,1,0,0,0,0,0,0,0,,
9,DAL,Tashard Choice,ChoiTa00,2008-11-02,2008,9,REG,0,5,27,0,0,0,0,0,0,0,0,0,,
0,DAL,Tashard Choice,ChoiTa00,,2008,10,BYE,0,0,0,0,0,0,0,0,0,0,0,0,,
10,DAL,Tashard Choice,ChoiTa00,2008-11-16,2008,11,REG,0,1,6,0,0,0,0,0,0,0,0,0,,
11,DAL,Tashard Choice,ChoiTa00,2008-11-23,2008,12,REG,0,6,18,0,2,2,14,0,0,0,0,0,,
12,DAL,Tashard Choice,ChoiTa00,2008-11-27,2008,13,REG,0,11,57,0,2,1,6,0,0,0,0,0,,
13,DAL,Tashard Choice,ChoiTa00,2008-12-07,2008,14,REG,1,23,88,0,8,5,78,0,0,0,0,0,,
14,DAL,Tashard Choice,ChoiTa00,2008-12-14,2008,15,REG,0,9,91,1,5,4,52,0,0,0,0,0,,
15,DAL,Tashard Choice,ChoiTa00,2008-12-20,2008,16,REG,1,17,90,1,10,7,25,0,0,0,0,0,,
16,DAL,Tashard Choice,ChoiTa00,2008-12-28,2008,17,REG,1,13,56,0,1,1,8,0,0,0,0,0,,
17,DAL,Tashard Choice,ChoiTa00,2009-09-13,2009,1,REG,0,2,10,0,2,2,6,0,0,0,0,0,,
18,DAL,Tashard Choice,ChoiTa00,2009-09-20,2009,2,REG,0,2,8,0,1,1,3,0,0,0,0,0,,
19,DAL,Tashard Choice,ChoiTa00,2009-09-28,2009,3,REG,0,18,82,1,7,4,36,0,0,0,0,0,,
20,DAL,Tashard Choice,ChoiTa00,2009-10-04,2009,4,REG,0,14,33,0,6,5,47,0,0,0,0,0,,
21,DAL,Tashard Choice,ChoiTa00,2009-10-11,2009,5,REG,0,8,92,1,1,0,0,0,0,0,0,0,,
0,DAL,Tashard Choice,ChoiTa00,,2009,6,BYE,0,0,0,0,0,0,0,0,0,0,0,0,,
22,DAL,Tashard Choice,ChoiTa00,2009-10-25,2009,7,REG,0,0,0,0,1,1,23,0,0,0,0,0,,
23,DAL,Tashard Choice,ChoiTa00,2009-11-01,2009,8,REG,0,4,11,0,0,0,0,0,0,0,0,0,,
24,DAL,Tashard Choice,ChoiTa00,2009-11-08,2009,9,REG,0,3,13,1,1,1,8,0,0,0,0,0,,
25,DAL,Tashard Choice,ChoiTa00,2009-11-15,2009,10,REG,0,3,13,0,2,1,9,0,0,0,0,0,,
26,DAL,Tashard Choice,ChoiTa00,2009-11-22,2009,11,REG,0,1,1,0,0,0,0,0,0,0,0,0,,
27,DAL,Tashard Choice,ChoiTa00,2009-11-26,2009,12,REG,0,3,67,0,0,0,0,0,0,0,0,0,,
28,DAL,Tashard Choice,ChoiTa00,2009-12-06,2009,13,REG,0,2,3,0,1,0,0,0,0,0,0,0,,
29,DAL,Tashard Choice,ChoiTa00,2009-12-13,2009,14,REG,0,2,11,0,0,0,0,0,0,0,0,0,,
30,DAL,Tashard Choice,ChoiTa00,2009-12-19,2009,15,REG,0,1,4,0,0,0,0,0,0,0,0,0,,
31,DAL,Tashard Choice,ChoiTa00,2009-12-27,2009,16,REG,0,1,1,0,0,0,0,0,0,0,0,0,,
32,DAL,Tashard Choice,ChoiTa00,2010-01-03,2009,17,REG,0,0,0,0,0,0,0,0,0,0,0,0,,
33,DAL,Tashard Choice,ChoiTa00,2010-01-09,2009,18,POST,0,14,42,1,3,1,6,0,0,0,0,0,,
34,DAL,Tashard Choice,ChoiTa00,2010-01-17,2009,19,POST,0,1,1,0,0,0,0,0,0,0,0,0,,
35,DAL,Tashard Choice,ChoiTa00,2010-09-12,2010,1,REG,0,5,18,0,2,2,-2,0,0,0,0,0,,
36,DAL,Tashard Choice,ChoiTa00,2010-09-19,2010,2,REG,0,1,-1,0,2,1,6,0,0,0,0,0,,
37,DAL,Tashard Choice,ChoiTa00,2010-09-26,2010,3,REG,0,2,4,0,0,0,0,0,0,0,0,0,,
0,DAL,Tashard Choice,ChoiTa00,,2010,4,BYE,0,0,0,0,0,0,0,0,0,0,0,0,,
38,DAL,Tashard Choice,ChoiTa00,2010-10-10,2010,5,REG,0,0,0,0,0,0,0,0,0,0,0,0,,
39,DAL,Tashard Choice,ChoiTa00,2010-10-17,2010,6,REG,0,0,0,0,0,0,0,0,0,0,0,0,,
40,DAL,Tashard Choice,ChoiTa00,2010-10-25,2010,7,REG,0,0,0,0,0,0,0,0,0,0,0,0,,
41,DAL,Tashard Choice,ChoiTa00,2010-10-31,2010,8,REG,0,0,0,0,4,4,27,0,0,0,0,0,,
42,DAL,Tashard Choice,ChoiTa00,2010-11-07,2010,9,REG,0,3,9,0,1,0,0,0,0,0,0,0,,
43,DAL,Tashard Choice,ChoiTa00,2010-11-14,2010,10,REG,0,0,0,0,0,0,0,0,0,0,0,0,,
44,DAL,Tashard Choice,ChoiTa00,2010-11-21,2010,11,REG,0,2,7,0,2,2,14,0,0,0,0,0,,
45,DAL,Tashard Choice,ChoiTa00,2010-11-25,2010,12,REG,0,1,1,1,0,0,0,0,0,0,0,0,,
46,DAL,Tashard Choice,ChoiTa00,2010-12-05,2010,13,REG,0,19,100,1,0,0,0,0,0,0,0,0,,
47,DAL,Tashard Choice,ChoiTa00,2010-12-12,2010,14,REG,0,7,16,0,1,1,17,0,0,0,0,0,,
48,DAL,Tashard Choice,ChoiTa00,2010-12-19,2010,15,REG,0,15,53,1,5,4,31,0,0,0,0,0,,
49,DAL,Tashard Choice,ChoiTa00,2010-12-25,2010,16,REG,0,4,16,0,3,3,16,0,0,0,0,0,,
50,DAL,Tashard Choice,ChoiTa00,2011-01-02,2010,17,REG,0,7,20,0,2,0,0,0,0,0,0,0,,
