CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp,SUSP,INJ,Game Status,Injuries
1,ARI,Thomas Jones,JoneTh00,2000-09-03,2000,1,REG,1,12,16,0,6,4,18,0,0,0,0,0,nan,nan
2,ARI,Thomas Jones,JoneTh00,2000-09-10,2000,2,REG,1,23,70,0,3,2,30,0,0,0,0,0,nan,nan
0,ARI,Thomas Jones,JoneTh00,,2000,3,BYE,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
3,ARI,Thomas Jones,JoneTh00,2000-09-24,2000,4,REG,1,10,24,0,5,2,3,0,0,0,0,0,nan,nan
4,ARI,Thomas Jones,JoneTh00,2000-10-01,2000,5,REG,1,10,36,1,5,4,15,0,0,0,0,0,nan,nan
5,ARI,Thomas Jones,JoneTh00,2000-10-08,2000,6,REG,0,6,9,1,2,0,0,0,0,0,0,0,nan,nan
6,ARI,Thomas Jones,JoneTh00,2000-10-15,2000,7,REG,0,3,35,0,1,1,3,0,0,0,0,0,nan,nan
7,ARI,Thomas Jones,JoneTh00,2000-10-22,2000,8,REG,0,11,50,0,2,2,15,0,0,0,0,0,nan,nan
8,ARI,Thomas Jones,JoneTh00,2000-10-29,2000,9,REG,0,6,26,0,4,3,19,0,0,0,0,0,nan,nan
9,ARI,Thomas Jones,JoneTh00,2000-11-05,2000,10,REG,0,4,16,0,1,1,5,0,0,0,0,0,nan,nan
10,ARI,Thomas Jones,JoneTh00,2000-11-12,2000,11,REG,0,3,3,0,2,2,17,0,0,0,0,0,nan,nan
11,ARI,Thomas Jones,JoneTh00,2000-11-19,2000,12,REG,0,1,-2,0,4,3,38,0,0,0,0,0,nan,nan
12,ARI,Thomas Jones,JoneTh00,2000-11-26,2000,13,REG,0,2,11,0,1,1,4,0,0,0,0,0,nan,nan
0,ARI,Thomas Jones,JoneTh00,2000-12-03,2000,14,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
13,ARI,Thomas Jones,JoneTh00,2000-12-10,2000,15,REG,0,7,40,0,1,0,0,0,0,0,0,0,nan,nan
14,ARI,Thomas Jones,JoneTh00,2000-12-17,2000,16,REG,0,14,39,0,9,7,41,0,0,0,0,0,nan,nan
0,ARI,Thomas Jones,JoneTh00,2000-12-24,2000,17,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
0,ARI,Thomas Jones,JoneTh00,,2001,1,BYE,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
15,ARI,Thomas Jones,JoneTh00,2001-09-23,2001,2,REG,1,17,65,1,1,1,13,0,0,0,0,0,nan,nan
16,ARI,Thomas Jones,JoneTh00,2001-09-30,2001,3,REG,1,5,21,0,4,4,53,0,0,0,0,0,nan,nan
17,ARI,Thomas Jones,JoneTh00,2001-10-07,2001,4,REG,0,5,13,0,0,0,0,0,0,0,0,0,nan,nan
18,ARI,Thomas Jones,JoneTh00,2001-10-14,2001,5,REG,0,6,14,0,2,2,17,0,0,0,0,0,nan,nan
19,ARI,Thomas Jones,JoneTh00,2001-10-21,2001,6,REG,0,7,26,1,0,0,0,0,0,0,0,0,nan,nan
20,ARI,Thomas Jones,JoneTh00,2001-10-28,2001,7,REG,0,1,-1,0,5,4,21,0,0,0,0,0,nan,nan
21,ARI,Thomas Jones,JoneTh00,2001-11-04,2001,8,REG,0,6,14,0,0,0,0,0,0,0,0,0,nan,nan
