CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp,SUSP,INJ,Game Status,Injuries
1,CHI,Thomas Sanders,SandTh00,1985-09-08,1985,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
2,CHI,Thomas Sanders,SandTh00,1985-09-15,1985,2,REG,0,10,37,0,1,0,0,0,0,0,0,0,nan,nan
3,CHI,Thomas Sanders,SandTh00,1985-09-19,1985,3,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
4,CHI,Thomas Sanders,SandTh00,1985-09-29,1985,4,REG,0,3,35,0,0,0,0,0,0,0,0,0,nan,nan
5,CHI,Thomas Sanders,SandTh00,1985-10-06,1985,5,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
6,CHI,Thomas Sanders,SandTh00,1985-10-13,1985,6,REG,0,1,-1,0,0,0,0,0,0,0,0,0,nan,nan
7,CHI,Thomas Sanders,SandTh00,1985-10-21,1985,7,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
8,CHI,Thomas Sanders,SandTh00,1985-10-27,1985,8,REG,0,4,6,0,0,0,0,0,0,0,0,0,nan,nan
9,CHI,Thomas Sanders,SandTh00,1985-11-03,1985,9,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
10,CHI,Thomas Sanders,SandTh00,1985-11-10,1985,10,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
11,CHI,Thomas Sanders,SandTh00,1985-11-17,1985,11,REG,0,2,8,0,0,0,0,0,0,0,0,0,nan,nan
12,CHI,Thomas Sanders,SandTh00,1985-11-24,1985,12,REG,0,5,19,1,1,1,9,0,0,0,0,0,nan,nan
13,CHI,Thomas Sanders,SandTh00,1985-12-02,1985,13,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
14,CHI,Thomas Sanders,SandTh00,1985-12-08,1985,14,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
0,CHI,Thomas Sanders,SandTh00,1985-12-14,1985,15,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
15,CHI,Thomas Sanders,SandTh00,1985-12-22,1985,16,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
0,CHI,Thomas Sanders,SandTh00,1986-01-05,1985,17,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
16,CHI,Thomas Sanders,SandTh00,1986-01-05,1985,18,POST,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
17,CHI,Thomas Sanders,SandTh00,1986-01-12,1985,19,POST,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
18,CHI,Thomas Sanders,SandTh00,1986-01-26,1985,20,POST,0,4,15,0,0,0,0,0,0,0,0,0,nan,nan
19,CHI,Thomas Sanders,SandTh00,1986-09-07,1986,1,REG,0,1,2,0,0,0,0,0,0,0,0,0,nan,nan
20,CHI,Thomas Sanders,SandTh00,1986-09-14,1986,2,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
21,CHI,Thomas Sanders,SandTh00,1986-09-22,1986,3,REG,0,1,4,0,0,0,0,0,0,0,0,0,nan,nan
22,CHI,Thomas Sanders,SandTh00,1986-09-28,1986,4,REG,0,4,95,2,1,0,0,0,0,0,0,0,nan,nan
23,CHI,Thomas Sanders,SandTh00,1986-10-05,1986,5,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
24,CHI,Thomas Sanders,SandTh00,1986-10-12,1986,6,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
25,CHI,Thomas Sanders,SandTh00,1986-10-19,1986,7,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
26,CHI,Thomas Sanders,SandTh00,1986-10-26,1986,8,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
27,CHI,Thomas Sanders,SandTh00,1986-11-03,1986,9,REG,0,8,69,2,1,0,0,0,0,0,0,0,nan,nan
28,CHI,Thomas Sanders,SandTh00,1986-11-09,1986,10,REG,0,4,1,0,0,0,0,0,0,0,0,0,nan,nan
29,CHI,Thomas Sanders,SandTh00,1986-11-16,1986,11,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
30,CHI,Thomas Sanders,SandTh00,1986-11-23,1986,12,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
31,CHI,Thomas Sanders,SandTh00,1986-11-30,1986,13,REG,1,3,19,0,0,0,0,0,0,0,0,0,nan,nan
32,CHI,Thomas Sanders,SandTh00,1986-12-07,1986,14,REG,0,4,31,1,1,0,0,0,0,0,0,0,nan,nan
33,CHI,Thomas Sanders,SandTh00,1986-12-15,1986,15,REG,0,0,0,0,1,1,18,0,0,0,0,0,nan,nan
34,CHI,Thomas Sanders,SandTh00,1986-12-21,1986,16,REG,0,2,3,0,1,1,0,0,0,0,0,0,nan,nan
0,CHI,Thomas Sanders,SandTh00,1987-01-03,1986,17,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
35,CHI,Thomas Sanders,SandTh00,1987-01-03,1986,18,POST,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
36,CHI,Thomas Sanders,SandTh00,1987-09-14,1987,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
37,CHI,Thomas Sanders,SandTh00,1987-09-20,1987,2,REG,0,2,11,0,0,0,0,0,0,0,0,0,nan,nan
0,CHI,Thomas Sanders,SandTh00,1987-10-04,1987,4,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
0,CHI,Thomas Sanders,SandTh00,1987-10-11,1987,5,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
0,CHI,Thomas Sanders,SandTh00,1987-10-18,1987,6,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
38,CHI,Thomas Sanders,SandTh00,1987-10-25,1987,7,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
39,CHI,Thomas Sanders,SandTh00,1987-11-01,1987,8,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
40,CHI,Thomas Sanders,SandTh00,1987-11-08,1987,9,REG,0,3,10,0,0,0,0,0,0,0,0,0,nan,nan
41,CHI,Thomas Sanders,SandTh00,1987-11-16,1987,10,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
42,CHI,Thomas Sanders,SandTh00,1987-11-22,1987,11,REG,0,6,32,0,2,2,28,0,0,0,0,0,nan,nan
43,CHI,Thomas Sanders,SandTh00,1987-11-29,1987,12,REG,0,5,37,1,0,0,0,0,0,0,0,0,nan,nan
44,CHI,Thomas Sanders,SandTh00,1987-12-06,1987,13,REG,0,4,13,0,0,0,0,0,0,0,0,0,nan,nan
45,CHI,Thomas Sanders,SandTh00,1987-12-14,1987,14,REG,0,3,19,0,0,0,0,0,0,0,0,0,nan,nan
46,CHI,Thomas Sanders,SandTh00,1987-12-20,1987,15,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
47,CHI,Thomas Sanders,SandTh00,1987-12-27,1987,16,REG,0,0,0,0,1,1,25,0,0,0,0,0,nan,nan
0,CHI,Thomas Sanders,SandTh00,1988-01-10,1987,17,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
48,CHI,Thomas Sanders,SandTh00,1988-01-10,1987,18,POST,0,2,4,0,1,1,2,0,0,0,0,0,nan,nan
49,CHI,Thomas Sanders,SandTh00,1988-09-04,1988,1,REG,0,10,59,1,2,2,10,0,0,0,0,0,nan,nan
50,CHI,Thomas Sanders,SandTh00,1988-09-11,1988,2,REG,0,5,22,0,0,0,0,0,0,0,0,0,nan,nan
51,CHI,Thomas Sanders,SandTh00,1988-09-18,1988,3,REG,0,5,28,0,1,0,0,0,0,0,0,0,nan,nan
52,CHI,Thomas Sanders,SandTh00,1988-09-25,1988,4,REG,0,10,38,1,3,2,48,0,0,0,0,0,nan,nan
53,CHI,Thomas Sanders,SandTh00,1988-10-02,1988,5,REG,0,4,14,0,1,0,0,0,0,0,0,0,nan,nan
54,CHI,Thomas Sanders,SandTh00,1988-10-09,1988,6,REG,0,5,2,0,0,0,0,0,0,0,0,0,nan,nan
55,CHI,Thomas Sanders,SandTh00,1988-10-16,1988,7,REG,0,5,7,0,0,0,0,0,0,0,0,0,nan,nan
56,CHI,Thomas Sanders,SandTh00,1988-10-24,1988,8,REG,0,3,11,0,1,1,0,0,0,0,0,0,nan,nan
57,CHI,Thomas Sanders,SandTh00,1988-10-30,1988,9,REG,0,2,1,0,0,0,0,0,0,0,0,0,nan,nan
58,CHI,Thomas Sanders,SandTh00,1988-11-06,1988,10,REG,0,7,25,1,0,0,0,0,0,0,0,0,nan,nan
59,CHI,Thomas Sanders,SandTh00,1988-11-13,1988,11,REG,0,6,21,0,0,0,0,0,0,0,0,0,nan,nan
60,CHI,Thomas Sanders,SandTh00,1988-11-20,1988,12,REG,0,10,50,0,1,0,0,0,0,0,0,0,nan,nan
61,CHI,Thomas Sanders,SandTh00,1988-11-27,1988,13,REG,0,7,10,0,1,1,8,0,0,0,0,0,nan,nan
62,CHI,Thomas Sanders,SandTh00,1988-12-05,1988,14,REG,0,5,21,0,2,1,1,0,0,0,0,0,nan,nan
63,CHI,Thomas Sanders,SandTh00,1988-12-11,1988,15,REG,0,8,13,0,1,1,3,0,0,0,0,0,nan,nan
64,CHI,Thomas Sanders,SandTh00,1988-12-19,1988,16,REG,0,3,10,0,3,1,24,0,0,0,0,0,nan,nan
0,CHI,Thomas Sanders,SandTh00,1988-12-31,1988,17,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
65,CHI,Thomas Sanders,SandTh00,1988-12-31,1988,18,POST,0,8,94,0,1,1,8,0,0,0,0,0,nan,nan
66,CHI,Thomas Sanders,SandTh00,1989-01-08,1988,19,POST,0,7,22,0,1,1,12,0,0,0,0,0,nan,nan
67,CHI,Thomas Sanders,SandTh00,1989-09-10,1989,1,REG,0,5,23,0,1,0,0,0,0,0,0,0,nan,nan
68,CHI,Thomas Sanders,SandTh00,1989-09-17,1989,2,REG,0,8,31,0,0,0,0,0,0,0,0,0,nan,nan
69,CHI,Thomas Sanders,SandTh00,1989-09-24,1989,3,REG,0,2,7,0,0,0,0,0,0,0,0,0,nan,nan
70,CHI,Thomas Sanders,SandTh00,1989-10-02,1989,4,REG,0,8,23,0,1,1,5,0,0,0,0,0,nan,nan
71,CHI,Thomas Sanders,SandTh00,1989-10-08,1989,5,REG,0,2,7,0,1,1,16,1,0,0,0,0,nan,nan
72,CHI,Thomas Sanders,SandTh00,1989-10-15,1989,6,REG,0,2,-1,0,0,0,0,0,0,0,0,0,nan,nan
73,CHI,Thomas Sanders,SandTh00,1989-10-23,1989,7,REG,0,1,3,0,0,0,0,0,0,0,0,0,nan,nan
74,CHI,Thomas Sanders,SandTh00,1989-10-29,1989,8,REG,0,1,0,0,0,0,0,0,0,0,0,0,nan,nan
75,CHI,Thomas Sanders,SandTh00,1989-11-05,1989,9,REG,0,2,8,0,0,0,0,0,0,0,0,0,nan,nan
76,CHI,Thomas Sanders,SandTh00,1989-11-12,1989,10,REG,0,5,18,0,2,1,7,0,0,0,0,0,nan,nan
77,CHI,Thomas Sanders,SandTh00,1989-11-19,1989,11,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
78,CHI,Thomas Sanders,SandTh00,1989-11-26,1989,12,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
79,CHI,Thomas Sanders,SandTh00,1989-12-03,1989,13,REG,0,3,8,0,0,0,0,0,0,0,0,0,nan,nan
80,CHI,Thomas Sanders,SandTh00,1989-12-10,1989,14,REG,0,1,2,0,0,0,0,0,0,0,0,0,nan,nan
81,CHI,Thomas Sanders,SandTh00,1989-12-17,1989,15,REG,0,1,-2,0,0,0,0,0,0,0,0,0,nan,nan
82,CHI,Thomas Sanders,SandTh00,1989-12-24,1989,16,REG,0,0,0,0,1,0,0,0,0,0,0,0,nan,nan
0,PHI,Thomas Sanders,SandTh00,1990-09-09,1990,1,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,PHI,Thomas Sanders,SandTh00,1990-09-16,1990,2,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,PHI,Thomas Sanders,SandTh00,1990-09-23,1990,3,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,PHI,Thomas Sanders,SandTh00,1990-09-30,1990,4,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,PHI,Thomas Sanders,SandTh00,,1990,5,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,PHI,Thomas Sanders,SandTh00,1990-10-15,1990,6,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,PHI,Thomas Sanders,SandTh00,1990-10-21,1990,7,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
83,PHI,Thomas Sanders,SandTh00,1990-10-28,1990,8,REG,0,3,3,0,0,0,0,0,0,0,0,0,nan,nan
84,PHI,Thomas Sanders,SandTh00,1990-11-04,1990,9,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
85,PHI,Thomas Sanders,SandTh00,1990-11-12,1990,10,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
