CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp,SUSP,INJ,Game Status,Injuries
1,BUF,Thurman Thomas,ThomTh00,1988-09-04,1988,1,REG,1,18,86,1,2,2,27,0,0,0,0,0,nan,nan
2,BUF,Thurman Thomas,ThomTh00,1988-09-11,1988,2,REG,1,21,74,0,4,3,57,0,0,0,0,0,nan,nan
3,BUF,Thurman Thomas,ThomTh00,1988-09-18,1988,3,REG,1,17,55,0,6,5,37,0,0,0,0,0,nan,nan
4,BUF,Thurman Thomas,ThomTh00,1988-09-25,1988,4,REG,1,16,49,0,1,1,2,0,0,0,0,0,nan,nan
5,BUF,Thurman Thomas,ThomTh00,1988-10-02,1988,5,REG,1,5,12,0,2,1,33,0,0,0,0,0,nan,nan
6,BUF,Thurman Thomas,ThomTh00,1988-10-09,1988,6,REG,1,13,48,0,2,0,0,0,0,0,0,0,nan,nan
7,BUF,Thurman Thomas,ThomTh00,1988-10-17,1988,7,REG,1,11,43,0,0,0,0,0,0,0,0,0,nan,nan
8,BUF,Thurman Thomas,ThomTh00,1988-10-23,1988,8,REG,1,20,84,0,2,1,2,0,0,0,0,0,nan,nan
9,BUF,Thurman Thomas,ThomTh00,1988-10-30,1988,9,REG,1,23,116,0,3,2,13,0,0,0,0,0,nan,nan
10,BUF,Thurman Thomas,ThomTh00,1988-11-06,1988,10,REG,1,6,21,0,0,0,0,0,0,0,0,0,nan,nan
0,BUF,Thurman Thomas,ThomTh00,1988-11-14,1988,11,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
11,BUF,Thurman Thomas,ThomTh00,1988-11-20,1988,12,REG,1,17,88,0,0,0,0,0,0,0,0,0,nan,nan
12,BUF,Thurman Thomas,ThomTh00,1988-11-27,1988,13,REG,1,10,71,0,1,0,0,0,0,0,0,0,nan,nan
13,BUF,Thurman Thomas,ThomTh00,1988-12-04,1988,14,REG,1,7,1,0,1,1,11,0,0,0,0,0,nan,nan
14,BUF,Thurman Thomas,ThomTh00,1988-12-11,1988,15,REG,1,14,106,1,1,1,9,0,0,0,0,0,nan,nan
15,BUF,Thurman Thomas,ThomTh00,1988-12-18,1988,16,REG,1,9,27,0,2,1,17,0,0,0,0,0,nan,nan
0,BUF,Thurman Thomas,ThomTh00,1989-01-01,1988,17,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
16,BUF,Thurman Thomas,ThomTh00,1989-01-01,1988,18,POST,1,7,75,1,2,0,0,0,0,0,0,0,nan,nan
17,BUF,Thurman Thomas,ThomTh00,1989-01-08,1988,19,POST,1,4,6,0,1,0,0,0,0,0,0,0,nan,nan
18,BUF,Thurman Thomas,ThomTh00,1989-09-10,1989,1,REG,1,13,94,0,9,8,65,0,0,0,0,0,nan,nan
19,BUF,Thurman Thomas,ThomTh00,1989-09-18,1989,2,REG,1,11,38,0,4,3,30,0,0,0,0,0,nan,nan
20,BUF,Thurman Thomas,ThomTh00,1989-09-24,1989,3,REG,1,12,58,0,4,3,37,2,0,0,0,0,nan,nan
21,BUF,Thurman Thomas,ThomTh00,1989-10-01,1989,4,REG,1,21,105,1,4,4,99,1,0,0,0,0,nan,nan
22,BUF,Thurman Thomas,ThomTh00,1989-10-08,1989,5,REG,1,12,53,0,7,6,81,0,0,0,0,0,nan,nan
23,BUF,Thurman Thomas,ThomTh00,1989-10-16,1989,6,REG,1,24,105,0,11,9,67,1,0,0,0,0,nan,nan
24,BUF,Thurman Thomas,ThomTh00,1989-10-22,1989,7,REG,1,20,49,1,1,0,0,0,0,0,0,0,nan,nan
25,BUF,Thurman Thomas,ThomTh00,1989-10-29,1989,8,REG,1,27,148,1,2,2,21,0,0,0,0,0,nan,nan
26,BUF,Thurman Thomas,ThomTh00,1989-11-05,1989,9,REG,1,21,95,1,1,1,9,0,0,0,0,0,nan,nan
