CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp,SUSP,INJ,Game Status,Injuries
1,SDG,Tim Spencer,SpenTi00,1985-09-08,1985,1,REG,1,9,41,0,1,1,6,0,0,0,0,0,nan,nan
2,SDG,Tim Spencer,SpenTi00,1985-09-15,1985,2,REG,1,7,22,0,0,0,0,0,0,0,0,0,nan,nan
3,SDG,Tim Spencer,SpenTi00,1985-09-22,1985,3,REG,1,11,33,0,1,0,0,0,0,0,0,0,nan,nan
4,SDG,Tim Spencer,SpenTi00,1985-09-29,1985,4,REG,1,7,28,0,2,1,10,0,0,0,0,0,nan,nan
5,SDG,Tim Spencer,SpenTi00,1985-10-06,1985,5,REG,1,1,0,0,1,1,43,0,0,0,0,0,nan,nan
6,SDG,Tim Spencer,SpenTi00,1985-10-13,1985,6,REG,1,8,26,1,2,2,13,0,0,0,0,0,nan,nan
7,SDG,Tim Spencer,SpenTi00,1985-10-20,1985,7,REG,1,14,86,2,2,1,4,0,0,0,0,0,nan,nan
8,SDG,Tim Spencer,SpenTi00,1985-10-28,1985,8,REG,1,2,5,0,1,0,0,0,0,0,0,0,nan,nan
9,SDG,Tim Spencer,SpenTi00,1985-11-03,1985,9,REG,1,4,8,0,1,0,0,0,0,0,0,0,nan,nan
10,SDG,Tim Spencer,SpenTi00,1985-11-10,1985,10,REG,1,6,24,0,1,1,29,0,0,0,0,0,nan,nan
11,SDG,Tim Spencer,SpenTi00,1985-11-17,1985,11,REG,1,7,18,1,1,0,0,0,0,0,0,0,nan,nan
12,SDG,Tim Spencer,SpenTi00,1985-11-24,1985,12,REG,1,7,30,2,0,0,0,0,0,0,0,0,nan,nan
13,SDG,Tim Spencer,SpenTi00,1985-12-01,1985,13,REG,0,12,47,1,1,0,0,0,0,0,0,0,nan,nan
14,SDG,Tim Spencer,SpenTi00,1985-12-08,1985,14,REG,1,10,42,1,1,1,9,0,0,0,0,0,nan,nan
15,SDG,Tim Spencer,SpenTi00,1985-12-15,1985,15,REG,1,16,57,1,1,1,12,0,0,0,0,0,nan,nan
16,SDG,Tim Spencer,SpenTi00,1985-12-22,1985,16,REG,1,3,11,1,2,2,9,0,0,0,0,0,nan,nan
17,SDG,Tim Spencer,SpenTi00,1986-09-07,1986,1,REG,1,10,59,1,0,0,0,0,0,0,0,0,nan,nan
18,SDG,Tim Spencer,SpenTi00,1986-09-14,1986,2,REG,1,2,6,0,0,0,0,0,0,0,0,0,nan,nan
0,SDG,Tim Spencer,SpenTi00,1986-09-21,1986,3,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
0,SDG,Tim Spencer,SpenTi00,1986-09-28,1986,4,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
19,SDG,Tim Spencer,SpenTi00,1986-10-06,1986,5,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
