CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp,SUSP,INJ,Game Status,Injuries
1,SFO,Tom Rathman,RathTo00,1986-09-07,1986,1,REG,0,2,8,0,2,1,9,0,0,0,0,0,nan,nan
2,SFO,Tom Rathman,RathTo00,1986-09-14,1986,2,REG,0,0,0,0,1,1,13,0,0,0,0,0,nan,nan
3,SFO,Tom Rathman,RathTo00,1986-09-21,1986,3,REG,0,2,4,0,0,0,0,0,0,0,0,0,nan,nan
4,SFO,Tom Rathman,RathTo00,1986-09-28,1986,4,REG,0,5,16,0,0,0,0,0,0,0,0,0,nan,nan
5,SFO,Tom Rathman,RathTo00,1986-10-05,1986,5,REG,1,3,7,0,4,3,19,0,0,0,0,0,nan,nan
6,SFO,Tom Rathman,RathTo00,1986-10-12,1986,6,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
7,SFO,Tom Rathman,RathTo00,1986-10-19,1986,7,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
8,SFO,Tom Rathman,RathTo00,1986-10-26,1986,8,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
9,SFO,Tom Rathman,RathTo00,1986-11-02,1986,9,REG,0,1,6,0,2,2,26,0,0,0,0,0,nan,nan
10,SFO,Tom Rathman,RathTo00,1986-11-09,1986,10,REG,0,4,17,0,0,0,0,0,0,0,0,0,nan,nan
11,SFO,Tom Rathman,RathTo00,1986-11-17,1986,11,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
12,SFO,Tom Rathman,RathTo00,1986-11-23,1986,12,REG,0,4,23,0,3,3,24,0,0,0,0,0,nan,nan
13,SFO,Tom Rathman,RathTo00,1986-12-01,1986,13,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
14,SFO,Tom Rathman,RathTo00,1986-12-07,1986,14,REG,0,10,55,1,2,2,25,0,0,0,0,0,nan,nan
15,SFO,Tom Rathman,RathTo00,1986-12-14,1986,15,REG,0,1,0,0,0,0,0,0,0,0,0,0,nan,nan
16,SFO,Tom Rathman,RathTo00,1986-12-19,1986,16,REG,0,1,2,0,1,1,5,0,0,0,0,0,nan,nan
0,SFO,Tom Rathman,RathTo00,1987-01-04,1986,17,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
17,SFO,Tom Rathman,RathTo00,1987-01-04,1986,18,POST,0,3,8,0,1,0,0,0,0,0,0,0,nan,nan
18,SFO,Tom Rathman,RathTo00,1987-09-13,1987,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
19,SFO,Tom Rathman,RathTo00,1987-09-20,1987,2,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
0,SFO,Tom Rathman,RathTo00,1987-10-05,1987,4,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
0,SFO,Tom Rathman,RathTo00,1987-10-11,1987,5,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
0,SFO,Tom Rathman,RathTo00,1987-10-18,1987,6,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
20,SFO,Tom Rathman,RathTo00,1987-10-25,1987,7,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
21,SFO,Tom Rathman,RathTo00,1987-11-01,1987,8,REG,1,7,31,1,5,3,38,0,0,0,0,0,nan,nan
22,SFO,Tom Rathman,RathTo00,1987-11-08,1987,9,REG,1,12,57,0,7,6,60,2,0,0,0,0,nan,nan
23,SFO,Tom Rathman,RathTo00,1987-11-15,1987,10,REG,1,3,13,0,3,2,23,0,0,0,0,0,nan,nan
24,SFO,Tom Rathman,RathTo00,1987-11-22,1987,11,REG,1,4,9,0,8,6,38,0,0,0,0,0,nan,nan
25,SFO,Tom Rathman,RathTo00,1987-11-29,1987,12,REG,1,7,18,0,5,4,60,0,0,0,0,0,nan,nan
26,SFO,Tom Rathman,RathTo00,1987-12-06,1987,13,REG,0,10,51,0,6,5,40,1,0,0,0,0,nan,nan
27,SFO,Tom Rathman,RathTo00,1987-12-14,1987,14,REG,0,5,22,0,2,1,18,0,0,0,0,0,nan,nan
28,SFO,Tom Rathman,RathTo00,1987-12-20,1987,15,REG,1,7,26,0,1,1,15,0,0,0,0,0,nan,nan
29,SFO,Tom Rathman,RathTo00,1987-12-27,1987,16,REG,1,7,30,0,2,2,37,0,0,0,0,0,nan,nan
0,SFO,Tom Rathman,RathTo00,1988-01-09,1987,17,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
30,SFO,Tom Rathman,RathTo00,1988-01-09,1987,18,POST,0,1,12,0,3,2,18,0,0,0,0,0,nan,nan
31,SFO,Tom Rathman,RathTo00,1988-09-04,1988,1,REG,1,8,10,0,1,1,5,0,0,0,0,0,nan,nan
32,SFO,Tom Rathman,RathTo00,1988-09-11,1988,2,REG,1,6,21,0,3,3,27,0,0,0,0,0,nan,nan
33,SFO,Tom Rathman,RathTo00,1988-09-18,1988,3,REG,1,2,23,0,8,5,29,0,0,0,0,0,nan,nan
34,SFO,Tom Rathman,RathTo00,1988-09-25,1988,4,REG,1,15,79,0,3,3,37,0,0,0,0,0,nan,nan
