CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp,SUSP,INJ,Game Status,Injuries
1,NYJ,Tony Paige,PaigTo00,1984-09-02,1984,1,REG,0,3,6,0,0,0,0,0,0,0,0,0,nan,nan
2,NYJ,Tony Paige,PaigTo00,1984-09-06,1984,2,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
3,NYJ,Tony Paige,PaigTo00,1984-09-16,1984,3,REG,0,1,2,0,1,0,0,0,0,0,0,0,nan,nan
4,NYJ,Tony Paige,PaigTo00,1984-09-23,1984,4,REG,0,5,31,1,1,0,0,0,0,0,0,0,nan,nan
5,NYJ,Tony Paige,PaigTo00,1984-09-30,1984,5,REG,1,2,1,1,2,2,14,0,0,0,0,0,nan,nan
6,NYJ,Tony Paige,PaigTo00,1984-10-07,1984,6,REG,0,4,7,1,0,0,0,0,0,0,0,0,nan,nan
7,NYJ,Tony Paige,PaigTo00,1984-10-14,1984,7,REG,0,2,8,1,0,0,0,0,0,0,0,0,nan,nan
8,NYJ,Tony Paige,PaigTo00,1984-10-21,1984,8,REG,0,3,9,0,0,0,0,0,0,0,0,0,nan,nan
9,NYJ,Tony Paige,PaigTo00,1984-10-28,1984,9,REG,0,3,4,0,0,0,0,0,0,0,0,0,nan,nan
10,NYJ,Tony Paige,PaigTo00,1984-11-04,1984,10,REG,0,1,24,0,0,0,0,0,0,0,0,0,nan,nan
11,NYJ,Tony Paige,PaigTo00,1984-11-11,1984,11,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
12,NYJ,Tony Paige,PaigTo00,1984-11-18,1984,12,REG,0,1,3,1,1,1,7,0,0,0,0,0,nan,nan
13,NYJ,Tony Paige,PaigTo00,1984-11-26,1984,13,REG,0,6,26,1,1,0,0,0,0,0,0,0,nan,nan
14,NYJ,Tony Paige,PaigTo00,1984-12-02,1984,14,REG,0,1,0,0,0,0,0,0,0,0,0,0,nan,nan
15,NYJ,Tony Paige,PaigTo00,1984-12-08,1984,15,REG,0,3,9,1,1,1,-3,0,0,0,0,0,nan,nan
16,NYJ,Tony Paige,PaigTo00,1984-12-16,1984,16,REG,1,0,0,0,2,2,13,1,0,0,0,0,nan,nan
17,NYJ,Tony Paige,PaigTo00,1985-09-08,1985,1,REG,0,3,5,0,4,4,39,0,0,0,0,0,nan,nan
18,NYJ,Tony Paige,PaigTo00,1985-09-15,1985,2,REG,1,7,13,1,1,1,2,1,0,0,0,0,nan,nan
19,NYJ,Tony Paige,PaigTo00,1985-09-22,1985,3,REG,0,2,14,1,1,1,5,1,0,0,0,0,nan,nan
20,NYJ,Tony Paige,PaigTo00,1985-09-29,1985,4,REG,0,4,8,1,1,0,0,0,0,0,0,0,nan,nan
21,NYJ,Tony Paige,PaigTo00,1985-10-06,1985,5,REG,1,5,12,1,5,3,23,0,0,0,0,0,nan,nan
22,NYJ,Tony Paige,PaigTo00,1985-10-14,1985,6,REG,0,5,12,1,1,1,4,0,0,0,0,0,nan,nan
23,NYJ,Tony Paige,PaigTo00,1985-10-20,1985,7,REG,0,2,2,1,1,1,-7,0,0,0,0,0,nan,nan
24,NYJ,Tony Paige,PaigTo00,1985-10-27,1985,8,REG,0,6,18,0,1,1,12,0,0,0,0,0,nan,nan
25,NYJ,Tony Paige,PaigTo00,1985-11-03,1985,9,REG,0,5,11,0,1,1,2,0,0,0,0,0,nan,nan
26,NYJ,Tony Paige,PaigTo00,1985-11-10,1985,10,REG,1,1,1,0,0,0,0,0,0,0,0,0,nan,nan
27,NYJ,Tony Paige,PaigTo00,1985-11-17,1985,11,REG,0,8,24,1,1,1,10,0,0,0,0,0,nan,nan
28,NYJ,Tony Paige,PaigTo00,1985-11-24,1985,12,REG,1,0,0,0,0,0,0,0,0,0,0,0,nan,nan
29,NYJ,Tony Paige,PaigTo00,1985-11-28,1985,13,REG,1,2,4,0,2,2,13,0,0,0,0,0,nan,nan
30,NYJ,Tony Paige,PaigTo00,1985-12-08,1985,14,REG,1,1,1,0,2,2,17,0,0,0,0,0,nan,nan
31,NYJ,Tony Paige,PaigTo00,1985-12-14,1985,15,REG,1,1,2,0,1,0,0,0,0,0,0,0,nan,nan
32,NYJ,Tony Paige,PaigTo00,1985-12-22,1985,16,REG,1,3,31,1,0,0,0,0,0,0,0,0,nan,nan
33,NYJ,Tony Paige,PaigTo00,1985-12-28,1985,17,POST,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
0,NYJ,Tony Paige,PaigTo00,1985-12-28,1985,17,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
34,NYJ,Tony Paige,PaigTo00,1986-09-07,1986,1,REG,0,3,6,1,4,4,46,0,0,0,0,0,nan,nan
35,NYJ,Tony Paige,PaigTo00,1986-09-11,1986,2,REG,1,5,10,0,2,2,11,0,0,0,0,0,nan,nan
36,NYJ,Tony Paige,PaigTo00,1986-09-21,1986,3,REG,0,3,10,0,1,1,6,0,0,0,0,0,nan,nan
37,NYJ,Tony Paige,PaigTo00,1986-09-28,1986,4,REG,0,12,36,1,1,1,6,0,0,0,0,0,nan,nan
38,NYJ,Tony Paige,PaigTo00,1986-10-05,1986,5,REG,0,2,1,0,0,0,0,0,0,0,0,0,nan,nan
39,NYJ,Tony Paige,PaigTo00,1986-10-12,1986,6,REG,1,7,16,0,1,1,1,0,0,0,0,0,nan,nan
40,NYJ,Tony Paige,PaigTo00,1986-10-20,1986,7,REG,1,3,10,0,0,0,0,0,0,0,0,0,nan,nan
41,NYJ,Tony Paige,PaigTo00,1986-10-26,1986,8,REG,0,3,6,0,1,0,18,0,0,0,0,0,nan,nan
42,NYJ,Tony Paige,PaigTo00,1986-11-02,1986,9,REG,1,1,0,0,2,2,6,0,0,0,0,0,nan,nan
