CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp,SUSP,INJ,Game Status,Injuries
1,JAX,Travis Etienne,EtieTr00,2022-09-11,2022,1,REG,0,4,47,0,4,2,18,0,36,0,0,0,,
2,JAX,Travis Etienne,EtieTr00,2022-09-18,2022,2,REG,0,9,20,0,3,3,33,0,26,0,0,0,,
3,JAX,Travis Etienne,EtieTr00,2022-09-25,2022,3,REG,0,13,45,0,3,3,30,0,33,0,0,0,,
4,JAX,Travis Etienne,EtieTr00,2022-10-02,2022,4,REG,0,8,32,0,1,0,0,0,24,0,0,0,,
5,JAX,Travis Etienne,EtieTr00,2022-10-09,2022,5,REG,0,10,71,0,5,3,43,0,40,0,0,0,,
6,JAX,Travis Etienne,EtieTr00,2022-10-16,2022,6,REG,1,10,86,0,2,2,22,0,29,0,0,0,,
7,JAX,Travis Etienne,EtieTr00,2022-10-23,2022,7,REG,1,14,114,1,5,1,5,0,57,0,0,0,,
8,JAX,Travis Etienne,EtieTr00,2022-10-30,2022,8,REG,1,24,156,1,3,3,6,0,57,0,0,0,,
9,JAX,Travis Etienne,EtieTr00,2022-11-06,2022,9,REG,1,28,109,2,2,2,17,0,56,0,0,0,,
10,JAX,Travis Etienne,EtieTr00,2022-11-13,2022,10,REG,1,11,45,0,3,3,28,0,50,0,0,0,,
0,JAX,Travis Etienne,EtieTr00,,2022,11,BYE,0,0,0,0,0,0,0,0,0,0,0,0,,
11,JAX,Travis Etienne,EtieTr00,2022-11-27,2022,12,REG,1,2,3,0,0,0,0,0,5,0,0,0,,
12,JAX,Travis Etienne,EtieTr00,2022-12-04,2022,13,REG,1,13,54,0,3,3,12,0,49,0,0,0,,
13,JAX,Travis Etienne,EtieTr00,2022-12-11,2022,14,REG,1,17,32,0,0,0,0,0,54,0,0,0,,
14,JAX,Travis Etienne,EtieTr00,2022-12-18,2022,15,REG,1,19,103,0,3,2,24,0,51,0,0,0,,
15,JAX,Travis Etienne,EtieTr00,2022-12-22,2022,16,REG,1,22,83,0,3,3,29,0,51,0,0,0,,
16,JAX,Travis Etienne,EtieTr00,2023-01-01,2022,17,REG,1,9,108,1,3,3,32,0,24,0,0,0,,
17,JAX,Travis Etienne,EtieTr00,2023-01-07,2022,18,REG,1,7,17,0,2,2,17,0,27,0,0,0,,
18,JAX,Travis Etienne,EtieTr00,2023-01-14,2022,19,POST,1,20,109,0,1,1,12,0,64,0,0,0,,
19,JAX,Travis Etienne,EtieTr00,2023-01-21,2022,20,POST,1,10,62,1,3,3,18,0,26,0,0,0,,
20,JAX,Travis Etienne,EtieTr00,2023-09-10,2023,1,REG,1,18,77,1,5,5,27,0,56,0,0,0,,
21,JAX,Travis Etienne,EtieTr00,2023-09-17,2023,2,REG,1,12,40,0,3,2,2,0,48,0,0,0,,
22,JAX,Travis Etienne,EtieTr00,2023-09-24,2023,3,REG,1,19,88,0,5,4,50,0,52,0,0,0,,
23,JAX,Travis Etienne,EtieTr00,2023-10-01,2023,4,REG,1,20,55,0,3,3,17,0,56,0,0,0,,
24,JAX,Travis Etienne,EtieTr00,2023-10-08,2023,5,REG,1,26,136,2,5,4,48,0,73,0,0,0,,
25,JAX,Travis Etienne,EtieTr00,2023-10-15,2023,6,REG,1,18,55,2,3,3,28,0,51,0,0,0,,
26,JAX,Travis Etienne,EtieTr00,2023-10-19,2023,7,REG,1,14,53,2,5,3,24,0,49,0,0,0,,
27,JAX,Travis Etienne,EtieTr00,2023-10-29,2023,8,REG,1,24,79,0,6,3,70,1,63,0,0,0,,
0,JAX,Travis Etienne,EtieTr00,,2023,9,BYE,0,0,0,0,0,0,0,0,0,0,0,0,,
28,JAX,Travis Etienne,EtieTr00,2023-11-12,2023,10,REG,1,9,35,0,4,2,9,0,35,0,0,0,,
29,JAX,Travis Etienne,EtieTr00,2023-11-19,2023,11,REG,1,14,52,0,3,3,7,0,47,0,0,0,,
30,JAX,Travis Etienne,EtieTr00,2023-11-26,2023,12,REG,1,20,56,0,6,4,30,0,47,0,0,0,,
31,JAX,Travis Etienne,EtieTr00,2023-12-04,2023,13,REG,1,11,45,1,4,4,34,0,43,0,0,0,,
32,JAX,Travis Etienne,EtieTr00,2023-12-10,2023,14,REG,1,14,35,1,4,4,37,0,59,0,0,0,,
33,JAX,Travis Etienne,EtieTr00,2023-12-17,2023,15,REG,1,10,31,0,6,4,28,0,43,0,0,0,,
34,JAX,Travis Etienne,EtieTr00,2023-12-24,2023,16,REG,1,6,12,0,3,3,19,0,48,0,0,0,,
35,JAX,Travis Etienne,EtieTr00,2023-12-31,2023,17,REG,1,16,102,2,2,2,16,0,39,0,0,0,,
36,JAX,Travis Etienne,EtieTr00,2024-01-07,2023,18,REG,1,16,57,0,6,5,30,0,47,0,0,0,,
37,JAX,Travis Etienne,EtieTr00,2024-09-08,2024,1,REG,1,12,44,1,3,2,15,0,37,0,0,0,,
38,JAX,Travis Etienne,EtieTr00,2024-09-15,2024,2,REG,1,13,52,1,4,3,6,0,43,0,0,0,,
39,JAX,Travis Etienne,EtieTr00,2024-09-23,2024,3,REG,1,11,68,0,6,4,17,0,49,0,0,0,,
40,JAX,Travis Etienne,EtieTr00,2024-09-29,2024,4,REG,1,11,50,0,2,1,10,0,30,0,0,0,,
41,JAX,Travis Etienne,EtieTr00,2024-10-06,2024,5,REG,1,6,17,0,7,6,43,0,22,0,0,0,,
42,JAX,Travis Etienne,EtieTr00,2024-10-13,2024,6,REG,1,3,-1,0,1,0,0,0,11,0,0,0,,
0,JAX,Travis Etienne,EtieTr00,2024-10-20,2024,7,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Questionable,Hamstring
0,JAX,Travis Etienne,EtieTr00,2024-10-27,2024,8,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Questionable,Hamstring
43,JAX,Travis Etienne,EtieTr00,2024-11-03,2024,9,REG,1,3,24,0,3,2,6,0,17,0,0,0,,
44,JAX,Travis Etienne,EtieTr00,2024-11-10,2024,10,REG,1,11,44,0,1,1,-1,0,30,0,0,0,,
45,JAX,Travis Etienne,EtieTr00,2024-11-17,2024,11,REG,1,12,27,0,3,3,6,0,36,0,0,0,,
0,JAX,Travis Etienne,EtieTr00,,2024,12,BYE,0,0,0,0,0,0,0,0,0,0,0,0,,
46,JAX,Travis Etienne,EtieTr00,2024-12-01,2024,13,REG,1,13,46,0,3,3,12,0,37,0,0,0,,
47,JAX,Travis Etienne,EtieTr00,2024-12-08,2024,14,REG,1,4,20,0,4,4,50,0,28,0,0,0,,
48,JAX,Travis Etienne,EtieTr00,2024-12-15,2024,15,REG,1,14,65,0,5,4,20,0,61,0,0,0,,
49,JAX,Travis Etienne,EtieTr00,2024-12-22,2024,16,REG,1,9,22,0,3,2,15,0,35,0,0,0,,
50,JAX,Travis Etienne,EtieTr00,2024-12-29,2024,17,REG,1,15,49,0,2,1,26,0,28,0,0,0,,
51,JAX,Travis Etienne,EtieTr00,2025-01-05,2024,18,REG,1,13,31,0,5,3,29,0,30,0,0,0,,
