CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp,SUSP,INJ,Game Status,Injuries
1,MIA,Travis Minor,MinoTr00,2001-09-09,2001,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,,
2,MIA,Travis Minor,MinoTr00,2001-09-23,2001,2,REG,0,1,1,0,1,1,8,0,0,0,0,0,,
3,MIA,Travis Minor,MinoTr00,2001-09-30,2001,3,REG,0,0,0,0,1,1,5,0,0,0,0,0,,
4,MIA,Travis Minor,MinoTr00,2001-10-07,2001,4,REG,0,7,25,0,1,1,-1,0,0,0,0,0,,
5,MIA,Travis Minor,MinoTr00,2001-10-14,2001,5,REG,0,1,29,1,3,2,35,0,0,0,0,0,,
0,MIA,Travis Minor,MinoTr00,,2001,6,BYE,0,0,0,0,0,0,0,0,0,0,0,0,,
6,MIA,Travis Minor,MinoTr00,2001-10-28,2001,7,REG,0,2,11,0,0,0,0,0,0,0,0,0,,
7,MIA,Travis Minor,MinoTr00,2001-11-04,2001,8,REG,0,4,13,0,4,2,20,0,0,0,0,0,,
8,MIA,Travis Minor,MinoTr00,2001-11-11,2001,9,REG,0,7,71,1,2,2,18,0,0,0,0,0,,
9,MIA,Travis Minor,MinoTr00,2001-11-18,2001,10,REG,0,6,9,0,6,5,23,0,0,0,0,0,,
10,MIA,Travis Minor,MinoTr00,2001-11-25,2001,11,REG,0,8,38,0,2,1,18,0,0,0,0,0,,
11,MIA,Travis Minor,MinoTr00,2001-12-02,2001,12,REG,0,2,1,0,1,1,4,0,0,0,0,0,,
12,MIA,Travis Minor,MinoTr00,2001-12-10,2001,13,REG,0,4,28,0,2,2,41,0,0,0,0,0,,
13,MIA,Travis Minor,MinoTr00,2001-12-16,2001,14,REG,0,2,12,0,4,4,27,0,0,0,0,0,,
14,MIA,Travis Minor,MinoTr00,2001-12-22,2001,15,REG,0,3,7,0,0,0,0,0,0,0,0,0,,
15,MIA,Travis Minor,MinoTr00,2001-12-30,2001,16,REG,0,9,33,0,10,7,65,1,0,0,0,0,,
16,MIA,Travis Minor,MinoTr00,2002-01-06,2001,17,REG,0,3,3,0,0,0,0,0,0,0,0,0,,
17,MIA,Travis Minor,MinoTr00,2002-01-13,2001,18,POST,0,5,14,0,3,2,4,0,0,0,0,0,,
18,MIA,Travis Minor,MinoTr00,2002-09-08,2002,1,REG,0,11,45,0,0,0,0,0,0,0,0,0,,
19,MIA,Travis Minor,MinoTr00,2002-09-15,2002,2,REG,0,3,1,0,0,0,0,0,0,0,0,0,,
20,MIA,Travis Minor,MinoTr00,2002-09-22,2002,3,REG,0,4,21,1,0,0,0,0,0,0,0,0,,
21,MIA,Travis Minor,MinoTr00,2002-09-29,2002,4,REG,0,0,0,0,0,0,0,0,0,0,0,0,,
22,MIA,Travis Minor,MinoTr00,2002-10-06,2002,5,REG,0,0,0,0,0,0,0,0,0,0,0,0,,
23,MIA,Travis Minor,MinoTr00,2002-10-13,2002,6,REG,0,0,0,0,0,0,0,0,0,0,0,0,,
24,MIA,Travis Minor,MinoTr00,2002-10-20,2002,7,REG,0,2,8,0,0,0,0,0,0,0,0,0,,
0,MIA,Travis Minor,MinoTr00,,2002,8,BYE,0,0,0,0,0,0,0,0,0,0,0,0,,
25,MIA,Travis Minor,MinoTr00,2002-11-04,2002,9,REG,0,1,4,0,0,0,0,0,0,0,0,0,,
26,MIA,Travis Minor,MinoTr00,2002-11-10,2002,10,REG,0,0,0,0,0,0,0,0,0,0,0,0,,
27,MIA,Travis Minor,MinoTr00,2002-11-17,2002,11,REG,0,0,0,0,0,0,0,0,0,0,0,0,,
28,MIA,Travis Minor,MinoTr00,2002-11-24,2002,12,REG,0,8,33,0,0,0,0,0,0,0,0,0,,
29,MIA,Travis Minor,MinoTr00,2002-12-01,2002,13,REG,0,4,34,0,0,0,0,0,0,0,0,0,,
30,MIA,Travis Minor,MinoTr00,2002-12-09,2002,14,REG,0,8,21,0,0,0,0,0,0,0,0,0,,
31,MIA,Travis Minor,MinoTr00,2002-12-15,2002,15,REG,0,2,10,1,0,0,0,0,0,0,0,0,,
32,MIA,Travis Minor,MinoTr00,2002-12-21,2002,16,REG,0,0,0,0,0,0,0,0,0,0,0,0,,
33,MIA,Travis Minor,MinoTr00,2002-12-29,2002,17,REG,0,1,3,0,0,0,0,0,0,0,0,0,,
34,MIA,Travis Minor,MinoTr00,2003-09-07,2003,1,REG,0,1,3,0,0,0,0,0,0,0,0,0,,
35,MIA,Travis Minor,MinoTr00,2003-09-14,2003,2,REG,0,5,27,0,0,0,0,0,0,0,0,0,,
36,MIA,Travis Minor,MinoTr00,2003-09-21,2003,3,REG,0,0,0,0,0,0,0,0,0,0,0,0,,
0,MIA,Travis Minor,MinoTr00,,2003,4,BYE,0,0,0,0,0,0,0,0,0,0,0,0,,
37,MIA,Travis Minor,MinoTr00,2003-10-05,2003,5,REG,0,0,0,0,0,0,0,0,0,0,0,0,,
38,MIA,Travis Minor,MinoTr00,2003-10-12,2003,6,REG,0,1,11,0,2,2,12,0,0,0,0,0,,
39,MIA,Travis Minor,MinoTr00,2003-10-19,2003,7,REG,0,0,0,0,0,0,0,0,0,0,0,0,,
40,MIA,Travis Minor,MinoTr00,2003-10-27,2003,8,REG,0,0,0,0,0,0,0,0,0,0,0,0,,
41,MIA,Travis Minor,MinoTr00,2003-11-02,2003,9,REG,0,1,11,0,0,0,0,0,0,0,0,0,,
42,MIA,Travis Minor,MinoTr00,2003-11-09,2003,10,REG,0,3,22,0,2,1,5,0,0,0,0,0,,
43,MIA,Travis Minor,MinoTr00,2003-11-16,2003,11,REG,0,5,30,0,0,0,0,0,0,0,0,0,,
44,MIA,Travis Minor,MinoTr00,2003-11-23,2003,12,REG,0,3,20,0,0,0,0,0,0,0,0,0,,
45,MIA,Travis Minor,MinoTr00,2003-11-27,2003,13,REG,0,9,26,0,0,0,0,0,0,0,0,0,,
46,MIA,Travis Minor,MinoTr00,2003-12-07,2003,14,REG,0,0,0,0,1,1,-4,0,0,0,0,0,,
47,MIA,Travis Minor,MinoTr00,2003-12-15,2003,15,REG,0,5,24,1,0,0,0,0,0,0,0,0,,
48,MIA,Travis Minor,MinoTr00,2003-12-21,2003,16,REG,0,7,19,0,0,0,0,0,0,0,0,0,,
49,MIA,Travis Minor,MinoTr00,2003-12-28,2003,17,REG,0,1,0,0,0,0,0,0,0,0,0,0,,
50,MIA,Travis Minor,MinoTr00,2004-09-11,2004,1,REG,1,5,25,0,1,1,20,0,0,0,0,0,,
0,MIA,Travis Minor,MinoTr00,2004-09-19,2004,2,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,MIA,Travis Minor,MinoTr00,2004-09-26,2004,3,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
