CarGm,Date,Season,Season_type,Week,Team,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,2019-09-08,2019,REG,1,DET,0,1,6,0,0,0,0,0,8,14
2,2019-09-15,2019,REG,2,DET,0,5,30,0,2,2,6,0,12,7
3,2019-09-22,2019,REG,3,DET,0,4,5,0,2,1,0,0,11,8
4,2019-09-29,2019,REG,4,DET,0,3,13,0,1,1,1,0,11,9
0,,2019,BYE,5,DET,0,0,0,0,0,0,0,0,0,0
5,2019-10-14,2019,REG,6,DET,0,0,0,0,0,0,0,0,2,12
6,2019-10-20,2019,REG,7,DET,0,10,29,0,4,4,28,0,49,9
7,2019-10-27,2019,REG,8,DET,0,7,25,0,4,1,13,0,24,8
8,2019-11-03,2019,REG,9,DET,0,9,29,0,3,3,7,0,42,0
9,2019-11-10,2019,REG,10,DET,1,5,16,0,1,1,3,0,12,0
10,2019-11-17,2019,REG,11,DET,0,2,6,0,1,1,0,0,18,4
11,2019-11-24,2019,REG,12,DET,0,4,11,0,2,2,10,0,27,16
12,2019-11-28,2019,REG,13,DET,0,3,12,0,3,3,17,0,25,6
13,2019-12-08,2019,REG,14,DET,0,2,3,0,1,1,7,0,21,6
14,2019-12-15,2019,REG,15,DET,0,2,3,0,5,4,17,0,29,3
15,2019-12-22,2019,REG,16,DET,0,3,20,0,0,0,0,0,12,8
16,2019-12-29,2019,REG,17,DET,0,3,65,0,2,0,0,0,8,8
17,2020-09-13,2020,REG,1,DET,0,0,0,0,0,0,0,0,0,12
18,2020-09-20,2020,REG,2,DET,0,0,0,0,1,0,0,0,5,12
0,2020-09-27,2020,DNP,3,DET,0,0,0,0,0,0,0,0,0,0
0,2020-10-04,2020,DNP,4,DET,0,0,0,0,0,0,0,0,0,0
0,,2020,BYE,5,DET,0,0,0,0,0,0,0,0,0,0
19,2020-10-18,2020,REG,6,NYJ,0,3,42,0,1,0,0,0,4,6
20,2020-10-25,2020,REG,7,NYJ,0,0,0,0,0,0,0,0,0,9
21,2020-11-01,2020,REG,8,NYJ,0,3,15,0,1,1,6,0,6,12
22,2020-11-09,2020,REG,9,NYJ,0,0,0,0,0,0,0,0,2,12
0,,2020,BYE,10,NYJ,0,0,0,0,0,0,0,0,0,0
23,2020-11-22,2020,REG,11,NYJ,0,0,0,0,6,4,17,0,14,9
24,2020-11-29,2020,REG,12,NYJ,0,2,3,0,2,1,1,0,10,0
25,2020-12-06,2020,REG,13,NYJ,0,22,104,1,2,2,13,0,39,2
26,2020-12-13,2020,REG,14,NYJ,0,8,16,0,0,0,0,0,20,1
27,2020-12-20,2020,REG,15,NYJ,0,3,16,0,6,6,39,1,22,0
28,2020-12-27,2020,REG,16,NYJ,0,2,13,0,0,0,0,0,18,5
29,2021-01-03,2020,REG,17,NYJ,1,11,45,0,2,2,23,0,34,0
30,2021-09-12,2021,REG,1,NYJ,0,4,15,0,3,1,11,0,35,9
31,2021-09-19,2021,REG,2,NYJ,1,12,50,0,0,0,0,0,33,2
32,2021-09-26,2021,REG,3,NYJ,0,3,17,0,5,1,6,0,31,6
33,2021-10-03,2021,REG,4,NYJ,0,3,1,0,2,2,12,0,20,6
34,2021-10-10,2021,REG,5,NYJ,0,4,12,1,3,2,22,0,22,0
0,,2021,BYE,6,NYJ,0,0,0,0,0,0,0,0,0,0
35,2021-10-24,2021,REG,7,NYJ,0,5,6,0,7,6,65,0,21,6
36,2021-10-31,2021,REG,8,NYJ,0,4,15,0,6,5,71,1,24,14
37,2021-11-04,2021,REG,9,NYJ,0,4,21,0,3,2,40,1,32,17
38,2021-11-14,2021,REG,10,NYJ,1,2,2,0,8,5,36,0,25,0
39,2021-11-21,2021,REG,11,NYJ,0,1,5,0,1,1,8,0,20,0
40,2021-11-28,2021,REG,12,NYJ,0,6,42,0,1,0,0,0,23,0
41,2021-12-05,2021,REG,13,NYJ,0,1,1,0,4,2,14,0,28,8
42,2021-12-12,2021,REG,14,NYJ,1,6,17,0,7,4,40,0,48,6
0,2021-12-19,2021,DNP,15,NYJ,0,0,0,0,0,0,0,0,0,0
43,2021-12-26,2021,REG,16,NYJ,0,0,0,0,0,0,0,0,1,2
44,2022-01-02,2021,REG,17,NYJ,0,5,35,1,4,3,47,0,31,7
45,2022-01-09,2021,REG,18,NYJ,0,1,-1,0,1,0,0,0,15,12
46,2022-09-11,2022,REG,1,NYJ,0,0,0,0,0,0,0,0,0,5
47,2022-09-18,2022,REG,2,NYJ,0,0,0,0,3,1,4,0,13,11
48,2022-09-25,2022,REG,3,NYJ,0,0,0,0,0,0,0,0,1,10
49,2022-10-02,2022,REG,4,NYJ,0,0,0,0,0,0,0,0,0,11
50,2022-10-09,2022,REG,5,NYJ,0,0,0,0,0,0,0,0,0,14
51,2022-10-16,2022,REG,6,NYJ,0,0,0,0,0,0,0,0,0,14
52,2022-10-23,2022,REG,7,NYJ,0,1,3,0,1,1,6,0,10,17
53,2022-10-30,2022,REG,8,NYJ,0,2,6,0,2,0,0,0,19,12
54,2022-11-06,2022,REG,9,NYJ,0,2,17,0,0,0,0,0,7,11
0,,2022,BYE,10,NYJ,0,0,0,0,0,0,0,0,0,0
55,2022-11-20,2022,REG,11,NYJ,0,4,4,0,1,0,0,0,14,5
56,2022-11-27,2022,REG,12,NYJ,0,5,62,1,2,1,16,0,15,14
57,2022-12-04,2022,REG,13,NYJ,0,1,3,0,7,6,38,0,28,13
58,2022-12-11,2022,REG,14,NYJ,0,0,0,0,0,0,0,0,0,23
59,2022-12-18,2022,REG,15,NYJ,0,0,0,0,0,0,0,0,0,13
60,2022-12-22,2022,REG,16,NYJ,0,2,7,0,0,0,0,0,12,4
61,2023-01-01,2022,REG,17,NYJ,1,8,46,0,5,1,11,0,33,5
62,2023-01-08,2022,REG,18,NYJ,0,5,12,0,3,2,13,0,21,10
0,2023-09-11,2023,DNP,1,BUF,0,0,0,0,0,0,0,0,0,0
