CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,GNB,Vince Workman,WorkVi00,1989-09-17,1989,2,REG,0,0,0,0,0,0,0,0,0,0
2,GNB,Vince Workman,WorkVi00,1989-09-24,1989,3,REG,0,0,0,0,0,0,0,0,0,0
3,GNB,Vince Workman,WorkVi00,1989-10-01,1989,4,REG,0,0,0,0,0,0,0,0,0,0
4,GNB,Vince Workman,WorkVi00,1989-10-08,1989,5,REG,0,0,0,0,0,0,0,0,0,0
5,GNB,Vince Workman,WorkVi00,1989-10-15,1989,6,REG,0,0,0,0,0,0,0,0,0,0
6,GNB,Vince Workman,WorkVi00,1989-10-22,1989,7,REG,0,0,0,0,0,0,0,0,0,0
7,GNB,Vince Workman,WorkVi00,1989-10-29,1989,8,REG,0,0,0,0,0,0,0,0,0,0
8,GNB,Vince Workman,WorkVi00,1989-11-05,1989,9,REG,0,1,3,0,0,0,0,0,0,0
9,GNB,Vince Workman,WorkVi00,1989-11-12,1989,10,REG,0,3,5,1,0,0,0,0,0,0
10,GNB,Vince Workman,WorkVi00,1989-11-19,1989,11,REG,0,0,0,0,0,0,0,0,0,0
11,GNB,Vince Workman,WorkVi00,1989-11-26,1989,12,REG,0,0,0,0,0,0,0,0,0,0
12,GNB,Vince Workman,WorkVi00,1989-12-03,1989,13,REG,0,0,0,0,0,0,0,0,0,0
13,GNB,Vince Workman,WorkVi00,1989-12-10,1989,14,REG,0,0,0,0,0,0,0,0,0,0
14,GNB,Vince Workman,WorkVi00,1989-12-17,1989,15,REG,0,0,0,0,0,0,0,0,0,0
15,GNB,Vince Workman,WorkVi00,1989-12-24,1989,16,REG,0,0,0,0,0,0,0,0,0,0
16,GNB,Vince Workman,WorkVi00,1990-09-09,1990,1,REG,0,5,40,0,1,0,0,0,0,0
17,GNB,Vince Workman,WorkVi00,1990-09-16,1990,2,REG,0,0,0,0,0,0,0,0,0,0
18,GNB,Vince Workman,WorkVi00,1990-09-23,1990,3,REG,0,0,0,0,0,0,0,0,0,0
0,GNB,Vince Workman,WorkVi00,1990-09-30,1990,4,DNP,0,0,0,0,0,0,0,0,0,0
19,GNB,Vince Workman,WorkVi00,1990-10-07,1990,5,REG,0,0,0,0,1,1,8,0,0,0
20,GNB,Vince Workman,WorkVi00,1990-10-14,1990,6,REG,0,1,3,0,0,0,0,0,0,0
0,GNB,Vince Workman,WorkVi00,1970-01-01,1990,7,BYE,0,0,0,0,0,0,0,0,0,0
21,GNB,Vince Workman,WorkVi00,1990-10-28,1990,8,REG,0,0,0,0,0,0,0,0,0,0
