CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp,SUSP,INJ,Game Status,Injuries
1,SFO,William Floyd,FloyWi00,1994-09-05,1994,1,REG,0,2,8,0,0,0,0,0,0,0,0,0,nan,nan
2,SFO,William Floyd,FloyWi00,1994-09-11,1994,2,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
3,SFO,William Floyd,FloyWi00,1994-09-18,1994,3,REG,0,1,-1,0,0,0,0,0,0,0,0,0,nan,nan
4,SFO,William Floyd,FloyWi00,1994-09-25,1994,4,REG,0,1,0,0,0,0,0,0,0,0,0,0,nan,nan
5,SFO,William Floyd,FloyWi00,1994-10-02,1994,5,REG,0,5,19,0,1,1,7,0,0,0,0,0,nan,nan
6,SFO,William Floyd,FloyWi00,1994-10-09,1994,6,REG,1,8,35,2,5,5,43,0,0,0,0,0,nan,nan
7,SFO,William Floyd,FloyWi00,1994-10-16,1994,7,REG,1,11,20,0,0,0,0,0,0,0,0,0,nan,nan
8,SFO,William Floyd,FloyWi00,1994-10-23,1994,8,REG,1,8,34,1,1,1,8,0,0,0,0,0,nan,nan
0,SFO,William Floyd,FloyWi00,,1994,9,BYE,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
9,SFO,William Floyd,FloyWi00,1994-11-06,1994,10,REG,1,4,-1,0,5,4,36,0,0,0,0,0,nan,nan
10,SFO,William Floyd,FloyWi00,1994-11-13,1994,11,REG,1,6,11,0,0,0,0,0,0,0,0,0,nan,nan
11,SFO,William Floyd,FloyWi00,1994-11-20,1994,12,REG,1,4,10,0,1,0,0,0,0,0,0,0,nan,nan
12,SFO,William Floyd,FloyWi00,1994-11-28,1994,13,REG,1,8,40,0,2,2,17,0,0,0,0,0,nan,nan
13,SFO,William Floyd,FloyWi00,1994-12-04,1994,14,REG,1,8,61,0,3,1,6,0,0,0,0,0,nan,nan
14,SFO,William Floyd,FloyWi00,1994-12-11,1994,15,REG,1,10,34,1,3,1,4,0,0,0,0,0,nan,nan
15,SFO,William Floyd,FloyWi00,1994-12-17,1994,16,REG,1,8,28,2,4,3,15,0,0,0,0,0,nan,nan
16,SFO,William Floyd,FloyWi00,1994-12-26,1994,17,REG,1,3,7,0,1,1,9,0,0,0,0,0,nan,nan
17,SFO,William Floyd,FloyWi00,1995-01-07,1994,19,POST,1,10,25,3,0,0,0,0,0,0,0,0,nan,nan
18,SFO,William Floyd,FloyWi00,1995-01-15,1994,20,POST,1,7,20,1,3,3,16,0,0,0,0,0,nan,nan
19,SFO,William Floyd,FloyWi00,1995-01-29,1994,21,POST,1,9,32,0,4,4,26,1,0,0,0,0,nan,nan
20,SFO,William Floyd,FloyWi00,1995-09-03,1995,1,REG,1,10,48,0,6,6,66,1,0,0,0,0,nan,nan
21,SFO,William Floyd,FloyWi00,1995-09-10,1995,2,REG,1,9,38,0,9,5,52,0,0,0,0,0,nan,nan
22,SFO,William Floyd,FloyWi00,1995-09-17,1995,3,REG,1,3,6,0,11,8,49,0,0,0,0,0,nan,nan
23,SFO,William Floyd,FloyWi00,1995-09-25,1995,4,REG,1,8,49,0,9,5,38,0,0,0,0,0,nan,nan
24,SFO,William Floyd,FloyWi00,1995-10-01,1995,5,REG,1,12,29,1,4,4,15,0,0,0,0,0,nan,nan
0,SFO,William Floyd,FloyWi00,,1995,6,BYE,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
25,SFO,William Floyd,FloyWi00,1995-10-15,1995,7,REG,1,5,8,0,11,8,43,0,0,0,0,0,nan,nan
26,SFO,William Floyd,FloyWi00,1995-10-22,1995,8,REG,1,9,49,1,5,5,47,0,0,0,0,0,nan,nan
27,SFO,William Floyd,FloyWi00,1995-10-29,1995,9,REG,1,8,10,0,7,6,38,0,0,0,0,0,nan,nan
0,SFO,William Floyd,FloyWi00,1995-11-05,1995,10,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,SFO,William Floyd,FloyWi00,1995-11-12,1995,11,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,SFO,William Floyd,FloyWi00,1995-11-20,1995,12,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,SFO,William Floyd,FloyWi00,1995-11-26,1995,13,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,SFO,William Floyd,FloyWi00,1995-12-03,1995,14,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,SFO,William Floyd,FloyWi00,1995-12-10,1995,15,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,SFO,William Floyd,FloyWi00,1995-12-18,1995,16,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,SFO,William Floyd,FloyWi00,1995-12-24,1995,17,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,SFO,William Floyd,FloyWi00,1996-09-01,1996,1,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,SFO,William Floyd,FloyWi00,1996-09-08,1996,2,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,SFO,William Floyd,FloyWi00,,1996,3,BYE,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,SFO,William Floyd,FloyWi00,1996-09-22,1996,4,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,SFO,William Floyd,FloyWi00,1996-09-29,1996,5,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,SFO,William Floyd,FloyWi00,1996-10-06,1996,6,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,SFO,William Floyd,FloyWi00,1996-10-14,1996,7,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
28,SFO,William Floyd,FloyWi00,1996-10-20,1996,8,REG,0,2,7,0,2,2,26,0,0,0,0,0,nan,nan
29,SFO,William Floyd,FloyWi00,1996-10-27,1996,9,REG,1,3,-4,0,8,4,31,0,0,0,0,0,nan,nan
30,SFO,William Floyd,FloyWi00,1996-11-03,1996,10,REG,1,6,43,0,2,1,13,0,0,0,0,0,nan,nan
31,SFO,William Floyd,FloyWi00,1996-11-10,1996,11,REG,1,10,55,0,5,4,36,0,0,0,0,0,nan,nan
32,SFO,William Floyd,FloyWi00,1996-11-17,1996,12,REG,1,8,43,1,4,4,32,0,0,0,0,0,nan,nan
33,SFO,William Floyd,FloyWi00,1996-11-24,1996,13,REG,1,7,18,1,5,5,15,0,0,0,0,0,nan,nan
34,SFO,William Floyd,FloyWi00,1996-12-02,1996,14,REG,1,4,14,0,4,4,36,0,0,0,0,0,nan,nan
35,SFO,William Floyd,FloyWi00,1996-12-08,1996,15,REG,1,2,2,0,2,0,0,0,0,0,0,0,nan,nan
