CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,DET,Aaron Brown,BrowAa00,2009-09-13,2009,1,REG,0,1,9,0,0,0,0,0,0,0
2,DET,Aaron Brown,BrowAa00,2009-09-20,2009,2,REG,0,4,10,0,2,1,3,0,0,0
3,DET,Aaron Brown,BrowAa00,2009-09-27,2009,3,REG,0,5,6,0,1,1,9,0,0,0
4,DET,Aaron Brown,BrowAa00,2009-10-04,2009,4,REG,0,1,3,0,1,1,14,0,0,0
5,DET,Aaron Brown,BrowAa00,2009-10-11,2009,5,REG,0,0,0,0,0,0,0,0,0,0
6,DET,Aaron Brown,BrowAa00,2009-10-18,2009,6,REG,0,2,13,0,0,0,0,0,0,0
0,DET,Aaron Brown,BrowAa00,,2009,7,BYE,0,0,0,0,0,0,0,0,0,0
7,DET,Aaron Brown,BrowAa00,2009-11-01,2009,8,REG,1,2,15,0,4,2,13,0,0,0
8,DET,Aaron Brown,BrowAa00,2009-11-08,2009,9,REG,0,4,27,0,0,0,0,0,0,0
0,DET,Aaron Brown,BrowAa00,2009-11-15,2009,10,DNP,0,0,0,0,0,0,0,0,0,0
9,DET,Aaron Brown,BrowAa00,2009-11-22,2009,11,REG,0,0,0,0,1,1,26,1,0,0
10,DET,Aaron Brown,BrowAa00,2009-11-26,2009,12,REG,1,1,5,0,1,0,0,0,0,0
11,DET,Aaron Brown,BrowAa00,2009-12-06,2009,13,REG,0,0,0,0,1,0,0,0,0,0
12,DET,Aaron Brown,BrowAa00,2009-12-13,2009,14,REG,0,1,12,0,0,0,0,0,0,0
13,DET,Aaron Brown,BrowAa00,2009-12-20,2009,15,REG,0,2,9,0,1,0,0,0,0,0
14,DET,Aaron Brown,BrowAa00,2009-12-27,2009,16,REG,0,1,1,0,0,0,0,0,0,0
15,DET,Aaron Brown,BrowAa00,2010-01-03,2009,17,REG,0,3,21,0,3,3,19,0,0,0
16,DET,Aaron Brown,BrowAa00,2010-09-12,2010,1,REG,0,0,0,0,0,0,0,0,0,0
17,DET,Aaron Brown,BrowAa00,2010-09-19,2010,2,REG,0,3,13,0,3,2,10,0,0,0
18,DET,Aaron Brown,BrowAa00,2010-09-26,2010,3,REG,0,0,0,0,0,0,0,0,0,0
0,DET,Aaron Brown,BrowAa00,2010-10-03,2010,4,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Aaron Brown,BrowAa00,2010-10-10,2010,5,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Aaron Brown,BrowAa00,2010-10-17,2010,6,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Aaron Brown,BrowAa00,,2010,7,BYE,0,0,0,0,0,0,0,0,0,0
0,DET,Aaron Brown,BrowAa00,2010-10-31,2010,8,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Aaron Brown,BrowAa00,2010-11-07,2010,9,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Aaron Brown,BrowAa00,2010-11-14,2010,10,DNP,0,0,0,0,0,0,0,0,0,0
19,DET,Aaron Brown,BrowAa00,2010-11-21,2010,11,REG,0,1,9,0,2,2,6,0,0,0
20,DET,Aaron Brown,BrowAa00,2010-11-25,2010,12,REG,0,13,36,0,8,4,29,0,0,0
21,DET,Aaron Brown,BrowAa00,2010-12-05,2010,13,REG,0,0,0,0,0,0,0,0,0,0
0,DET,Aaron Brown,BrowAa00,2010-12-12,2010,14,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Aaron Brown,BrowAa00,2010-12-19,2010,15,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Aaron Brown,BrowAa00,2010-12-26,2010,16,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Aaron Brown,BrowAa00,2011-01-02,2010,17,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Aaron Brown,BrowAa00,2011-09-11,2011,1,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Aaron Brown,BrowAa00,2011-09-18,2011,2,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Aaron Brown,BrowAa00,2011-09-25,2011,3,DNP,0,0,0,0,0,0,0,0,0,0
