CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,GNB,Aaron Ripkowski,RipkAa00,2015-09-13,2015,1,REG,0,0,0,0,0,0,0,0,0,12
2,GNB,Aaron Ripkowski,RipkAa00,2015-09-20,2015,2,REG,0,0,0,0,0,0,0,0,0,19
3,GNB,Aaron Ripkowski,RipkAa00,2015-09-28,2015,3,REG,0,0,0,0,0,0,0,0,3,22
4,GNB,Aaron Ripkowski,RipkAa00,2015-10-04,2015,4,REG,0,0,0,0,0,0,0,0,1,17
5,GNB,Aaron Ripkowski,RipkAa00,2015-10-11,2015,5,REG,0,0,0,0,0,0,0,0,0,16
6,GNB,Aaron Ripkowski,RipkAa00,2015-10-18,2015,6,REG,0,0,0,0,0,0,0,0,0,17
0,GNB,Aaron Ripkowski,RipkAa00,,2015,7,BYE,0,0,0,0,0,0,0,0,0,0
7,GNB,Aaron Ripkowski,RipkAa00,2015-11-01,2015,8,REG,0,0,0,0,0,0,0,0,4,18
8,GNB,Aaron Ripkowski,RipkAa00,2015-11-08,2015,9,REG,0,0,0,0,1,1,18,0,2,25
9,GNB,Aaron Ripkowski,RipkAa00,2015-11-15,2015,10,REG,0,0,0,0,0,0,0,0,1,22
10,GNB,Aaron Ripkowski,RipkAa00,2015-11-22,2015,11,REG,0,0,0,0,0,0,0,0,1,17
11,GNB,Aaron Ripkowski,RipkAa00,2015-11-26,2015,12,REG,0,0,0,0,0,0,0,0,0,16
0,GNB,Aaron Ripkowski,RipkAa00,2015-12-03,2015,13,DNP,0,0,0,0,0,0,0,0,0,0
12,GNB,Aaron Ripkowski,RipkAa00,2015-12-13,2015,14,REG,0,0,0,0,0,0,0,0,0,18
13,GNB,Aaron Ripkowski,RipkAa00,2015-12-20,2015,15,REG,0,0,0,0,0,0,0,0,3,21
14,GNB,Aaron Ripkowski,RipkAa00,2015-12-27,2015,16,REG,0,0,0,0,0,0,0,0,3,16
15,GNB,Aaron Ripkowski,RipkAa00,2016-01-03,2015,17,REG,0,0,0,0,0,0,0,0,0,16
16,GNB,Aaron Ripkowski,RipkAa00,2016-01-10,2015,18,POST,0,0,0,0,0,0,0,0,0,19
17,GNB,Aaron Ripkowski,RipkAa00,2016-01-16,2015,19,POST,0,0,0,0,0,0,0,0,0,17
18,GNB,Aaron Ripkowski,RipkAa00,2016-09-11,2016,1,REG,0,0,0,0,0,0,0,0,8,18
19,GNB,Aaron Ripkowski,RipkAa00,2016-09-18,2016,2,REG,0,0,0,0,0,0,0,0,2,19
20,GNB,Aaron Ripkowski,RipkAa00,2016-09-25,2016,3,REG,1,0,0,0,0,0,0,0,11,7
0,GNB,Aaron Ripkowski,RipkAa00,,2016,4,BYE,0,0,0,0,0,0,0,0,0,0
21,GNB,Aaron Ripkowski,RipkAa00,2016-10-09,2016,5,REG,0,2,17,0,0,0,0,0,25,20
22,GNB,Aaron Ripkowski,RipkAa00,2016-10-16,2016,6,REG,1,1,0,0,1,1,2,0,18,14
23,GNB,Aaron Ripkowski,RipkAa00,2016-10-20,2016,7,REG,0,3,8,0,1,1,8,0,22,16
24,GNB,Aaron Ripkowski,RipkAa00,2016-10-30,2016,8,REG,0,6,34,0,1,1,-1,0,32,8
25,GNB,Aaron Ripkowski,RipkAa00,2016-11-06,2016,9,REG,1,2,4,0,1,1,3,0,22,11
26,GNB,Aaron Ripkowski,RipkAa00,2016-11-13,2016,10,REG,0,0,0,0,0,0,0,0,0,20
27,GNB,Aaron Ripkowski,RipkAa00,2016-11-20,2016,11,REG,0,2,9,0,0,0,0,0,14,18
