CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,NOR,Adam Prentice,PrenAd00,2021-09-12,2021,1,DNP,0,0,0,0,0,0,0,0,0,0
0,NOR,Adam Prentice,PrenAd00,2021-09-19,2021,2,DNP,0,0,0,0,0,0,0,0,0,0
0,NOR,Adam Prentice,PrenAd00,2021-09-26,2021,3,DNP,0,0,0,0,0,0,0,0,0,0
0,NOR,Adam Prentice,PrenAd00,2021-10-03,2021,4,DNP,0,0,0,0,0,0,0,0,0,0
0,NOR,Adam Prentice,PrenAd00,2021-10-10,2021,5,DNP,0,0,0,0,0,0,0,0,0,0
0,NOR,Adam Prentice,PrenAd00,1970-01-01,2021,6,BYE,0,0,0,0,0,0,0,0,0,0
0,NOR,Adam Prentice,PrenAd00,2021-10-25,2021,7,DNP,0,0,0,0,0,0,0,0,0,0
0,NOR,Adam Prentice,PrenAd00,2021-10-31,2021,8,DNP,0,0,0,0,0,0,0,0,0,0
0,NOR,Adam Prentice,PrenAd00,2021-11-07,2021,9,DNP,0,0,0,0,0,0,0,0,0,0
0,NOR,Adam Prentice,PrenAd00,2021-11-14,2021,10,DNP,0,0,0,0,0,0,0,0,0,0
0,NOR,Adam Prentice,PrenAd00,2021-11-21,2021,11,DNP,0,0,0,0,0,0,0,0,0,0
1,NOR,Adam Prentice,PrenAd00,2021-11-25,2021,12,REG,1,0,0,0,1,1,10,0,15,16
2,NOR,Adam Prentice,PrenAd00,2021-12-02,2021,13,REG,0,0,0,0,0,0,0,0,7,11
3,NOR,Adam Prentice,PrenAd00,2021-12-12,2021,14,REG,0,0,0,0,0,0,0,0,20,20
4,NOR,Adam Prentice,PrenAd00,2021-12-19,2021,15,REG,0,0,0,0,0,0,0,0,8,16
5,NOR,Adam Prentice,PrenAd00,2021-12-27,2021,16,REG,1,1,2,0,0,0,0,0,11,19
6,NOR,Adam Prentice,PrenAd00,2022-01-02,2021,17,REG,0,1,2,0,1,1,4,0,20,9
7,NOR,Adam Prentice,PrenAd00,2022-01-09,2021,18,REG,1,1,1,0,1,1,2,0,25,3
8,NOR,Adam Prentice,PrenAd00,2022-09-11,2022,1,REG,0,0,0,0,0,0,0,0,7,11
9,NOR,Adam Prentice,PrenAd00,2022-09-18,2022,2,REG,1,0,0,0,1,1,2,0,10,10
10,NOR,Adam Prentice,PrenAd00,2022-09-25,2022,3,REG,0,0,0,0,0,0,0,0,2,12
0,NOR,Adam Prentice,PrenAd00,2022-10-02,2022,4,DNP,0,0,0,0,0,0,0,0,0,0
0,NOR,Adam Prentice,PrenAd00,2022-10-09,2022,5,DNP,0,0,0,0,0,0,0,0,0,0
0,NOR,Adam Prentice,PrenAd00,2022-10-16,2022,6,DNP,0,0,0,0,0,0,0,0,0,0
0,NOR,Adam Prentice,PrenAd00,2022-10-20,2022,7,DNP,0,0,0,0,0,0,0,0,0,0
0,NOR,Adam Prentice,PrenAd00,2022-10-30,2022,8,DNP,0,0,0,0,0,0,0,0,0,0
0,NOR,Adam Prentice,PrenAd00,2022-11-07,2022,9,DNP,0,0,0,0,0,0,0,0,0,0
11,NOR,Adam Prentice,PrenAd00,2022-11-13,2022,10,REG,0,0,0,0,0,0,0,0,9,10
12,NOR,Adam Prentice,PrenAd00,2022-11-20,2022,11,REG,0,0,0,0,0,0,0,0,20,14
13,NOR,Adam Prentice,PrenAd00,2022-11-27,2022,12,REG,0,0,0,0,0,0,0,0,8,8
14,NOR,Adam Prentice,PrenAd00,2022-12-05,2022,13,REG,0,1,2,0,0,0,0,0,3,15
0,NOR,Adam Prentice,PrenAd00,1970-01-01,2022,14,BYE,0,0,0,0,0,0,0,0,0,0
15,NOR,Adam Prentice,PrenAd00,2022-12-18,2022,15,REG,0,0,0,0,1,1,3,0,5,13
16,NOR,Adam Prentice,PrenAd00,2022-12-24,2022,16,REG,1,2,5,0,0,0,0,0,18,6
17,NOR,Adam Prentice,PrenAd00,2023-01-01,2022,17,REG,0,1,2,0,1,1,4,0,25,18
18,NOR,Adam Prentice,PrenAd00,2023-01-08,2022,18,REG,0,0,0,0,0,0,0,0,13,9
19,NOR,Adam Prentice,PrenAd00,2023-09-10,2023,1,REG,0,0,0,0,0,0,0,0,11,13
20,NOR,Adam Prentice,PrenAd00,2023-09-18,2023,2,REG,0,0,0,0,0,0,0,0,18,10
21,NOR,Adam Prentice,PrenAd00,2023-09-24,2023,3,REG,1,0,0,0,0,0,0,0,11,11
22,NOR,Adam Prentice,PrenAd00,2023-10-01,2023,4,REG,0,1,5,0,2,1,5,0,9,10
23,NOR,Adam Prentice,PrenAd00,2023-10-08,2023,5,REG,0,0,0,0,0,0,0,0,8,6
0,NOR,Adam Prentice,PrenAd00,2023-10-15,2023,6,DNP,0,0,0,0,0,0,0,0,0,0
0,NOR,Adam Prentice,PrenAd00,2023-10-19,2023,7,DNP,0,0,0,0,0,0,0,0,0,0
0,NOR,Adam Prentice,PrenAd00,2023-10-29,2023,8,DNP,0,0,0,0,0,0,0,0,0,0
0,NOR,Adam Prentice,PrenAd00,2023-11-05,2023,9,DNP,0,0,0,0,0,0,0,0,0,0
24,NOR,Adam Prentice,PrenAd00,2023-11-12,2023,10,REG,0,0,0,0,0,0,0,0,1,12
0,NOR,Adam Prentice,PrenAd00,1970-01-01,2023,11,BYE,0,0,0,0,0,0,0,0,0,0
25,NOR,Adam Prentice,PrenAd00,2023-11-26,2023,12,REG,0,0,0,0,0,0,0,0,8,8
26,NOR,Adam Prentice,PrenAd00,2023-12-03,2023,13,REG,0,0,0,0,0,0,0,0,9,18
27,NOR,Adam Prentice,PrenAd00,2023-12-10,2023,14,REG,0,0,0,0,0,0,0,0,10,10
28,NOR,Adam Prentice,PrenAd00,2023-12-17,2023,15,REG,0,0,0,0,0,0,0,0,10,9
29,NOR,Adam Prentice,PrenAd00,2023-12-21,2023,16,REG,0,0,0,0,0,0,0,0,5,9
30,NOR,Adam Prentice,PrenAd00,2023-12-31,2023,17,REG,0,1,7,0,1,1,7,0,15,14
31,NOR,Adam Prentice,PrenAd00,2024-01-07,2023,18,REG,0,0,0,0,0,0,0,0,10,7
32,NOR,Adam Prentice,PrenAd00,2024-09-08,2024,1,REG,0,0,0,0,0,0,0,0,24,5
33,NOR,Adam Prentice,PrenAd00,2024-09-15,2024,2,REG,0,0,0,0,1,0,0,0,26,6
34,NOR,Adam Prentice,PrenAd00,2024-09-22,2024,3,REG,1,0,0,0,0,0,0,0,22,7
35,NOR,Adam Prentice,PrenAd00,2024-09-29,2024,4,REG,0,0,0,0,0,0,0,0,24,15
36,NOR,Adam Prentice,PrenAd00,2024-10-07,2024,5,REG,0,0,0,0,0,0,0,0,7,12
37,NOR,Adam Prentice,PrenAd00,2024-10-13,2024,6,REG,0,0,0,0,0,0,0,0,12,15
38,NOR,Adam Prentice,PrenAd00,2024-10-17,2024,7,REG,1,0,0,0,0,0,0,0,13,13
39,NOR,Adam Prentice,PrenAd00,2024-10-27,2024,8,REG,0,0,0,0,1,0,0,0,12,19
40,NOR,Adam Prentice,PrenAd00,2024-11-03,2024,9,REG,0,0,0,0,1,0,0,0,21,16
41,NOR,Adam Prentice,PrenAd00,2024-11-10,2024,10,REG,1,0,0,0,0,0,0,0,18,17
42,NOR,Adam Prentice,PrenAd00,2024-11-17,2024,11,REG,1,0,0,0,0,0,0,0,20,7
0,NOR,Adam Prentice,PrenAd00,1970-01-01,2024,12,BYE,0,0,0,0,0,0,0,0,0,0
43,NOR,Adam Prentice,PrenAd00,2024-12-01,2024,13,REG,1,0,0,0,0,0,0,0,13,8
44,NOR,Adam Prentice,PrenAd00,2024-12-08,2024,14,REG,1,0,0,0,0,0,0,0,26,19
