CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,CAR,Alex Armah,ArmaAl00,2017-09-10,2017,1,DNP,0,0,0,0,0,0,0,0,0,0
0,CAR,Alex Armah,ArmaAl00,2017-09-17,2017,2,DNP,0,0,0,0,0,0,0,0,0,0
1,CAR,Alex Armah,ArmaAl00,2017-09-24,2017,3,REG,0,0,0,0,0,0,0,0,0,10
2,CAR,Alex Armah,ArmaAl00,2017-10-01,2017,4,REG,0,0,0,0,0,0,0,0,0,15
3,CAR,Alex Armah,ArmaAl00,2017-10-08,2017,5,REG,0,0,0,0,0,0,0,0,1,19
4,CAR,Alex Armah,ArmaAl00,2017-10-12,2017,6,REG,0,0,0,0,0,0,0,0,2,21
5,CAR,Alex Armah,ArmaAl00,2017-10-22,2017,7,REG,0,0,0,0,0,0,0,0,3,17
0,CAR,Alex Armah,ArmaAl00,2017-10-29,2017,8,DNP,0,0,0,0,0,0,0,0,0,0
6,CAR,Alex Armah,ArmaAl00,2017-11-05,2017,9,REG,0,0,0,0,0,0,0,0,17,17
7,CAR,Alex Armah,ArmaAl00,2017-11-13,2017,10,REG,0,0,0,0,0,0,0,0,17,16
0,CAR,Alex Armah,ArmaAl00,1970-01-01,2017,11,BYE,0,0,0,0,0,0,0,0,0,0
0,CAR,Alex Armah,ArmaAl00,2017-11-26,2017,12,DNP,0,0,0,0,0,0,0,0,0,0
8,CAR,Alex Armah,ArmaAl00,2017-12-03,2017,13,REG,0,0,0,0,0,0,0,0,6,14
0,CAR,Alex Armah,ArmaAl00,2017-12-10,2017,14,DNP,0,0,0,0,0,0,0,0,0,0
0,CAR,Alex Armah,ArmaAl00,2017-12-17,2017,15,DNP,0,0,0,0,0,0,0,0,0,0
0,CAR,Alex Armah,ArmaAl00,2017-12-24,2017,16,DNP,0,0,0,0,0,0,0,0,0,0
9,CAR,Alex Armah,ArmaAl00,2017-12-31,2017,17,REG,0,0,0,0,0,0,0,0,0,19
