CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,ARI,Alfonso Smith,SmitAl22,2010-09-12,2010,1,DNP,0,0,0,0,0,0,0,0,0,0
0,ARI,Alfonso Smith,SmitAl22,2010-09-19,2010,2,DNP,0,0,0,0,0,0,0,0,0,0
0,ARI,Alfonso Smith,SmitAl22,2010-09-26,2010,3,DNP,0,0,0,0,0,0,0,0,0,0
0,ARI,Alfonso Smith,SmitAl22,2010-10-03,2010,4,DNP,0,0,0,0,0,0,0,0,0,0
0,ARI,Alfonso Smith,SmitAl22,2010-10-10,2010,5,DNP,0,0,0,0,0,0,0,0,0,0
0,ARI,Alfonso Smith,SmitAl22,1970-01-01,2010,6,BYE,0,0,0,0,0,0,0,0,0,0
0,ARI,Alfonso Smith,SmitAl22,2010-10-24,2010,7,DNP,0,0,0,0,0,0,0,0,0,0
0,ARI,Alfonso Smith,SmitAl22,2010-10-31,2010,8,DNP,0,0,0,0,0,0,0,0,0,0
0,ARI,Alfonso Smith,SmitAl22,2010-11-07,2010,9,DNP,0,0,0,0,0,0,0,0,0,0
0,ARI,Alfonso Smith,SmitAl22,2010-11-14,2010,10,DNP,0,0,0,0,0,0,0,0,0,0
1,ARI,Alfonso Smith,SmitAl22,2010-11-21,2010,11,REG,0,0,0,0,0,0,0,0,0,0
0,ARI,Alfonso Smith,SmitAl22,2010-11-29,2010,12,DNP,0,0,0,0,0,0,0,0,0,0
0,ARI,Alfonso Smith,SmitAl22,2010-12-05,2010,13,DNP,0,0,0,0,0,0,0,0,0,0
0,ARI,Alfonso Smith,SmitAl22,2010-12-12,2010,14,DNP,0,0,0,0,0,0,0,0,0,0
0,ARI,Alfonso Smith,SmitAl22,2010-12-19,2010,15,DNP,0,0,0,0,0,0,0,0,0,0
0,ARI,Alfonso Smith,SmitAl22,2010-12-25,2010,16,DNP,0,0,0,0,0,0,0,0,0,0
0,ARI,Alfonso Smith,SmitAl22,2011-01-02,2010,17,DNP,0,0,0,0,0,0,0,0,0,0
0,ARI,Alfonso Smith,SmitAl22,2011-09-11,2011,1,DNP,0,0,0,0,0,0,0,0,0,0
2,ARI,Alfonso Smith,SmitAl22,2011-09-18,2011,2,REG,0,0,0,0,0,0,0,0,0,0
3,ARI,Alfonso Smith,SmitAl22,2011-09-25,2011,3,REG,0,17,54,0,5,3,21,0,0,0
4,ARI,Alfonso Smith,SmitAl22,2011-10-02,2011,4,REG,0,2,16,0,0,0,0,0,0,0
5,ARI,Alfonso Smith,SmitAl22,2011-10-09,2011,5,REG,0,1,2,0,0,0,0,0,0,0
0,ARI,Alfonso Smith,SmitAl22,1970-01-01,2011,6,BYE,0,0,0,0,0,0,0,0,0,0
6,ARI,Alfonso Smith,SmitAl22,2011-10-23,2011,7,REG,0,5,17,1,0,0,0,0,0,0
7,ARI,Alfonso Smith,SmitAl22,2011-10-30,2011,8,REG,0,1,1,0,0,0,0,0,0,0
8,ARI,Alfonso Smith,SmitAl22,2011-11-06,2011,9,REG,0,0,0,0,0,0,0,0,0,0
9,ARI,Alfonso Smith,SmitAl22,2011-11-13,2011,10,REG,0,0,0,0,0,0,0,0,0,0
10,ARI,Alfonso Smith,SmitAl22,2011-11-20,2011,11,REG,0,0,0,0,0,0,0,0,0,0
11,ARI,Alfonso Smith,SmitAl22,2011-11-27,2011,12,REG,0,3,12,0,0,0,0,0,0,0
12,ARI,Alfonso Smith,SmitAl22,2011-12-04,2011,13,REG,0,0,0,0,0,0,0,0,0,0
13,ARI,Alfonso Smith,SmitAl22,2011-12-11,2011,14,REG,0,0,0,0,0,0,0,0,0,0
14,ARI,Alfonso Smith,SmitAl22,2011-12-18,2011,15,REG,0,1,0,0,0,0,0,0,0,0
15,ARI,Alfonso Smith,SmitAl22,2011-12-24,2011,16,REG,0,0,0,0,0,0,0,0,0,0
16,ARI,Alfonso Smith,SmitAl22,2012-01-01,2011,17,REG,0,0,0,0,0,0,0,0,0,0
0,ARI,Alfonso Smith,SmitAl22,2012-09-09,2012,1,DNP,0,0,0,0,0,0,0,0,0,0
0,ARI,Alfonso Smith,SmitAl22,2012-09-16,2012,2,DNP,0,0,0,0,0,0,0,0,0,0
0,ARI,Alfonso Smith,SmitAl22,2012-09-23,2012,3,DNP,0,0,0,0,0,0,0,0,0,0
17,ARI,Alfonso Smith,SmitAl22,2012-09-30,2012,4,REG,0,0,0,0,0,0,0,0,0,18
18,ARI,Alfonso Smith,SmitAl22,2012-10-04,2012,5,REG,0,0,0,0,1,1,13,0,10,10
19,ARI,Alfonso Smith,SmitAl22,2012-10-14,2012,6,REG,0,0,0,0,0,0,0,0,2,19
20,ARI,Alfonso Smith,SmitAl22,2012-10-21,2012,7,REG,0,0,0,0,0,0,0,0,0,10
21,ARI,Alfonso Smith,SmitAl22,2012-10-29,2012,8,REG,0,0,0,0,0,0,0,0,1,7
22,ARI,Alfonso Smith,SmitAl22,2012-11-04,2012,9,REG,0,0,0,0,0,0,0,0,0,8
0,ARI,Alfonso Smith,SmitAl22,1970-01-01,2012,10,BYE,0,0,0,0,0,0,0,0,0,0
23,ARI,Alfonso Smith,SmitAl22,2012-11-18,2012,11,REG,0,0,0,0,0,0,0,0,0,6
0,ARI,Alfonso Smith,SmitAl22,2012-11-25,2012,12,DNP,0,0,0,0,0,0,0,0,0,0
0,ARI,Alfonso Smith,SmitAl22,2012-12-02,2012,13,DNP,0,0,0,0,0,0,0,0,0,0
24,ARI,Alfonso Smith,SmitAl22,2012-12-09,2012,14,REG,0,0,0,0,0,0,0,0,0,3
25,ARI,Alfonso Smith,SmitAl22,2012-12-16,2012,15,REG,0,0,0,0,0,0,0,0,0,5
26,ARI,Alfonso Smith,SmitAl22,2012-12-23,2012,16,REG,0,0,0,0,2,1,8,0,4,11
27,ARI,Alfonso Smith,SmitAl22,2012-12-30,2012,17,REG,0,0,0,0,0,0,0,0,0,8
28,ARI,Alfonso Smith,SmitAl22,2013-09-08,2013,1,REG,0,10,26,0,1,0,0,0,27,9
29,ARI,Alfonso Smith,SmitAl22,2013-09-15,2013,2,REG,0,3,1,0,1,1,5,0,17,18
30,ARI,Alfonso Smith,SmitAl22,2013-09-22,2013,3,REG,0,3,27,1,1,1,7,0,18,18
31,ARI,Alfonso Smith,SmitAl22,2013-09-29,2013,4,REG,0,0,0,0,1,0,0,0,2,11
32,ARI,Alfonso Smith,SmitAl22,2013-10-06,2013,5,REG,0,1,-2,0,3,3,20,0,7,8
33,ARI,Alfonso Smith,SmitAl22,2013-10-13,2013,6,REG,0,1,2,0,1,0,0,0,10,16
34,ARI,Alfonso Smith,SmitAl22,2013-10-17,2013,7,REG,0,0,0,0,4,4,30,0,21,18
35,ARI,Alfonso Smith,SmitAl22,2013-10-27,2013,8,REG,0,0,0,0,0,0,0,0,4,15
0,ARI,Alfonso Smith,SmitAl22,1970-01-01,2013,9,BYE,0,0,0,0,0,0,0,0,0,0
36,ARI,Alfonso Smith,SmitAl22,2013-11-10,2013,10,REG,0,0,0,0,0,0,0,0,4,16
37,ARI,Alfonso Smith,SmitAl22,2013-11-17,2013,11,REG,0,0,0,0,0,0,0,0,5,18
38,ARI,Alfonso Smith,SmitAl22,2013-11-24,2013,12,REG,0,0,0,0,1,1,6,0,6,12
39,ARI,Alfonso Smith,SmitAl22,2013-12-01,2013,13,REG,0,0,0,0,0,0,0,0,8,14
40,ARI,Alfonso Smith,SmitAl22,2013-12-08,2013,14,REG,0,0,0,0,0,0,0,0,1,13
41,ARI,Alfonso Smith,SmitAl22,2013-12-15,2013,15,REG,0,0,0,0,0,0,0,0,0,17
42,ARI,Alfonso Smith,SmitAl22,2013-12-22,2013,16,REG,0,0,0,0,0,0,0,0,1,13
43,ARI,Alfonso Smith,SmitAl22,2013-12-29,2013,17,REG,0,0,0,0,0,0,0,0,0,13
0,SFO,Alfonso Smith,SmitAl22,2014-09-07,2014,1,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Alfonso Smith,SmitAl22,2014-09-14,2014,2,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Alfonso Smith,SmitAl22,2014-09-21,2014,3,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Alfonso Smith,SmitAl22,2014-09-28,2014,4,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Alfonso Smith,SmitAl22,2014-10-05,2014,5,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Alfonso Smith,SmitAl22,2014-10-13,2014,6,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Alfonso Smith,SmitAl22,2014-10-19,2014,7,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Alfonso Smith,SmitAl22,1970-01-01,2014,8,BYE,0,0,0,0,0,0,0,0,0,0
0,SFO,Alfonso Smith,SmitAl22,2014-11-02,2014,9,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Alfonso Smith,SmitAl22,2014-11-09,2014,10,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Alfonso Smith,SmitAl22,2014-11-16,2014,11,DNP,0,0,0,0,0,0,0,0,0,0
44,SFO,Alfonso Smith,SmitAl22,2014-11-23,2014,12,REG,0,0,0,0,0,0,0,0,0,8
45,SFO,Alfonso Smith,SmitAl22,2014-11-27,2014,13,REG,0,0,0,0,0,0,0,0,0,6
46,SFO,Alfonso Smith,SmitAl22,2014-12-07,2014,14,REG,0,0,0,0,0,0,0,0,0,12
47,SFO,Alfonso Smith,SmitAl22,2014-12-14,2014,15,REG,0,4,6,0,0,0,0,0,13,14
48,SFO,Alfonso Smith,SmitAl22,2014-12-20,2014,16,REG,0,2,14,0,2,2,9,0,12,20
49,SFO,Alfonso Smith,SmitAl22,2014-12-28,2014,17,REG,0,1,-1,0,2,1,2,0,9,15
