CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,GNB,Alonzo Harris,HarrAl00,2015-09-13,2015,1,DNP,0,0,0,0,0,0,0,0,0,0
0,GNB,Alonzo Harris,HarrAl00,2015-09-20,2015,2,DNP,0,0,0,0,0,0,0,0,0,0
1,GNB,Alonzo Harris,HarrAl00,2015-09-28,2015,3,REG,0,2,17,0,0,0,0,0,4,9
2,GNB,Alonzo Harris,HarrAl00,2015-10-04,2015,4,REG,0,0,0,0,0,0,0,0,0,8
3,GNB,Alonzo Harris,HarrAl00,2015-10-11,2015,5,REG,0,0,0,0,0,0,0,0,0,8
0,GNB,Alonzo Harris,HarrAl00,2015-10-18,2015,6,DNP,0,0,0,0,0,0,0,0,0,0
0,GNB,Alonzo Harris,HarrAl00,1970-01-01,2015,7,BYE,0,0,0,0,0,0,0,0,0,0
4,GNB,Alonzo Harris,HarrAl00,2015-11-01,2015,8,REG,0,2,2,0,0,0,0,0,2,9
5,GNB,Alonzo Harris,HarrAl00,2015-11-08,2015,9,REG,0,0,0,0,0,0,0,0,0,14
6,GNB,Alonzo Harris,HarrAl00,2015-11-15,2015,10,REG,0,0,0,0,1,0,0,0,1,12
0,GNB,Alonzo Harris,HarrAl00,2015-11-22,2015,11,DNP,0,0,0,0,0,0,0,0,0,0
0,GNB,Alonzo Harris,HarrAl00,2015-11-26,2015,12,DNP,0,0,0,0,0,0,0,0,0,0
0,GNB,Alonzo Harris,HarrAl00,2015-12-03,2015,13,DNP,0,0,0,0,0,0,0,0,0,0
0,GNB,Alonzo Harris,HarrAl00,2015-12-13,2015,14,DNP,0,0,0,0,0,0,0,0,0,0
0,GNB,Alonzo Harris,HarrAl00,2015-12-20,2015,15,DNP,0,0,0,0,0,0,0,0,0,0
0,GNB,Alonzo Harris,HarrAl00,2015-12-27,2015,16,DNP,0,0,0,0,0,0,0,0,0,0
0,GNB,Alonzo Harris,HarrAl00,2016-01-03,2015,17,DNP,0,0,0,0,0,0,0,0,0,0
