CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,JAX,Alvin Pearman,PearAl00,2005-09-11,2005,1,REG,0,1,2,0,0,0,0,0,0,0
2,JAX,Alvin Pearman,PearAl00,2005-09-18,2005,2,REG,0,0,0,0,0,0,0,0,0,0
3,JAX,Alvin Pearman,PearAl00,2005-09-25,2005,3,REG,0,4,22,0,1,1,8,0,0,0
4,JAX,Alvin Pearman,PearAl00,2005-10-02,2005,4,REG,0,0,0,0,4,4,42,0,0,0
5,JAX,Alvin Pearman,PearAl00,2005-10-09,2005,5,REG,0,3,15,0,1,1,19,0,0,0
6,JAX,Alvin Pearman,PearAl00,2005-10-16,2005,6,REG,0,15,22,0,5,5,35,0,0,0
0,JAX,Alvin Pearman,PearAl00,,2005,7,BYE,0,0,0,0,0,0,0,0,0,0
7,JAX,Alvin Pearman,PearAl00,2005-10-30,2005,8,REG,0,1,45,0,2,2,-5,0,0,0
8,JAX,Alvin Pearman,PearAl00,2005-11-06,2005,9,REG,0,2,7,0,5,5,34,0,0,0
9,JAX,Alvin Pearman,PearAl00,2005-11-13,2005,10,REG,0,3,9,0,2,1,4,0,0,0
10,JAX,Alvin Pearman,PearAl00,2005-11-20,2005,11,REG,0,1,3,0,2,2,18,0,0,0
11,JAX,Alvin Pearman,PearAl00,2005-11-27,2005,12,REG,0,1,6,0,2,2,21,0,0,0
12,JAX,Alvin Pearman,PearAl00,2005-12-04,2005,13,REG,0,1,3,0,1,1,-4,0,0,0
13,JAX,Alvin Pearman,PearAl00,2005-12-11,2005,14,REG,0,0,0,0,1,0,0,0,0,0
14,JAX,Alvin Pearman,PearAl00,2005-12-18,2005,15,REG,0,0,0,0,1,1,8,0,0,0
15,JAX,Alvin Pearman,PearAl00,2005-12-24,2005,16,REG,0,1,2,0,6,5,44,0,0,0
16,JAX,Alvin Pearman,PearAl00,2006-01-01,2005,17,REG,0,6,13,1,3,2,16,0,0,0
17,JAX,Alvin Pearman,PearAl00,2006-01-07,2005,18,POST,0,2,8,0,1,0,0,0,0,0
0,JAX,Alvin Pearman,PearAl00,2006-09-10,2006,1,DNP,0,0,0,0,0,0,0,0,0,0
18,JAX,Alvin Pearman,PearAl00,2006-09-18,2006,2,REG,0,1,10,0,0,0,0,0,0,0
19,JAX,Alvin Pearman,PearAl00,2006-09-24,2006,3,REG,0,0,0,0,2,1,5,0,0,0
20,JAX,Alvin Pearman,PearAl00,2006-10-01,2006,4,REG,0,0,0,0,0,0,0,0,0,0
0,JAX,Alvin Pearman,PearAl00,2006-10-08,2006,5,DNP,0,0,0,0,0,0,0,0,0,0
0,JAX,Alvin Pearman,PearAl00,,2006,6,BYE,0,0,0,0,0,0,0,0,0,0
0,JAX,Alvin Pearman,PearAl00,2006-10-22,2006,7,DNP,0,0,0,0,0,0,0,0,0,0
21,JAX,Alvin Pearman,PearAl00,2006-10-29,2006,8,REG,0,1,0,0,0,0,0,0,0,0
22,JAX,Alvin Pearman,PearAl00,2006-11-05,2006,9,REG,0,3,9,0,0,0,0,0,0,0
23,JAX,Alvin Pearman,PearAl00,2006-11-12,2006,10,REG,0,0,0,0,0,0,0,0,0,0
24,JAX,Alvin Pearman,PearAl00,2006-11-20,2006,11,REG,0,0,0,0,0,0,0,0,0,0
25,JAX,Alvin Pearman,PearAl00,2006-11-26,2006,12,REG,0,0,0,0,0,0,0,0,0,0
26,JAX,Alvin Pearman,PearAl00,2006-12-03,2006,13,REG,0,0,0,0,0,0,0,0,0,0
27,JAX,Alvin Pearman,PearAl00,2006-12-10,2006,14,REG,0,13,71,1,0,0,0,0,0,0
28,JAX,Alvin Pearman,PearAl00,2006-12-17,2006,15,REG,0,1,-1,0,1,1,7,0,0,0
29,JAX,Alvin Pearman,PearAl00,2006-12-24,2006,16,REG,0,0,0,0,0,0,0,0,0,0
30,JAX,Alvin Pearman,PearAl00,2006-12-31,2006,17,REG,0,0,0,0,0,0,0,0,0,0
0,SEA,Alvin Pearman,PearAl00,2007-09-09,2007,1,DNP,0,0,0,0,0,0,0,0,0,0
31,SEA,Alvin Pearman,PearAl00,2007-09-16,2007,2,REG,0,0,0,0,1,1,1,0,0,0
32,SEA,Alvin Pearman,PearAl00,2007-09-23,2007,3,REG,0,0,0,0,0,0,0,0,0,0
33,SEA,Alvin Pearman,PearAl00,2007-09-30,2007,4,REG,0,0,0,0,0,0,0,0,0,0
0,SEA,Alvin Pearman,PearAl00,2007-10-07,2007,5,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,Alvin Pearman,PearAl00,2007-10-14,2007,6,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,Alvin Pearman,PearAl00,2007-10-21,2007,7,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,Alvin Pearman,PearAl00,,2007,8,BYE,0,0,0,0,0,0,0,0,0,0
0,SEA,Alvin Pearman,PearAl00,2007-11-04,2007,9,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,Alvin Pearman,PearAl00,2007-11-12,2007,10,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,Alvin Pearman,PearAl00,2007-11-18,2007,11,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,Alvin Pearman,PearAl00,2007-11-25,2007,12,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,Alvin Pearman,PearAl00,2007-12-02,2007,13,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,Alvin Pearman,PearAl00,2007-12-09,2007,14,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,Alvin Pearman,PearAl00,2007-12-16,2007,15,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,Alvin Pearman,PearAl00,2007-12-23,2007,16,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,Alvin Pearman,PearAl00,2007-12-30,2007,17,DNP,0,0,0,0,0,0,0,0,0,0
0,JAX,Alvin Pearman,PearAl00,2008-09-07,2008,1,DNP,0,0,0,0,0,0,0,0,0,0
0,JAX,Alvin Pearman,PearAl00,2008-09-14,2008,2,DNP,0,0,0,0,0,0,0,0,0,0
0,JAX,Alvin Pearman,PearAl00,2008-09-21,2008,3,DNP,0,0,0,0,0,0,0,0,0,0
0,JAX,Alvin Pearman,PearAl00,2008-09-28,2008,4,DNP,0,0,0,0,0,0,0,0,0,0
0,JAX,Alvin Pearman,PearAl00,2008-10-05,2008,5,DNP,0,0,0,0,0,0,0,0,0,0
0,JAX,Alvin Pearman,PearAl00,2008-10-12,2008,6,DNP,0,0,0,0,0,0,0,0,0,0
0,JAX,Alvin Pearman,PearAl00,,2008,7,BYE,0,0,0,0,0,0,0,0,0,0
0,JAX,Alvin Pearman,PearAl00,2008-10-26,2008,8,DNP,0,0,0,0,0,0,0,0,0,0
0,JAX,Alvin Pearman,PearAl00,2008-11-02,2008,9,DNP,0,0,0,0,0,0,0,0,0,0
0,JAX,Alvin Pearman,PearAl00,2008-11-09,2008,10,DNP,0,0,0,0,0,0,0,0,0,0
0,JAX,Alvin Pearman,PearAl00,2008-11-16,2008,11,DNP,0,0,0,0,0,0,0,0,0,0
0,JAX,Alvin Pearman,PearAl00,2008-11-23,2008,12,DNP,0,0,0,0,0,0,0,0,0,0
0,JAX,Alvin Pearman,PearAl00,2008-12-01,2008,13,DNP,0,0,0,0,0,0,0,0,0,0
0,JAX,Alvin Pearman,PearAl00,2008-12-07,2008,14,DNP,0,0,0,0,0,0,0,0,0,0
0,JAX,Alvin Pearman,PearAl00,2008-12-14,2008,15,DNP,0,0,0,0,0,0,0,0,0,0
0,JAX,Alvin Pearman,PearAl00,2008-12-18,2008,16,DNP,0,0,0,0,0,0,0,0,0,0
34,JAX,Alvin Pearman,PearAl00,2008-12-28,2008,17,REG,0,0,0,0,1,1,23,1,0,0
0,TEN,Alvin Pearman,PearAl00,2009-09-10,2009,1,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Alvin Pearman,PearAl00,2009-09-20,2009,2,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Alvin Pearman,PearAl00,2009-09-27,2009,3,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Alvin Pearman,PearAl00,2009-10-04,2009,4,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Alvin Pearman,PearAl00,2009-10-11,2009,5,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Alvin Pearman,PearAl00,2009-10-18,2009,6,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Alvin Pearman,PearAl00,,2009,7,BYE,0,0,0,0,0,0,0,0,0,0
0,TEN,Alvin Pearman,PearAl00,2009-11-01,2009,8,DNP,0,0,0,0,0,0,0,0,0,0
35,TEN,Alvin Pearman,PearAl00,2009-11-08,2009,9,REG,0,0,0,0,0,0,0,0,0,0
36,TEN,Alvin Pearman,PearAl00,2009-11-15,2009,10,REG,0,0,0,0,0,0,0,0,0,0
0,TEN,Alvin Pearman,PearAl00,2009-11-23,2009,11,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Alvin Pearman,PearAl00,2009-11-29,2009,12,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Alvin Pearman,PearAl00,2009-12-06,2009,13,DNP,0,0,0,0,0,0,0,0,0,0
37,TEN,Alvin Pearman,PearAl00,2009-12-13,2009,14,REG,0,0,0,0,0,0,0,0,0,0
38,TEN,Alvin Pearman,PearAl00,2009-12-20,2009,15,REG,0,0,0,0,0,0,0,0,0,0
0,TEN,Alvin Pearman,PearAl00,2009-12-25,2009,16,DNP,0,0,0,0,0,0,0,0,0,0
39,TEN,Alvin Pearman,PearAl00,2010-01-03,2009,17,REG,0,0,0,0,0,0,0,0,0,0
