CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,DEN,Andy Janovich,JanoAn00,2016-09-08,2016,1,REG,0,1,28,1,0,0,0,0,27,15
2,DEN,Andy Janovich,JanoAn00,2016-09-18,2016,2,REG,0,0,0,0,1,1,11,0,34,19
3,DEN,Andy Janovich,JanoAn00,2016-09-25,2016,3,REG,1,1,2,0,1,1,13,0,27,18
4,DEN,Andy Janovich,JanoAn00,2016-10-02,2016,4,REG,0,0,0,0,0,0,0,0,29,21
5,DEN,Andy Janovich,JanoAn00,2016-10-09,2016,5,REG,1,1,2,0,1,0,0,0,12,21
6,DEN,Andy Janovich,JanoAn00,2016-10-13,2016,6,REG,0,0,0,0,0,0,0,0,5,20
7,DEN,Andy Janovich,JanoAn00,2016-10-24,2016,7,REG,1,1,1,0,2,1,12,0,31,20
8,DEN,Andy Janovich,JanoAn00,2016-10-30,2016,8,REG,1,0,0,0,0,0,0,0,27,15
9,DEN,Andy Janovich,JanoAn00,2016-11-06,2016,9,REG,0,0,0,0,0,0,0,0,1,17
10,DEN,Andy Janovich,JanoAn00,2016-11-13,2016,10,REG,0,0,0,0,1,1,9,0,10,12
0,DEN,Andy Janovich,JanoAn00,,2016,11,BYE,0,0,0,0,0,0,0,0,0,0
11,DEN,Andy Janovich,JanoAn00,2016-11-27,2016,12,REG,1,0,0,0,1,1,-1,0,32,8
0,DEN,Andy Janovich,JanoAn00,2016-12-04,2016,13,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Andy Janovich,JanoAn00,2016-12-11,2016,14,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Andy Janovich,JanoAn00,2016-12-18,2016,15,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Andy Janovich,JanoAn00,2016-12-25,2016,16,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Andy Janovich,JanoAn00,2017-01-01,2016,17,DNP,0,0,0,0,0,0,0,0,0,0
12,DEN,Andy Janovich,JanoAn00,2017-09-11,2017,1,REG,1,0,0,0,0,0,0,0,17,16
13,DEN,Andy Janovich,JanoAn00,2017-09-17,2017,2,REG,0,0,0,0,0,0,0,0,7,17
14,DEN,Andy Janovich,JanoAn00,2017-09-24,2017,3,REG,0,1,2,0,0,0,0,0,8,20
15,DEN,Andy Janovich,JanoAn00,2017-10-01,2017,4,REG,0,0,0,0,0,0,0,0,11,21
0,DEN,Andy Janovich,JanoAn00,,2017,5,BYE,0,0,0,0,0,0,0,0,0,0
16,DEN,Andy Janovich,JanoAn00,2017-10-15,2017,6,REG,0,0,0,0,1,0,0,0,7,18
17,DEN,Andy Janovich,JanoAn00,2017-10-22,2017,7,REG,0,1,3,0,2,2,14,0,5,18
18,DEN,Andy Janovich,JanoAn00,2017-10-30,2017,8,REG,0,0,0,0,1,0,0,0,7,22
19,DEN,Andy Janovich,JanoAn00,2017-11-05,2017,9,REG,1,0,0,0,0,0,0,0,9,23
20,DEN,Andy Janovich,JanoAn00,2017-11-12,2017,10,REG,0,1,3,0,0,0,0,0,5,16
21,DEN,Andy Janovich,JanoAn00,2017-11-19,2017,11,REG,1,0,0,0,0,0,0,0,9,21
22,DEN,Andy Janovich,JanoAn00,2017-11-26,2017,12,REG,1,1,4,0,0,0,0,0,13,18
23,DEN,Andy Janovich,JanoAn00,2017-12-03,2017,13,REG,0,0,0,0,0,0,0,0,12,25
24,DEN,Andy Janovich,JanoAn00,2017-12-10,2017,14,REG,0,1,1,1,0,0,0,0,12,20
25,DEN,Andy Janovich,JanoAn00,2017-12-14,2017,15,REG,0,1,-1,0,0,0,0,0,18,14
26,DEN,Andy Janovich,JanoAn00,2017-12-24,2017,16,REG,0,0,0,0,2,2,21,0,13,19
27,DEN,Andy Janovich,JanoAn00,2017-12-31,2017,17,REG,0,0,0,0,0,0,0,0,11,19
28,DEN,Andy Janovich,JanoAn00,2018-09-09,2018,1,REG,0,0,0,0,0,0,0,0,13,22
29,DEN,Andy Janovich,JanoAn00,2018-09-16,2018,2,REG,0,0,0,0,1,1,11,0,11,17
30,DEN,Andy Janovich,JanoAn00,2018-09-23,2018,3,REG,0,1,2,0,0,0,0,0,13,19
31,DEN,Andy Janovich,JanoAn00,2018-10-01,2018,4,REG,1,0,0,0,1,1,32,0,17,17
32,DEN,Andy Janovich,JanoAn00,2018-10-07,2018,5,REG,0,0,0,0,0,0,0,0,10,22
33,DEN,Andy Janovich,JanoAn00,2018-10-14,2018,6,REG,1,0,0,0,0,0,0,0,17,16
34,DEN,Andy Janovich,JanoAn00,2018-10-18,2018,7,REG,1,0,0,0,0,0,0,0,20,22
35,DEN,Andy Janovich,JanoAn00,2018-10-28,2018,8,REG,1,0,0,0,0,0,0,0,18,20
36,DEN,Andy Janovich,JanoAn00,2018-11-04,2018,9,REG,0,0,0,0,1,1,9,0,15,0
0,DEN,Andy Janovich,JanoAn00,,2018,10,BYE,0,0,0,0,0,0,0,0,0,0
