CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,TAM,Anthony McDowell,McDoAn00,1992-09-06,1992,1,DNP,0,0,0,0,0,0,0,0,0,0
0,TAM,Anthony McDowell,McDoAn00,1992-09-13,1992,2,DNP,0,0,0,0,0,0,0,0,0,0
0,TAM,Anthony McDowell,McDoAn00,1992-09-20,1992,3,DNP,0,0,0,0,0,0,0,0,0,0
0,TAM,Anthony McDowell,McDoAn00,1992-09-27,1992,4,DNP,0,0,0,0,0,0,0,0,0,0
1,TAM,Anthony McDowell,McDoAn00,1992-10-04,1992,5,REG,0,0,0,0,1,1,11,0,0,0
0,TAM,Anthony McDowell,McDoAn00,1970-01-01,1992,6,BYE,0,0,0,0,0,0,0,0,0,0
2,TAM,Anthony McDowell,McDoAn00,1992-10-18,1992,7,REG,1,0,0,0,2,0,0,0,0,0
3,TAM,Anthony McDowell,McDoAn00,1992-10-25,1992,8,REG,1,2,18,0,4,2,25,0,0,0
4,TAM,Anthony McDowell,McDoAn00,1992-11-01,1992,9,REG,1,1,5,0,1,1,9,0,0,0
5,TAM,Anthony McDowell,McDoAn00,1992-11-08,1992,10,REG,0,0,0,0,6,4,36,0,0,0
6,TAM,Anthony McDowell,McDoAn00,1992-11-15,1992,11,REG,1,1,1,0,2,2,1,0,0,0
7,TAM,Anthony McDowell,McDoAn00,1992-11-22,1992,12,REG,1,0,0,0,5,4,24,0,0,0
8,TAM,Anthony McDowell,McDoAn00,1992-11-29,1992,13,REG,1,1,3,0,2,1,15,1,0,0
9,TAM,Anthony McDowell,McDoAn00,1992-12-06,1992,14,REG,1,3,9,0,3,3,10,0,0,0
10,TAM,Anthony McDowell,McDoAn00,1992-12-13,1992,15,REG,1,3,36,0,4,4,30,0,0,0
11,TAM,Anthony McDowell,McDoAn00,1992-12-19,1992,16,REG,0,1,2,0,3,2,55,1,0,0
12,TAM,Anthony McDowell,McDoAn00,1992-12-27,1992,17,REG,0,2,7,0,4,3,42,0,0,0
13,TAM,Anthony McDowell,McDoAn00,1993-09-05,1993,1,REG,1,0,0,0,4,4,17,0,0,0
14,TAM,Anthony McDowell,McDoAn00,1993-09-12,1993,2,REG,1,0,0,0,3,3,6,0,0,0
0,TAM,Anthony McDowell,McDoAn00,1970-01-01,1993,3,BYE,0,0,0,0,0,0,0,0,0,0
15,TAM,Anthony McDowell,McDoAn00,1993-09-26,1993,4,REG,1,2,6,0,5,1,3,1,0,0
0,TAM,Anthony McDowell,McDoAn00,1993-10-03,1993,5,DNP,0,0,0,0,0,0,0,0,0,0
0,TAM,Anthony McDowell,McDoAn00,1993-10-10,1993,6,DNP,0,0,0,0,0,0,0,0,0,0
0,TAM,Anthony McDowell,McDoAn00,1970-01-01,1993,7,BYE,0,0,0,0,0,0,0,0,0,0
0,TAM,Anthony McDowell,McDoAn00,1993-10-24,1993,8,DNP,0,0,0,0,0,0,0,0,0,0
0,TAM,Anthony McDowell,McDoAn00,1993-10-31,1993,9,DNP,0,0,0,0,0,0,0,0,0,0
16,TAM,Anthony McDowell,McDoAn00,1993-11-07,1993,10,REG,0,0,0,0,1,0,0,0,0,0
0,TAM,Anthony McDowell,McDoAn00,1993-11-14,1993,11,DNP,0,0,0,0,0,0,0,0,0,0
