CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,CHI,Armando Allen,AlleAr00,2011-09-11,2011,1,DNP,0,0,0,0,0,0,0,0,0,0
0,CHI,Armando Allen,AlleAr00,2011-09-18,2011,2,DNP,0,0,0,0,0,0,0,0,0,0
0,CHI,Armando Allen,AlleAr00,2011-09-25,2011,3,DNP,0,0,0,0,0,0,0,0,0,0
0,CHI,Armando Allen,AlleAr00,2011-10-02,2011,4,DNP,0,0,0,0,0,0,0,0,0,0
0,CHI,Armando Allen,AlleAr00,2011-10-10,2011,5,DNP,0,0,0,0,0,0,0,0,0,0
0,CHI,Armando Allen,AlleAr00,2011-10-16,2011,6,DNP,0,0,0,0,0,0,0,0,0,0
0,CHI,Armando Allen,AlleAr00,2011-10-23,2011,7,DNP,0,0,0,0,0,0,0,0,0,0
0,CHI,Armando Allen,AlleAr00,1970-01-01,2011,8,BYE,0,0,0,0,0,0,0,0,0,0
0,CHI,Armando Allen,AlleAr00,2011-11-07,2011,9,DNP,0,0,0,0,0,0,0,0,0,0
0,CHI,Armando Allen,AlleAr00,2011-11-13,2011,10,DNP,0,0,0,0,0,0,0,0,0,0
0,CHI,Armando Allen,AlleAr00,2011-11-20,2011,11,DNP,0,0,0,0,0,0,0,0,0,0
0,CHI,Armando Allen,AlleAr00,2011-11-27,2011,12,DNP,0,0,0,0,0,0,0,0,0,0
0,CHI,Armando Allen,AlleAr00,2011-12-04,2011,13,DNP,0,0,0,0,0,0,0,0,0,0
0,CHI,Armando Allen,AlleAr00,2011-12-11,2011,14,DNP,0,0,0,0,0,0,0,0,0,0
0,CHI,Armando Allen,AlleAr00,2011-12-18,2011,15,DNP,0,0,0,0,0,0,0,0,0,0
1,CHI,Armando Allen,AlleAr00,2011-12-25,2011,16,REG,0,11,40,0,0,0,0,0,0,0
2,CHI,Armando Allen,AlleAr00,2012-01-01,2011,17,REG,0,4,8,0,1,0,0,0,0,0
3,CHI,Armando Allen,AlleAr00,2012-09-09,2012,1,REG,0,0,0,0,0,0,0,0,0,9
4,CHI,Armando Allen,AlleAr00,2012-09-13,2012,2,REG,0,1,-3,0,0,0,0,0,7,9
5,CHI,Armando Allen,AlleAr00,2012-09-23,2012,3,REG,0,1,2,0,0,0,0,0,3,12
6,CHI,Armando Allen,AlleAr00,2012-10-01,2012,4,REG,0,0,0,0,0,0,0,0,0,10
7,CHI,Armando Allen,AlleAr00,2012-10-07,2012,5,REG,0,5,59,1,0,0,0,0,5,11
0,CHI,Armando Allen,AlleAr00,1970-01-01,2012,6,BYE,0,0,0,0,0,0,0,0,0,0
8,CHI,Armando Allen,AlleAr00,2012-10-22,2012,7,REG,0,0,0,0,0,0,0,0,0,12
9,CHI,Armando Allen,AlleAr00,2012-10-28,2012,8,REG,0,0,0,0,0,0,0,0,0,12
10,CHI,Armando Allen,AlleAr00,2012-11-04,2012,9,REG,0,10,32,0,0,0,0,0,13,15
11,CHI,Armando Allen,AlleAr00,2012-11-11,2012,10,REG,0,0,0,0,0,0,0,0,0,8
12,CHI,Armando Allen,AlleAr00,2012-11-19,2012,11,REG,0,1,0,0,0,0,0,0,2,8
13,CHI,Armando Allen,AlleAr00,2012-11-25,2012,12,REG,0,1,2,0,0,0,0,0,3,13
14,CHI,Armando Allen,AlleAr00,2012-12-02,2012,13,REG,0,0,0,0,0,0,0,0,0,13
15,CHI,Armando Allen,AlleAr00,2012-12-09,2012,14,REG,0,1,3,0,0,0,0,0,4,19
16,CHI,Armando Allen,AlleAr00,2012-12-16,2012,15,REG,0,2,5,0,1,1,15,0,3,20
17,CHI,Armando Allen,AlleAr00,2012-12-23,2012,16,REG,0,5,24,0,2,1,1,0,9,24
0,CHI,Armando Allen,AlleAr00,2012-12-30,2012,17,DNP,0,0,0,0,0,0,0,0,0,0
