CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,DET,Artose Pinner,PinnAr00,2003-09-07,2003,1,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Artose Pinner,PinnAr00,2003-09-14,2003,2,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Artose Pinner,PinnAr00,2003-09-21,2003,3,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Artose Pinner,PinnAr00,2003-09-28,2003,4,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Artose Pinner,PinnAr00,2003-10-05,2003,5,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Artose Pinner,PinnAr00,1970-01-01,2003,6,BYE,0,0,0,0,0,0,0,0,0,0
0,DET,Artose Pinner,PinnAr00,2003-10-19,2003,7,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Artose Pinner,PinnAr00,2003-10-26,2003,8,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Artose Pinner,PinnAr00,2003-11-02,2003,9,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Artose Pinner,PinnAr00,2003-11-09,2003,10,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Artose Pinner,PinnAr00,2003-11-16,2003,11,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Artose Pinner,PinnAr00,2003-11-23,2003,12,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Artose Pinner,PinnAr00,2003-11-27,2003,13,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Artose Pinner,PinnAr00,2003-12-07,2003,14,DNP,0,0,0,0,0,0,0,0,0,0
1,DET,Artose Pinner,PinnAr00,2003-12-14,2003,15,REG,0,9,26,0,2,1,21,0,0,0
2,DET,Artose Pinner,PinnAr00,2003-12-21,2003,16,REG,1,12,22,0,2,1,9,0,0,0
3,DET,Artose Pinner,PinnAr00,2003-12-28,2003,17,REG,1,18,51,0,3,3,10,0,0,0
4,DET,Artose Pinner,PinnAr00,2004-09-12,2004,1,REG,0,5,21,0,1,1,5,0,0,0
5,DET,Artose Pinner,PinnAr00,2004-09-19,2004,2,REG,0,6,19,0,1,1,7,0,0,0
6,DET,Artose Pinner,PinnAr00,2004-09-26,2004,3,REG,0,6,16,0,4,4,14,0,0,0
0,DET,Artose Pinner,PinnAr00,1970-01-01,2004,4,BYE,0,0,0,0,0,0,0,0,0,0
7,DET,Artose Pinner,PinnAr00,2004-10-10,2004,5,REG,1,23,68,1,1,1,11,0,0,0
8,DET,Artose Pinner,PinnAr00,2004-10-17,2004,6,REG,1,6,7,0,2,2,29,0,0,0
9,DET,Artose Pinner,PinnAr00,2004-10-24,2004,7,REG,0,9,36,1,1,1,6,0,0,0
10,DET,Artose Pinner,PinnAr00,2004-10-31,2004,8,REG,0,0,0,0,0,0,0,0,0,0
11,DET,Artose Pinner,PinnAr00,2004-11-07,2004,9,REG,0,2,7,0,1,1,0,0,0,0
12,DET,Artose Pinner,PinnAr00,2004-11-14,2004,10,REG,0,0,0,0,0,0,0,0,0,0
0,DET,Artose Pinner,PinnAr00,2004-11-21,2004,11,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Artose Pinner,PinnAr00,2004-11-25,2004,12,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Artose Pinner,PinnAr00,2004-12-05,2004,13,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Artose Pinner,PinnAr00,2004-12-12,2004,14,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Artose Pinner,PinnAr00,2004-12-19,2004,15,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Artose Pinner,PinnAr00,2004-12-26,2004,16,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Artose Pinner,PinnAr00,2005-01-02,2004,17,DNP,0,0,0,0,0,0,0,0,0,0
13,DET,Artose Pinner,PinnAr00,2005-09-11,2005,1,REG,0,0,0,0,0,0,0,0,0,0
14,DET,Artose Pinner,PinnAr00,2005-09-18,2005,2,REG,0,0,0,0,0,0,0,0,0,0
0,DET,Artose Pinner,PinnAr00,1970-01-01,2005,3,BYE,0,0,0,0,0,0,0,0,0,0
15,DET,Artose Pinner,PinnAr00,2005-10-02,2005,4,REG,0,6,28,0,2,2,11,0,0,0
16,DET,Artose Pinner,PinnAr00,2005-10-09,2005,5,REG,0,9,32,1,1,0,0,0,0,0
17,DET,Artose Pinner,PinnAr00,2005-10-16,2005,6,REG,0,4,7,0,2,1,13,0,0,0
18,DET,Artose Pinner,PinnAr00,2005-10-23,2005,7,REG,0,7,24,0,1,1,22,0,0,0
19,DET,Artose Pinner,PinnAr00,2005-10-30,2005,8,REG,0,2,8,0,1,1,10,0,0,0
20,DET,Artose Pinner,PinnAr00,2005-11-06,2005,9,REG,0,6,11,1,3,2,26,0,0,0
21,DET,Artose Pinner,PinnAr00,2005-11-13,2005,10,REG,0,7,19,0,0,0,0,0,0,0
22,DET,Artose Pinner,PinnAr00,2005-11-20,2005,11,REG,0,1,7,0,0,0,0,0,0,0
23,DET,Artose Pinner,PinnAr00,2005-11-24,2005,12,REG,0,2,12,0,1,1,3,0,0,0
24,DET,Artose Pinner,PinnAr00,2005-12-04,2005,13,REG,0,14,64,1,4,3,39,0,0,0
25,DET,Artose Pinner,PinnAr00,2005-12-11,2005,14,REG,0,13,25,0,3,3,8,0,0,0
26,DET,Artose Pinner,PinnAr00,2005-12-18,2005,15,REG,1,15,55,0,3,3,18,0,0,0
27,DET,Artose Pinner,PinnAr00,2005-12-24,2005,16,REG,1,20,57,0,4,4,31,0,0,0
28,DET,Artose Pinner,PinnAr00,2006-01-01,2005,17,REG,0,0,0,0,0,0,0,0,0,0
0,MIN,Artose Pinner,PinnAr00,2006-09-11,2006,1,DNP,0,0,0,0,0,0,0,0,0,0
29,MIN,Artose Pinner,PinnAr00,2006-09-17,2006,2,REG,0,1,2,0,0,0,0,0,0,0
30,MIN,Artose Pinner,PinnAr00,2006-09-24,2006,3,REG,0,0,0,0,1,0,0,0,0,0
31,MIN,Artose Pinner,PinnAr00,2006-10-01,2006,4,REG,0,0,0,0,0,0,0,0,0,0
32,MIN,Artose Pinner,PinnAr00,2006-10-08,2006,5,REG,0,3,13,0,0,0,0,0,0,0
0,MIN,Artose Pinner,PinnAr00,1970-01-01,2006,6,BYE,0,0,0,0,0,0,0,0,0,0
33,MIN,Artose Pinner,PinnAr00,2006-10-22,2006,7,REG,0,0,0,0,0,0,0,0,0,0
34,MIN,Artose Pinner,PinnAr00,2006-10-30,2006,8,REG,0,2,5,0,0,0,0,0,0,0
35,MIN,Artose Pinner,PinnAr00,2006-11-05,2006,9,REG,0,3,29,0,0,0,0,0,0,0
