CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,LAC,Austin Ekeler,EkelAu00,2017-09-11,2017,1,REG,0,0,0,0,2,2,18,0,3,17
2,LAC,Austin Ekeler,EkelAu00,2017-09-17,2017,2,REG,0,0,0,0,0,0,0,0,0,17
3,LAC,Austin Ekeler,EkelAu00,2017-09-24,2017,3,REG,0,0,0,0,1,1,6,0,6,19
4,LAC,Austin Ekeler,EkelAu00,2017-10-01,2017,4,REG,0,1,35,1,2,2,23,0,3,17
5,LAC,Austin Ekeler,EkelAu00,2017-10-08,2017,5,REG,0,4,0,0,6,3,28,0,12,16
6,LAC,Austin Ekeler,EkelAu00,2017-10-15,2017,6,REG,0,1,1,0,2,1,8,0,7,11
7,LAC,Austin Ekeler,EkelAu00,2017-10-22,2017,7,REG,0,7,38,0,4,4,6,1,18,13
8,LAC,Austin Ekeler,EkelAu00,2017-10-29,2017,8,REG,0,2,8,0,1,1,13,0,17,14
0,LAC,Austin Ekeler,EkelAu00,,2017,9,BYE,0,0,0,0,0,0,0,0,0,0
9,LAC,Austin Ekeler,EkelAu00,2017-11-12,2017,10,REG,0,10,42,0,5,5,77,2,23,16
10,LAC,Austin Ekeler,EkelAu00,2017-11-19,2017,11,REG,0,6,40,1,2,2,18,0,32,14
11,LAC,Austin Ekeler,EkelAu00,2017-11-23,2017,12,REG,0,6,15,0,3,3,55,0,26,11
12,LAC,Austin Ekeler,EkelAu00,2017-12-03,2017,13,REG,0,4,19,0,3,2,21,0,20,7
13,LAC,Austin Ekeler,EkelAu00,2017-12-10,2017,14,REG,0,4,49,0,3,0,0,0,18,21
14,LAC,Austin Ekeler,EkelAu00,2017-12-16,2017,15,REG,0,2,13,0,1,1,6,0,10,6
15,LAC,Austin Ekeler,EkelAu00,2017-12-24,2017,16,REG,0,0,0,0,0,0,0,0,0,4
16,LAC,Austin Ekeler,EkelAu00,2017-12-31,2017,17,REG,0,0,0,0,0,0,0,0,0,6
17,LAC,Austin Ekeler,EkelAu00,2018-09-09,2018,1,REG,0,5,39,0,5,5,87,1,22,20
18,LAC,Austin Ekeler,EkelAu00,2018-09-16,2018,2,REG,0,11,77,0,3,3,21,0,23,13
19,LAC,Austin Ekeler,EkelAu00,2018-09-23,2018,3,REG,0,4,47,0,3,3,24,0,18,15
20,LAC,Austin Ekeler,EkelAu00,2018-09-30,2018,4,REG,0,8,25,0,3,2,31,1,23,21
21,LAC,Austin Ekeler,EkelAu00,2018-10-07,2018,5,REG,0,6,15,0,3,1,44,1,23,16
22,LAC,Austin Ekeler,EkelAu00,2018-10-14,2018,6,REG,0,7,60,0,0,0,0,0,21,21
23,LAC,Austin Ekeler,EkelAu00,2018-10-21,2018,7,REG,1,12,42,0,7,5,26,0,42,1
0,LAC,Austin Ekeler,EkelAu00,,2018,8,BYE,0,0,0,0,0,0,0,0,0,0
24,LAC,Austin Ekeler,EkelAu00,2018-11-04,2018,9,REG,0,3,21,0,2,1,13,0,9,20
25,LAC,Austin Ekeler,EkelAu00,2018-11-11,2018,10,REG,0,3,19,0,0,0,0,0,20,16
26,LAC,Austin Ekeler,EkelAu00,2018-11-18,2018,11,REG,0,6,29,0,2,2,40,0,18,18
27,LAC,Austin Ekeler,EkelAu00,2018-11-25,2018,12,REG,0,5,35,1,11,10,68,0,26,2
28,LAC,Austin Ekeler,EkelAu00,2018-12-02,2018,13,REG,1,13,21,0,8,5,22,0,49,0
29,LAC,Austin Ekeler,EkelAu00,2018-12-09,2018,14,REG,1,15,66,1,5,2,28,0,39,1
0,LAC,Austin Ekeler,EkelAu00,2018-12-13,2018,15,DNP,0,0,0,0,0,0,0,0,0,0
0,LAC,Austin Ekeler,EkelAu00,2018-12-22,2018,16,DNP,0,0,0,0,0,0,0,0,0,0
30,LAC,Austin Ekeler,EkelAu00,2018-12-30,2018,17,REG,0,8,58,1,1,0,0,0,15,10
31,LAC,Austin Ekeler,EkelAu00,2019-01-06,2018,18,POST,0,11,29,0,4,4,14,0,39,4
32,LAC,Austin Ekeler,EkelAu00,2019-01-13,2018,19,POST,0,0,0,0,5,3,19,0,25,19
33,LAC,Austin Ekeler,EkelAu00,2019-09-08,2019,1,REG,1,12,58,1,7,6,96,2,47,0
34,LAC,Austin Ekeler,EkelAu00,2019-09-15,2019,2,REG,1,17,66,1,6,6,67,0,48,0
35,LAC,Austin Ekeler,EkelAu00,2019-09-22,2019,3,REG,1,9,36,0,7,7,45,0,48,0
36,LAC,Austin Ekeler,EkelAu00,2019-09-29,2019,4,REG,1,18,60,1,5,5,62,1,48,0
37,LAC,Austin Ekeler,EkelAu00,2019-10-06,2019,5,REG,1,3,7,0,16,15,86,0,46,0
38,LAC,Austin Ekeler,EkelAu00,2019-10-13,2019,6,REG,0,5,14,0,4,3,14,0,28,0
39,LAC,Austin Ekeler,EkelAu00,2019-10-20,2019,7,REG,0,5,7,0,8,7,118,1,37,1
40,LAC,Austin Ekeler,EkelAu00,2019-10-27,2019,8,REG,0,3,3,0,3,2,19,1,24,0
41,LAC,Austin Ekeler,EkelAu00,2019-11-03,2019,9,REG,0,12,70,0,4,4,23,0,24,2
42,LAC,Austin Ekeler,EkelAu00,2019-11-07,2019,10,REG,1,6,19,0,2,2,29,1,34,0
43,LAC,Austin Ekeler,EkelAu00,2019-11-18,2019,11,REG,0,5,24,0,12,8,108,0,46,0
0,LAC,Austin Ekeler,EkelAu00,,2019,12,BYE,0,0,0,0,0,0,0,0,0,0
44,LAC,Austin Ekeler,EkelAu00,2019-12-01,2019,13,REG,0,9,16,0,5,4,51,1,32,0
45,LAC,Austin Ekeler,EkelAu00,2019-12-08,2019,14,REG,1,8,101,0,5,4,112,1,29,0
46,LAC,Austin Ekeler,EkelAu00,2019-12-15,2019,15,REG,0,7,19,0,7,5,62,0,30,0
