CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,DET,Avon Cobourne,CoboAv00,2003-09-07,2003,1,REG,0,3,4,0,2,1,7,0,0,0
2,DET,Avon Cobourne,CoboAv00,2003-09-14,2003,2,REG,0,0,0,0,3,1,2,0,0,0
3,DET,Avon Cobourne,CoboAv00,2003-09-21,2003,3,REG,0,0,0,0,2,2,21,0,0,0
4,DET,Avon Cobourne,CoboAv00,2003-09-28,2003,4,REG,0,1,19,0,0,0,0,0,0,0
5,DET,Avon Cobourne,CoboAv00,2003-10-05,2003,5,REG,0,0,0,0,0,0,0,0,0,0
0,DET,Avon Cobourne,CoboAv00,,2003,6,BYE,0,0,0,0,0,0,0,0,0,0
0,DET,Avon Cobourne,CoboAv00,2003-10-19,2003,7,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Avon Cobourne,CoboAv00,2003-10-26,2003,8,DNP,0,0,0,0,0,0,0,0,0,0
6,DET,Avon Cobourne,CoboAv00,2003-11-02,2003,9,REG,0,0,0,0,0,0,0,0,0,0
7,DET,Avon Cobourne,CoboAv00,2003-11-09,2003,10,REG,0,6,4,0,2,0,0,0,0,0
0,DET,Avon Cobourne,CoboAv00,2003-11-16,2003,11,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Avon Cobourne,CoboAv00,2003-11-23,2003,12,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Avon Cobourne,CoboAv00,2003-11-27,2003,13,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Avon Cobourne,CoboAv00,2003-12-07,2003,14,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Avon Cobourne,CoboAv00,2003-12-14,2003,15,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Avon Cobourne,CoboAv00,2003-12-21,2003,16,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Avon Cobourne,CoboAv00,2003-12-28,2003,17,DNP,0,0,0,0,0,0,0,0,0,0
