CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,HOU,Ben Tate,TateBe00,2011-09-11,2011,1,REG,0,24,116,1,0,0,0,0,0,0
2,HOU,Ben Tate,TateBe00,2011-09-18,2011,2,REG,0,23,103,0,4,4,32,0,0,0
3,HOU,Ben Tate,TateBe00,2011-09-25,2011,3,REG,1,19,82,0,4,1,8,0,0,0
4,HOU,Ben Tate,TateBe00,2011-10-02,2011,4,REG,0,2,20,0,0,0,0,0,0,0
0,HOU,Ben Tate,TateBe00,2011-10-09,2011,5,DNP,0,0,0,0,0,0,0,0,0,0
5,HOU,Ben Tate,TateBe00,2011-10-16,2011,6,REG,0,9,41,0,1,0,0,0,0,0
6,HOU,Ben Tate,TateBe00,2011-10-23,2011,7,REG,0,15,104,0,0,0,0,0,0,0
7,HOU,Ben Tate,TateBe00,2011-10-30,2011,8,REG,0,5,42,0,0,0,0,0,0,0
8,HOU,Ben Tate,TateBe00,2011-11-06,2011,9,REG,0,12,115,1,1,0,0,0,0,0
9,HOU,Ben Tate,TateBe00,2011-11-13,2011,10,REG,0,13,63,1,0,0,0,0,0,0
0,HOU,Ben Tate,TateBe00,,2011,11,BYE,0,0,0,0,0,0,0,0,0,0
10,HOU,Ben Tate,TateBe00,2011-11-27,2011,12,REG,0,5,26,0,0,0,0,0,0,0
11,HOU,Ben Tate,TateBe00,2011-12-04,2011,13,REG,0,11,41,0,0,0,0,0,0,0
12,HOU,Ben Tate,TateBe00,2011-12-11,2011,14,REG,0,8,67,0,3,3,30,0,0,0
13,HOU,Ben Tate,TateBe00,2011-12-18,2011,15,REG,0,7,26,0,1,1,4,0,0,0
14,HOU,Ben Tate,TateBe00,2011-12-22,2011,16,REG,0,6,-1,0,0,0,0,0,0,0
15,HOU,Ben Tate,TateBe00,2012-01-01,2011,17,REG,1,16,97,1,5,4,24,0,0,0
16,HOU,Ben Tate,TateBe00,2012-01-07,2011,18,POST,0,9,37,0,0,0,0,0,0,0
17,HOU,Ben Tate,TateBe00,2012-01-15,2011,19,POST,0,0,0,0,1,0,0,0,0,0
18,HOU,Ben Tate,TateBe00,2012-09-09,2012,1,REG,0,5,6,0,3,3,22,0,21,0
19,HOU,Ben Tate,TateBe00,2012-09-16,2012,2,REG,0,12,74,2,4,4,23,0,22,0
20,HOU,Ben Tate,TateBe00,2012-09-23,2012,3,REG,0,8,26,0,0,0,0,0,15,0
21,HOU,Ben Tate,TateBe00,2012-09-30,2012,4,REG,0,5,11,0,2,2,3,0,12,0
0,HOU,Ben Tate,TateBe00,2012-10-08,2012,5,DNP,0,0,0,0,0,0,0,0,0,0
22,HOU,Ben Tate,TateBe00,2012-10-14,2012,6,REG,0,3,14,0,0,0,0,0,6,0
23,HOU,Ben Tate,TateBe00,2012-10-21,2012,7,REG,0,10,47,0,0,0,0,0,16,0
0,HOU,Ben Tate,TateBe00,,2012,8,BYE,0,0,0,0,0,0,0,0,0,0
0,HOU,Ben Tate,TateBe00,2012-11-04,2012,9,DNP,0,0,0,0,0,0,0,0,0,0
0,HOU,Ben Tate,TateBe00,2012-11-11,2012,10,DNP,0,0,0,0,0,0,0,0,0,0
0,HOU,Ben Tate,TateBe00,2012-11-18,2012,11,DNP,0,0,0,0,0,0,0,0,0,0
0,HOU,Ben Tate,TateBe00,2012-11-22,2012,12,DNP,0,0,0,0,0,0,0,0,0,0
24,HOU,Ben Tate,TateBe00,2012-12-02,2012,13,REG,0,3,18,0,0,0,0,0,5,0
25,HOU,Ben Tate,TateBe00,2012-12-10,2012,14,REG,0,8,46,0,1,1,-1,0,19,0
26,HOU,Ben Tate,TateBe00,2012-12-16,2012,15,REG,0,5,13,0,0,0,0,0,8,0
27,HOU,Ben Tate,TateBe00,2012-12-23,2012,16,REG,0,4,17,0,1,1,2,0,17,0
28,HOU,Ben Tate,TateBe00,2012-12-30,2012,17,REG,0,2,7,0,0,0,0,0,2,0
29,HOU,Ben Tate,TateBe00,2013-01-05,2012,18,POST,0,2,1,0,0,0,0,0,7,0
30,HOU,Ben Tate,TateBe00,2013-09-09,2013,1,REG,0,9,55,0,2,2,7,0,20,0
31,HOU,Ben Tate,TateBe00,2013-09-15,2013,2,REG,0,9,93,0,4,3,8,0,21,0
32,HOU,Ben Tate,TateBe00,2013-09-22,2013,3,REG,0,9,36,0,4,3,7,0,25,0
33,HOU,Ben Tate,TateBe00,2013-09-29,2013,4,REG,0,7,44,0,1,1,1,0,11,0
34,HOU,Ben Tate,TateBe00,2013-10-06,2013,5,REG,1,7,28,0,2,2,12,0,17,0
35,HOU,Ben Tate,TateBe00,2013-10-13,2013,6,REG,0,10,12,1,4,3,16,0,20,0
36,HOU,Ben Tate,TateBe00,2013-10-20,2013,7,REG,0,15,50,0,3,2,5,0,42,0
0,HOU,Ben Tate,TateBe00,,2013,8,BYE,0,0,0,0,0,0,0,0,0,0
37,HOU,Ben Tate,TateBe00,2013-11-03,2013,9,REG,0,22,81,0,2,1,-2,0,48,0
38,HOU,Ben Tate,TateBe00,2013-11-10,2013,10,REG,1,15,56,0,5,3,8,0,53,0
39,HOU,Ben Tate,TateBe00,2013-11-17,2013,11,REG,1,19,88,0,6,4,29,0,68,0
40,HOU,Ben Tate,TateBe00,2013-11-24,2013,12,REG,1,7,1,0,6,5,26,0,24,0
41,HOU,Ben Tate,TateBe00,2013-12-01,2013,13,REG,1,22,102,3,0,0,0,0,49,0
42,HOU,Ben Tate,TateBe00,2013-12-05,2013,14,REG,1,14,53,0,4,2,3,0,43,0
43,HOU,Ben Tate,TateBe00,2013-12-15,2013,15,REG,1,16,72,0,6,3,20,0,40,0
0,HOU,Ben Tate,TateBe00,2013-12-22,2013,16,DNP,0,0,0,0,0,0,0,0,0,0
0,HOU,Ben Tate,TateBe00,2013-12-29,2013,17,DNP,0,0,0,0,0,0,0,0,0,0
44,CLE,Ben Tate,TateBe00,2014-09-07,2014,1,REG,1,6,41,0,0,0,0,0,16,0
0,CLE,Ben Tate,TateBe00,2014-09-14,2014,2,DNP,0,0,0,0,0,0,0,0,0,0
0,CLE,Ben Tate,TateBe00,2014-09-21,2014,3,DNP,0,0,0,0,0,0,0,0,0,0
0,CLE,Ben Tate,TateBe00,,2014,4,BYE,0,0,0,0,0,0,0,0,0,0
45,CLE,Ben Tate,TateBe00,2014-10-05,2014,5,REG,1,22,124,0,2,1,-2,0,51,0
