CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,ATL,Brian Hill,HillBr02,2017-09-10,2017,1,DNP,0,0,0,0,0,0,0,0,0,0
0,ATL,Brian Hill,HillBr02,2017-09-17,2017,2,DNP,0,0,0,0,0,0,0,0,0,0
0,ATL,Brian Hill,HillBr02,2017-09-24,2017,3,DNP,0,0,0,0,0,0,0,0,0,0
1,ATL,Brian Hill,HillBr02,2017-10-01,2017,4,REG,0,0,0,0,0,0,0,0,0,13
0,ATL,Brian Hill,HillBr02,1970-01-01,2017,5,BYE,0,0,0,0,0,0,0,0,0,0
0,ATL,Brian Hill,HillBr02,2017-10-15,2017,6,DNP,0,0,0,0,0,0,0,0,0,0
0,ATL,Brian Hill,HillBr02,2017-10-22,2017,7,DNP,0,0,0,0,0,0,0,0,0,0
0,ATL,Brian Hill,HillBr02,2017-10-29,2017,8,DNP,0,0,0,0,0,0,0,0,0,0
0,ATL,Brian Hill,HillBr02,2017-11-05,2017,9,DNP,0,0,0,0,0,0,0,0,0,0
0,ATL,Brian Hill,HillBr02,2017-11-12,2017,10,DNP,0,0,0,0,0,0,0,0,0,0
2,CIN,Brian Hill,HillBr02,2017-11-19,2017,11,REG,0,0,0,0,0,0,0,0,0,9
0,CIN,Brian Hill,HillBr02,2017-11-26,2017,12,DNP,0,0,0,0,0,0,0,0,0,0
3,CIN,Brian Hill,HillBr02,2017-12-04,2017,13,REG,0,0,0,0,0,0,0,0,0,18
4,CIN,Brian Hill,HillBr02,2017-12-10,2017,14,REG,0,2,8,0,1,1,2,0,7,17
5,CIN,Brian Hill,HillBr02,2017-12-17,2017,15,REG,0,5,12,0,0,0,0,0,5,20
6,CIN,Brian Hill,HillBr02,2017-12-24,2017,16,REG,0,4,17,0,1,1,34,0,7,19
7,CIN,Brian Hill,HillBr02,2017-12-31,2017,17,REG,0,0,0,0,0,0,0,0,0,28
0,ATL,Brian Hill,HillBr02,2018-09-06,2018,1,DNP,0,0,0,0,0,0,0,0,0,0
8,ATL,Brian Hill,HillBr02,2018-09-16,2018,2,REG,0,0,0,0,0,0,0,0,0,6
9,ATL,Brian Hill,HillBr02,2018-09-23,2018,3,REG,0,0,0,0,0,0,0,0,0,10
10,ATL,Brian Hill,HillBr02,2018-09-30,2018,4,REG,0,0,0,0,0,0,0,0,0,9
0,ATL,Brian Hill,HillBr02,2018-10-07,2018,5,DNP,0,0,0,0,0,0,0,0,0,0
0,ATL,Brian Hill,HillBr02,2018-10-14,2018,6,DNP,0,0,0,0,0,0,0,0,0,0
0,ATL,Brian Hill,HillBr02,2018-10-22,2018,7,DNP,0,0,0,0,0,0,0,0,0,0
0,ATL,Brian Hill,HillBr02,1970-01-01,2018,8,BYE,0,0,0,0,0,0,0,0,0,0
0,ATL,Brian Hill,HillBr02,2018-11-04,2018,9,DNP,0,0,0,0,0,0,0,0,0,0
11,ATL,Brian Hill,HillBr02,2018-11-11,2018,10,REG,0,0,0,0,0,0,0,0,0,12
12,ATL,Brian Hill,HillBr02,2018-11-18,2018,11,REG,0,0,0,0,0,0,0,0,0,14
13,ATL,Brian Hill,HillBr02,2018-11-22,2018,12,REG,0,0,0,0,0,0,0,0,6,10
0,ATL,Brian Hill,HillBr02,2018-12-02,2018,13,DNP,0,0,0,0,0,0,0,0,0,0
14,ATL,Brian Hill,HillBr02,2018-12-09,2018,14,REG,0,1,5,0,0,0,0,0,9,9
15,ATL,Brian Hill,HillBr02,2018-12-16,2018,15,REG,0,3,7,0,0,0,0,0,5,17
16,ATL,Brian Hill,HillBr02,2018-12-23,2018,16,REG,0,8,115,0,1,0,0,0,14,0
17,ATL,Brian Hill,HillBr02,2018-12-30,2018,17,REG,0,8,30,0,1,1,9,0,32,0
