CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,TAM,Bucky Irving,IrviBu00,2024-09-08,2024,1,REG,0,9,62,0,3,2,14,0,20,4
2,TAM,Bucky Irving,IrviBu00,2024-09-15,2024,2,REG,0,7,22,0,0,0,0,0,17,5
3,TAM,Bucky Irving,IrviBu00,2024-09-22,2024,3,REG,0,9,70,0,3,3,14,0,18,4
4,TAM,Bucky Irving,IrviBu00,2024-09-29,2024,4,REG,0,10,49,1,2,1,6,0,32,0
5,TAM,Bucky Irving,IrviBu00,2024-10-03,2024,5,REG,0,9,44,0,2,2,12,0,23,3
6,TAM,Bucky Irving,IrviBu00,2024-10-13,2024,6,REG,1,14,81,1,2,2,24,0,49,2
7,TAM,Bucky Irving,IrviBu00,2024-10-21,2024,7,REG,0,9,23,1,3,3,54,0,29,8
8,TAM,Bucky Irving,IrviBu00,2024-10-27,2024,8,REG,0,9,44,0,7,7,40,0,31,0
9,TAM,Bucky Irving,IrviBu00,2024-11-04,2024,9,REG,0,7,24,0,3,3,10,0,19,5
10,TAM,Bucky Irving,IrviBu00,2024-11-10,2024,10,REG,0,13,73,1,3,3,14,0,28,5
0,TAM,Bucky Irving,IrviBu00,,2024,11,BYE,0,0,0,0,0,0,0,0,0,0
11,TAM,Bucky Irving,IrviBu00,2024-11-24,2024,12,REG,0,12,88,1,6,6,64,0,34,2
12,TAM,Bucky Irving,IrviBu00,2024-12-01,2024,13,REG,0,25,152,1,3,3,33,0,43,3
13,TAM,Bucky Irving,IrviBu00,2024-12-08,2024,14,REG,0,4,3,0,1,1,15,0,10,0
14,TAM,Bucky Irving,IrviBu00,2024-12-15,2024,15,REG,0,15,117,0,2,2,-4,0,32,0
15,TAM,Bucky Irving,IrviBu00,2024-12-22,2024,16,REG,0,16,68,1,3,3,24,0,41,0
16,TAM,Bucky Irving,IrviBu00,2024-12-29,2024,17,REG,1,20,113,0,4,4,77,0,42,0
17,TAM,Bucky Irving,IrviBu00,2025-01-05,2024,18,REG,1,19,89,1,5,2,-5,0,48,0
18,TAM,Bucky Irving,IrviBu00,2025-01-12,2024,19,POST,1,17,77,0,2,2,6,1,33,0
19,TAM,Bucky Irving,IrviBu00,2025-09-07,2025,1,REG,1,14,37,0,4,4,8,1,44,0
