CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,MIN,CJ Ham,HamxC.00,2017-09-11,2017,1,REG,0,0,0,0,0,0,0,0,9,18
2,MIN,CJ Ham,HamxC.00,2017-09-17,2017,2,REG,0,1,1,1,0,0,0,0,5,20
3,MIN,CJ Ham,HamxC.00,2017-09-24,2017,3,REG,0,0,0,0,1,1,12,0,22,19
4,MIN,CJ Ham,HamxC.00,2017-10-01,2017,4,REG,0,0,0,0,0,0,0,0,7,14
5,MIN,CJ Ham,HamxC.00,2017-10-09,2017,5,REG,0,1,0,0,2,1,11,0,6,22
6,MIN,CJ Ham,HamxC.00,2017-10-15,2017,6,REG,0,0,0,0,0,0,0,0,6,18
7,MIN,CJ Ham,HamxC.00,2017-10-22,2017,7,REG,0,0,0,0,1,1,12,0,12,19
8,MIN,CJ Ham,HamxC.00,2017-10-29,2017,8,REG,0,0,0,0,0,0,0,0,17,22
0,MIN,CJ Ham,HamxC.00,,2017,9,BYE,0,0,0,0,0,0,0,0,0,0
9,MIN,CJ Ham,HamxC.00,2017-11-12,2017,10,REG,0,1,3,0,0,0,0,0,12,17
10,MIN,CJ Ham,HamxC.00,2017-11-19,2017,11,REG,0,3,8,0,0,0,0,0,19,13
11,MIN,CJ Ham,HamxC.00,2017-11-23,2017,12,REG,0,0,0,0,0,0,0,0,15,20
12,MIN,CJ Ham,HamxC.00,2017-12-03,2017,13,REG,0,1,1,0,1,1,12,0,25,17
13,MIN,CJ Ham,HamxC.00,2017-12-10,2017,14,REG,0,0,0,0,1,1,9,0,8,21
14,MIN,CJ Ham,HamxC.00,2017-12-17,2017,15,REG,1,0,0,0,1,1,6,0,20,21
15,MIN,CJ Ham,HamxC.00,2017-12-23,2017,16,REG,0,0,0,0,0,0,0,0,14,19
16,MIN,CJ Ham,HamxC.00,2017-12-31,2017,17,REG,0,0,0,0,1,1,6,0,7,10
17,MIN,CJ Ham,HamxC.00,2018-01-14,2017,19,POST,0,1,7,0,0,0,0,0,13,14
18,MIN,CJ Ham,HamxC.00,2018-01-21,2017,20,POST,0,0,0,0,0,0,0,0,2,14
19,MIN,CJ Ham,HamxC.00,2018-09-09,2018,1,REG,0,0,0,0,2,0,0,0,13,20
20,MIN,CJ Ham,HamxC.00,2018-09-16,2018,2,REG,0,1,5,0,0,0,0,0,7,22
21,MIN,CJ Ham,HamxC.00,2018-09-23,2018,3,REG,0,0,0,0,6,5,47,0,17,18
22,MIN,CJ Ham,HamxC.00,2018-09-27,2018,4,REG,0,0,0,0,2,2,7,0,20,20
23,MIN,CJ Ham,HamxC.00,2018-10-07,2018,5,REG,0,0,0,0,1,1,7,0,8,16
24,MIN,CJ Ham,HamxC.00,2018-10-14,2018,6,REG,0,1,1,0,1,0,0,0,14,20
25,MIN,CJ Ham,HamxC.00,2018-10-21,2018,7,REG,0,0,0,0,0,0,0,0,2,28
26,MIN,CJ Ham,HamxC.00,2018-10-28,2018,8,REG,1,2,1,0,0,0,0,0,10,15
27,MIN,CJ Ham,HamxC.00,2018-11-04,2018,9,REG,0,0,0,0,0,0,0,0,2,19
0,MIN,CJ Ham,HamxC.00,,2018,10,BYE,0,0,0,0,0,0,0,0,0,0
28,MIN,CJ Ham,HamxC.00,2018-11-18,2018,11,REG,0,0,0,0,0,0,0,0,3,16
29,MIN,CJ Ham,HamxC.00,2018-11-25,2018,12,REG,0,1,0,0,1,1,13,0,8,17
30,MIN,CJ Ham,HamxC.00,2018-12-02,2018,13,REG,0,0,0,0,2,2,11,0,5,15
31,MIN,CJ Ham,HamxC.00,2018-12-10,2018,14,REG,0,0,0,0,0,0,0,0,9,15
32,MIN,CJ Ham,HamxC.00,2018-12-16,2018,15,REG,0,0,0,0,0,0,0,0,18,21
33,MIN,CJ Ham,HamxC.00,2018-12-23,2018,16,REG,1,1,1,0,0,0,0,0,3,10
0,MIN,CJ Ham,HamxC.00,2018-12-30,2018,17,DNP,0,0,0,0,0,0,0,0,0,0
34,MIN,CJ Ham,HamxC.00,2019-09-08,2019,1,REG,1,0,0,0,0,0,0,0,22,18
35,MIN,CJ Ham,HamxC.00,2019-09-15,2019,2,REG,0,0,0,0,2,0,0,0,25,21
36,MIN,CJ Ham,HamxC.00,2019-09-22,2019,3,REG,1,0,0,0,2,1,0,0,25,14
37,MIN,CJ Ham,HamxC.00,2019-09-29,2019,4,REG,1,0,0,0,4,3,10,0,9,15
38,MIN,CJ Ham,HamxC.00,2019-10-06,2019,5,REG,0,0,0,0,1,1,-1,0,19,13
39,MIN,CJ Ham,HamxC.00,2019-10-13,2019,6,REG,0,0,0,0,0,0,0,0,34,18
40,MIN,CJ Ham,HamxC.00,2019-10-20,2019,7,REG,0,1,9,0,1,1,5,1,39,18
41,MIN,CJ Ham,HamxC.00,2019-10-24,2019,8,REG,0,0,0,0,0,0,0,0,22,12
42,MIN,CJ Ham,HamxC.00,2019-11-03,2019,9,REG,1,0,0,0,4,2,37,0,22,15
43,MIN,CJ Ham,HamxC.00,2019-11-10,2019,10,REG,0,1,-1,0,0,0,0,0,26,0
44,MIN,CJ Ham,HamxC.00,2019-11-17,2019,11,REG,1,1,0,0,1,1,6,0,9,14
0,MIN,CJ Ham,HamxC.00,,2019,12,BYE,0,0,0,0,0,0,0,0,0,0
45,MIN,CJ Ham,HamxC.00,2019-12-02,2019,13,REG,1,0,0,0,2,2,42,0,11,19
46,MIN,CJ Ham,HamxC.00,2019-12-08,2019,14,REG,0,1,0,0,1,1,25,0,30,18
47,MIN,CJ Ham,HamxC.00,2019-12-15,2019,15,REG,0,1,5,0,3,3,13,0,30,15
48,MIN,CJ Ham,HamxC.00,2019-12-23,2019,16,REG,1,0,0,0,4,2,12,0,17,8
49,MIN,CJ Ham,HamxC.00,2019-12-29,2019,17,REG,0,2,4,0,1,0,0,0,14,13
50,MIN,CJ Ham,HamxC.00,2020-01-05,2019,18,POST,0,1,3,0,0,0,0,0,22,22
51,MIN,CJ Ham,HamxC.00,2020-01-11,2019,19,POST,1,0,0,0,0,0,0,0,4,19
52,MIN,CJ Ham,HamxC.00,2020-09-13,2020,1,REG,1,0,0,0,0,0,0,0,12,16
53,MIN,CJ Ham,HamxC.00,2020-09-20,2020,2,REG,0,1,4,0,0,0,0,0,12,17
54,MIN,CJ Ham,HamxC.00,2020-09-27,2020,3,REG,1,0,0,0,2,1,11,0,27,20
55,MIN,CJ Ham,HamxC.00,2020-10-04,2020,4,REG,1,1,2,0,0,0,0,0,32,20
56,MIN,CJ Ham,HamxC.00,2020-10-11,2020,5,REG,0,0,0,0,2,0,0,0,29,14
57,MIN,CJ Ham,HamxC.00,2020-10-18,2020,6,REG,0,0,0,0,0,0,0,0,8,20
0,MIN,CJ Ham,HamxC.00,,2020,7,BYE,0,0,0,0,0,0,0,0,0,0
58,MIN,CJ Ham,HamxC.00,2020-11-01,2020,8,REG,1,1,2,0,0,0,0,0,22,13
59,MIN,CJ Ham,HamxC.00,2020-11-08,2020,9,REG,1,0,0,0,0,0,0,0,34,19
60,MIN,CJ Ham,HamxC.00,2020-11-16,2020,10,REG,1,0,0,0,1,1,8,0,35,14
61,MIN,CJ Ham,HamxC.00,2020-11-22,2020,11,REG,0,0,0,0,1,0,0,0,35,10
62,MIN,CJ Ham,HamxC.00,2020-11-29,2020,12,REG,1,1,10,0,0,0,0,0,22,15
63,MIN,CJ Ham,HamxC.00,2020-12-06,2020,13,REG,1,0,0,0,1,1,12,1,44,19
64,MIN,CJ Ham,HamxC.00,2020-12-13,2020,14,REG,1,1,0,0,3,3,22,0,40,3
65,MIN,CJ Ham,HamxC.00,2020-12-20,2020,15,REG,1,0,0,0,0,0,0,0,20,3
0,MIN,CJ Ham,HamxC.00,2020-12-25,2020,16,DNP,0,0,0,0,0,0,0,0,0,0
66,MIN,CJ Ham,HamxC.00,2021-01-03,2020,17,REG,1,0,0,0,3,2,44,0,32,17
67,MIN,CJ Ham,HamxC.00,2021-09-12,2021,1,REG,1,0,0,0,2,2,9,0,25,13
68,MIN,CJ Ham,HamxC.00,2021-09-19,2021,2,REG,0,0,0,0,0,0,0,0,15,19
69,MIN,CJ Ham,HamxC.00,2021-09-26,2021,3,REG,1,2,2,0,0,0,0,0,22,11
70,MIN,CJ Ham,HamxC.00,2021-10-03,2021,4,REG,1,1,1,0,0,0,0,0,21,13
71,MIN,CJ Ham,HamxC.00,2021-10-10,2021,5,REG,0,1,1,0,1,1,14,0,32,13
72,MIN,CJ Ham,HamxC.00,2021-10-17,2021,6,REG,1,1,30,0,0,0,0,0,21,16
0,MIN,CJ Ham,HamxC.00,,2021,7,BYE,0,0,0,0,0,0,0,0,0,0
73,MIN,CJ Ham,HamxC.00,2021-10-31,2021,8,REG,0,1,0,0,3,3,3,0,26,16
74,MIN,CJ Ham,HamxC.00,2021-11-07,2021,9,REG,1,0,0,0,1,1,27,0,21,14
75,MIN,CJ Ham,HamxC.00,2021-11-14,2021,10,REG,0,0,0,0,3,3,13,0,27,17
76,MIN,CJ Ham,HamxC.00,2021-11-21,2021,11,REG,0,1,0,0,0,0,0,0,23,17
77,MIN,CJ Ham,HamxC.00,2021-11-28,2021,12,REG,0,0,0,0,1,1,16,0,20,18
78,MIN,CJ Ham,HamxC.00,2021-12-05,2021,13,REG,0,0,0,0,1,1,19,0,25,19
79,MIN,CJ Ham,HamxC.00,2021-12-09,2021,14,REG,0,0,0,0,0,0,0,0,31,22
80,MIN,CJ Ham,HamxC.00,2021-12-20,2021,15,REG,1,0,0,0,1,1,3,0,25,0
81,MIN,CJ Ham,HamxC.00,2021-12-26,2021,16,REG,1,0,0,0,2,2,13,0,20,16
82,MIN,CJ Ham,HamxC.00,2022-01-02,2021,17,REG,1,0,0,0,2,1,1,0,9,14
83,MIN,CJ Ham,HamxC.00,2022-01-09,2021,18,REG,0,0,0,0,1,1,7,0,13,16
84,MIN,CJ Ham,HamxC.00,2022-09-11,2022,1,REG,0,0,0,0,1,1,6,0,14,17
85,MIN,CJ Ham,HamxC.00,2022-09-19,2022,2,REG,0,0,0,0,0,0,0,0,3,15
86,MIN,CJ Ham,HamxC.00,2022-09-25,2022,3,REG,1,0,0,0,3,2,15,0,13,16
87,MIN,CJ Ham,HamxC.00,2022-10-02,2022,4,REG,0,0,0,0,1,0,0,0,9,20
88,MIN,CJ Ham,HamxC.00,2022-10-09,2022,5,REG,0,0,0,0,0,0,0,0,7,14
89,MIN,CJ Ham,HamxC.00,2022-10-16,2022,6,REG,0,1,3,0,0,0,0,0,18,25
0,MIN,CJ Ham,HamxC.00,,2022,7,BYE,0,0,0,0,0,0,0,0,0,0
90,MIN,CJ Ham,HamxC.00,2022-10-30,2022,8,REG,0,0,0,0,0,0,0,0,13,20
91,MIN,CJ Ham,HamxC.00,2022-11-06,2022,9,REG,0,0,0,0,0,0,0,0,6,20
92,MIN,CJ Ham,HamxC.00,2022-11-13,2022,10,REG,0,1,3,1,0,0,0,0,7,21
