CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,CAR,Cameron ArtisPayne,ArtiCa00,2015-09-13,2015,1,REG,0,0,0,0,0,0,0,0,4,3
0,CAR,Cameron ArtisPayne,ArtiCa00,2015-09-20,2015,2,DNP,0,0,0,0,0,0,0,0,0,0
2,CAR,Cameron ArtisPayne,ArtiCa00,2015-09-27,2015,3,REG,0,3,6,0,0,0,0,0,3,0
3,CAR,Cameron ArtisPayne,ArtiCa00,2015-10-04,2015,4,REG,0,8,25,0,0,0,0,0,15,0
0,CAR,Cameron ArtisPayne,ArtiCa00,,2015,5,BYE,0,0,0,0,0,0,0,0,0,0
0,CAR,Cameron ArtisPayne,ArtiCa00,2015-10-18,2015,6,DNP,0,0,0,0,0,0,0,0,0,0
4,CAR,Cameron ArtisPayne,ArtiCa00,2015-10-25,2015,7,REG,0,1,0,0,0,0,0,0,1,0
0,CAR,Cameron ArtisPayne,ArtiCa00,2015-11-02,2015,8,DNP,0,0,0,0,0,0,0,0,0,0
0,CAR,Cameron ArtisPayne,ArtiCa00,2015-11-08,2015,9,DNP,0,0,0,0,0,0,0,0,0,0
0,CAR,Cameron ArtisPayne,ArtiCa00,2015-11-15,2015,10,DNP,0,0,0,0,0,0,0,0,0,0
0,CAR,Cameron ArtisPayne,ArtiCa00,2015-11-22,2015,11,DNP,0,0,0,0,0,0,0,0,0,0
0,CAR,Cameron ArtisPayne,ArtiCa00,2015-11-26,2015,12,DNP,0,0,0,0,0,0,0,0,0,0
0,CAR,Cameron ArtisPayne,ArtiCa00,2015-12-06,2015,13,DNP,0,0,0,0,0,0,0,0,0,0
0,CAR,Cameron ArtisPayne,ArtiCa00,2015-12-13,2015,14,DNP,0,0,0,0,0,0,0,0,0,0
5,CAR,Cameron ArtisPayne,ArtiCa00,2015-12-20,2015,15,REG,0,14,59,0,2,2,34,0,31,0
6,CAR,Cameron ArtisPayne,ArtiCa00,2015-12-27,2015,16,REG,0,5,49,0,1,1,7,0,20,0
7,CAR,Cameron ArtisPayne,ArtiCa00,2016-01-03,2015,17,REG,0,14,44,1,2,2,17,0,39,0
8,CAR,Cameron ArtisPayne,ArtiCa00,2016-01-17,2015,19,POST,0,3,7,0,1,1,1,0,9,4
0,CAR,Cameron ArtisPayne,ArtiCa00,2016-09-08,2016,1,DNP,0,0,0,0,0,0,0,0,0,0
0,CAR,Cameron ArtisPayne,ArtiCa00,2016-09-18,2016,2,DNP,0,0,0,0,0,0,0,0,0,0
9,CAR,Cameron ArtisPayne,ArtiCa00,2016-09-25,2016,3,REG,1,12,47,0,1,1,11,0,31,0
10,CAR,Cameron ArtisPayne,ArtiCa00,2016-10-02,2016,4,REG,1,6,12,0,0,0,0,0,19,6
11,CAR,Cameron ArtisPayne,ArtiCa00,2016-10-10,2016,5,REG,1,18,85,2,0,0,0,0,34,5
0,CAR,Cameron ArtisPayne,ArtiCa00,2016-10-16,2016,6,DNP,0,0,0,0,0,0,0,0,0,0
0,CAR,Cameron ArtisPayne,ArtiCa00,,2016,7,BYE,0,0,0,0,0,0,0,0,0,0
0,CAR,Cameron ArtisPayne,ArtiCa00,2016-10-30,2016,8,DNP,0,0,0,0,0,0,0,0,0,0
0,CAR,Cameron ArtisPayne,ArtiCa00,2016-11-06,2016,9,DNP,0,0,0,0,0,0,0,0,0,0
0,CAR,Cameron ArtisPayne,ArtiCa00,2016-11-13,2016,10,DNP,0,0,0,0,0,0,0,0,0,0
0,CAR,Cameron ArtisPayne,ArtiCa00,2016-11-17,2016,11,DNP,0,0,0,0,0,0,0,0,0,0
0,CAR,Cameron ArtisPayne,ArtiCa00,2016-11-27,2016,12,DNP,0,0,0,0,0,0,0,0,0,0
0,CAR,Cameron ArtisPayne,ArtiCa00,2016-12-04,2016,13,DNP,0,0,0,0,0,0,0,0,0,0
0,CAR,Cameron ArtisPayne,ArtiCa00,2016-12-11,2016,14,DNP,0,0,0,0,0,0,0,0,0,0
0,CAR,Cameron ArtisPayne,ArtiCa00,2016-12-19,2016,15,DNP,0,0,0,0,0,0,0,0,0,0
