CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,DEN,Cecil Sapp,SappCe00,2003-09-07,2003,1,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Cecil Sapp,SappCe00,2003-09-14,2003,2,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Cecil Sapp,SappCe00,2003-09-22,2003,3,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Cecil Sapp,SappCe00,2003-09-28,2003,4,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Cecil Sapp,SappCe00,2003-10-05,2003,5,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Cecil Sapp,SappCe00,2003-10-12,2003,6,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Cecil Sapp,SappCe00,2003-10-19,2003,7,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Cecil Sapp,SappCe00,2003-10-26,2003,8,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Cecil Sapp,SappCe00,2003-11-03,2003,9,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Cecil Sapp,SappCe00,1970-01-01,2003,10,BYE,0,0,0,0,0,0,0,0,0,0
0,DEN,Cecil Sapp,SappCe00,2003-11-16,2003,11,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Cecil Sapp,SappCe00,2003-11-23,2003,12,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Cecil Sapp,SappCe00,2003-11-30,2003,13,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Cecil Sapp,SappCe00,2003-12-07,2003,14,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Cecil Sapp,SappCe00,2003-12-14,2003,15,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Cecil Sapp,SappCe00,2003-12-21,2003,16,DNP,0,0,0,0,0,0,0,0,0,0
1,DEN,Cecil Sapp,SappCe00,2003-12-28,2003,17,REG,0,12,31,0,0,0,0,0,0,0
0,DEN,Cecil Sapp,SappCe00,2004-09-12,2004,1,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Cecil Sapp,SappCe00,2004-09-19,2004,2,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Cecil Sapp,SappCe00,2004-09-26,2004,3,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Cecil Sapp,SappCe00,2004-10-03,2004,4,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Cecil Sapp,SappCe00,2004-10-10,2004,5,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Cecil Sapp,SappCe00,2004-10-17,2004,6,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Cecil Sapp,SappCe00,2004-10-25,2004,7,DNP,0,0,0,0,0,0,0,0,0,0
2,DEN,Cecil Sapp,SappCe00,2004-10-31,2004,8,REG,0,0,0,0,0,0,0,0,0,0
3,DEN,Cecil Sapp,SappCe00,2004-11-07,2004,9,REG,0,0,0,0,0,0,0,0,0,0
0,DEN,Cecil Sapp,SappCe00,1970-01-01,2004,10,BYE,0,0,0,0,0,0,0,0,0,0
0,DEN,Cecil Sapp,SappCe00,2004-11-21,2004,11,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Cecil Sapp,SappCe00,2004-11-28,2004,12,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Cecil Sapp,SappCe00,2004-12-05,2004,13,DNP,0,0,0,0,0,0,0,0,0,0
4,DEN,Cecil Sapp,SappCe00,2004-12-12,2004,14,REG,0,0,0,0,0,0,0,0,0,0
0,DEN,Cecil Sapp,SappCe00,2004-12-19,2004,15,DNP,0,0,0,0,0,0,0,0,0,0
5,DEN,Cecil Sapp,SappCe00,2004-12-25,2004,16,REG,0,0,0,0,2,0,0,0,0,0
6,DEN,Cecil Sapp,SappCe00,2005-01-02,2004,17,REG,0,4,32,0,0,0,0,0,0,0
7,DEN,Cecil Sapp,SappCe00,2005-01-09,2004,18,POST,0,0,0,0,0,0,0,0,0,0
8,DEN,Cecil Sapp,SappCe00,2005-09-11,2005,1,REG,0,0,0,0,0,0,0,0,0,0
9,DEN,Cecil Sapp,SappCe00,2005-09-18,2005,2,REG,0,0,0,0,0,0,0,0,0,0
10,DEN,Cecil Sapp,SappCe00,2005-09-26,2005,3,REG,0,0,0,0,1,1,12,0,0,0
11,DEN,Cecil Sapp,SappCe00,2005-10-02,2005,4,REG,0,0,0,0,1,1,5,0,0,0
12,DEN,Cecil Sapp,SappCe00,2005-10-09,2005,5,REG,0,0,0,0,0,0,0,0,0,0
13,DEN,Cecil Sapp,SappCe00,2005-10-16,2005,6,REG,0,0,0,0,0,0,0,0,0,0
14,DEN,Cecil Sapp,SappCe00,2005-10-23,2005,7,REG,0,0,0,0,0,0,0,0,0,0
15,DEN,Cecil Sapp,SappCe00,2005-10-30,2005,8,REG,0,0,0,0,0,0,0,0,0,0
0,DEN,Cecil Sapp,SappCe00,1970-01-01,2005,9,BYE,0,0,0,0,0,0,0,0,0,0
16,DEN,Cecil Sapp,SappCe00,2005-11-13,2005,10,REG,0,0,0,0,0,0,0,0,0,0
17,DEN,Cecil Sapp,SappCe00,2005-11-20,2005,11,REG,0,5,21,0,0,0,0,0,0,0
18,DEN,Cecil Sapp,SappCe00,2005-11-24,2005,12,REG,0,0,0,0,0,0,0,0,0,0
19,DEN,Cecil Sapp,SappCe00,2005-12-04,2005,13,REG,0,0,0,0,0,0,0,0,0,0
20,DEN,Cecil Sapp,SappCe00,2005-12-11,2005,14,REG,0,0,0,0,0,0,0,0,0,0
21,DEN,Cecil Sapp,SappCe00,2005-12-17,2005,15,REG,0,0,0,0,0,0,0,0,0,0
22,DEN,Cecil Sapp,SappCe00,2005-12-24,2005,16,REG,0,0,0,0,0,0,0,0,0,0
23,DEN,Cecil Sapp,SappCe00,2005-12-31,2005,17,REG,0,0,0,0,0,0,0,0,0,0
24,DEN,Cecil Sapp,SappCe00,2006-01-14,2005,19,POST,0,0,0,0,0,0,0,0,0,0
25,DEN,Cecil Sapp,SappCe00,2006-01-22,2005,20,POST,0,0,0,0,1,0,0,0,0,0
0,DEN,Cecil Sapp,SappCe00,2006-09-10,2006,1,DNP,0,0,0,0,0,0,0,0,0,0
26,DEN,Cecil Sapp,SappCe00,2006-09-17,2006,2,REG,0,0,0,0,0,0,0,0,0,0
27,DEN,Cecil Sapp,SappCe00,2006-09-24,2006,3,REG,0,0,0,0,2,1,3,0,0,0
0,DEN,Cecil Sapp,SappCe00,1970-01-01,2006,4,BYE,0,0,0,0,0,0,0,0,0,0
28,DEN,Cecil Sapp,SappCe00,2006-10-09,2006,5,REG,0,3,10,0,0,0,0,0,0,0
29,DEN,Cecil Sapp,SappCe00,2006-10-15,2006,6,REG,0,0,0,0,3,2,4,0,0,0
30,DEN,Cecil Sapp,SappCe00,2006-10-22,2006,7,REG,1,0,0,0,0,0,0,0,0,0
31,DEN,Cecil Sapp,SappCe00,2006-10-29,2006,8,REG,0,2,39,0,1,1,3,0,0,0
32,DEN,Cecil Sapp,SappCe00,2006-11-05,2006,9,REG,0,0,0,0,1,1,7,0,0,0
33,DEN,Cecil Sapp,SappCe00,2006-11-12,2006,10,REG,0,2,6,0,1,1,9,0,0,0
34,DEN,Cecil Sapp,SappCe00,2006-11-19,2006,11,REG,0,1,1,0,0,0,0,0,0,0
35,DEN,Cecil Sapp,SappCe00,2006-11-23,2006,12,REG,0,0,0,0,1,1,7,0,0,0
36,DEN,Cecil Sapp,SappCe00,2006-12-03,2006,13,REG,0,2,24,0,1,1,1,0,0,0
0,DEN,Cecil Sapp,SappCe00,2006-12-10,2006,14,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Cecil Sapp,SappCe00,2006-12-17,2006,15,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Cecil Sapp,SappCe00,2006-12-24,2006,16,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Cecil Sapp,SappCe00,2006-12-31,2006,17,DNP,0,0,0,0,0,0,0,0,0,0
37,DEN,Cecil Sapp,SappCe00,2007-09-09,2007,1,REG,1,3,7,0,0,0,0,0,0,0
38,DEN,Cecil Sapp,SappCe00,2007-09-16,2007,2,REG,1,2,6,1,3,2,18,0,0,0
39,DEN,Cecil Sapp,SappCe00,2007-09-23,2007,3,REG,1,1,12,0,1,1,5,0,0,0
40,DEN,Cecil Sapp,SappCe00,2007-09-30,2007,4,REG,1,0,0,0,1,1,10,0,0,0
41,DEN,Cecil Sapp,SappCe00,2007-10-07,2007,5,REG,0,0,0,0,0,0,0,0,0,0
0,DEN,Cecil Sapp,SappCe00,1970-01-01,2007,6,BYE,0,0,0,0,0,0,0,0,0,0
42,DEN,Cecil Sapp,SappCe00,2007-10-21,2007,7,REG,0,1,3,0,1,1,1,1,0,0
43,DEN,Cecil Sapp,SappCe00,2007-10-29,2007,8,REG,0,0,0,0,1,1,4,0,0,0
44,DEN,Cecil Sapp,SappCe00,2007-11-04,2007,9,REG,0,0,0,0,2,1,2,0,0,0
45,DEN,Cecil Sapp,SappCe00,2007-11-11,2007,10,REG,0,0,0,0,0,0,0,0,0,0
46,DEN,Cecil Sapp,SappCe00,2007-11-19,2007,11,REG,1,0,0,0,2,2,2,0,0,0
47,DEN,Cecil Sapp,SappCe00,2007-11-25,2007,12,REG,1,7,28,1,1,1,4,0,0,0
