CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,DET,Cedric Peerman,PeerCe00,2009-09-13,2009,1,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Cedric Peerman,PeerCe00,2009-09-20,2009,2,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Cedric Peerman,PeerCe00,2009-09-27,2009,3,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Cedric Peerman,PeerCe00,2009-10-04,2009,4,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Cedric Peerman,PeerCe00,2009-10-11,2009,5,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Cedric Peerman,PeerCe00,2009-10-18,2009,6,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Cedric Peerman,PeerCe00,1970-01-01,2009,7,BYE,0,0,0,0,0,0,0,0,0,0
0,DET,Cedric Peerman,PeerCe00,2009-11-01,2009,8,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Cedric Peerman,PeerCe00,2009-11-08,2009,9,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Cedric Peerman,PeerCe00,2009-11-15,2009,10,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Cedric Peerman,PeerCe00,2009-11-22,2009,11,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Cedric Peerman,PeerCe00,2009-11-26,2009,12,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Cedric Peerman,PeerCe00,2009-12-06,2009,13,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Cedric Peerman,PeerCe00,2009-12-13,2009,14,DNP,0,0,0,0,0,0,0,0,0,0
1,DET,Cedric Peerman,PeerCe00,2009-12-20,2009,15,REG,0,0,0,0,0,0,0,0,0,0
2,DET,Cedric Peerman,PeerCe00,2009-12-27,2009,16,REG,0,0,0,0,0,0,0,0,0,0
0,DET,Cedric Peerman,PeerCe00,2010-01-03,2009,17,DNP,0,0,0,0,0,0,0,0,0,0
3,CIN,Cedric Peerman,PeerCe00,2010-09-12,2010,1,REG,0,0,0,0,0,0,0,0,0,0
4,CIN,Cedric Peerman,PeerCe00,2010-09-19,2010,2,REG,0,0,0,0,0,0,0,0,0,0
0,CIN,Cedric Peerman,PeerCe00,2010-09-26,2010,3,DNP,0,0,0,0,0,0,0,0,0,0
0,CIN,Cedric Peerman,PeerCe00,2010-10-03,2010,4,DNP,0,0,0,0,0,0,0,0,0,0
0,CIN,Cedric Peerman,PeerCe00,2010-10-10,2010,5,DNP,0,0,0,0,0,0,0,0,0,0
0,CIN,Cedric Peerman,PeerCe00,1970-01-01,2010,6,BYE,0,0,0,0,0,0,0,0,0,0
5,CIN,Cedric Peerman,PeerCe00,2010-10-24,2010,7,REG,0,0,0,0,0,0,0,0,0,0
6,CIN,Cedric Peerman,PeerCe00,2010-10-31,2010,8,REG,0,0,0,0,0,0,0,0,0,0
0,CIN,Cedric Peerman,PeerCe00,2010-11-08,2010,9,DNP,0,0,0,0,0,0,0,0,0,0
0,CIN,Cedric Peerman,PeerCe00,2010-11-14,2010,10,DNP,0,0,0,0,0,0,0,0,0,0
0,CIN,Cedric Peerman,PeerCe00,2010-11-21,2010,11,DNP,0,0,0,0,0,0,0,0,0,0
7,CIN,Cedric Peerman,PeerCe00,2010-11-25,2010,12,REG,0,0,0,0,0,0,0,0,0,0
0,CIN,Cedric Peerman,PeerCe00,2010-12-05,2010,13,DNP,0,0,0,0,0,0,0,0,0,0
0,CIN,Cedric Peerman,PeerCe00,2010-12-12,2010,14,DNP,0,0,0,0,0,0,0,0,0,0
0,CIN,Cedric Peerman,PeerCe00,2010-12-19,2010,15,DNP,0,0,0,0,0,0,0,0,0,0
8,CIN,Cedric Peerman,PeerCe00,2010-12-26,2010,16,REG,0,1,1,0,1,0,0,0,0,0
9,CIN,Cedric Peerman,PeerCe00,2011-01-02,2010,17,REG,0,1,0,0,2,1,11,0,0,0
0,CIN,Cedric Peerman,PeerCe00,2011-09-11,2011,1,DNP,0,0,0,0,0,0,0,0,0,0
10,CIN,Cedric Peerman,PeerCe00,2011-09-18,2011,2,REG,0,0,0,0,0,0,0,0,0,0
11,CIN,Cedric Peerman,PeerCe00,2011-09-25,2011,3,REG,0,0,0,0,0,0,0,0,0,0
12,CIN,Cedric Peerman,PeerCe00,2011-10-02,2011,4,REG,0,0,0,0,0,0,0,0,0,0
13,CIN,Cedric Peerman,PeerCe00,2011-10-09,2011,5,REG,0,0,0,0,0,0,0,0,0,0
14,CIN,Cedric Peerman,PeerCe00,2011-10-16,2011,6,REG,0,0,0,0,0,0,0,0,0,0
0,CIN,Cedric Peerman,PeerCe00,1970-01-01,2011,7,BYE,0,0,0,0,0,0,0,0,0,0
15,CIN,Cedric Peerman,PeerCe00,2011-10-30,2011,8,REG,0,0,0,0,0,0,0,0,0,0
