CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,MIA,Charles Clay,ClayCh00,2011-09-12,2011,1,DNP,0,0,0,0,0,0,0,0,0,0
0,MIA,Charles Clay,ClayCh00,2011-09-18,2011,2,DNP,0,0,0,0,0,0,0,0,0,0
1,MIA,Charles Clay,ClayCh00,2011-09-25,2011,3,REG,1,0,0,0,1,0,0,0,0,0
2,MIA,Charles Clay,ClayCh00,2011-10-02,2011,4,REG,1,0,0,0,2,2,34,0,0,0
0,MIA,Charles Clay,ClayCh00,1970-01-01,2011,5,BYE,0,0,0,0,0,0,0,0,0,0
3,MIA,Charles Clay,ClayCh00,2011-10-17,2011,6,REG,1,0,0,0,2,0,0,0,0,0
4,MIA,Charles Clay,ClayCh00,2011-10-23,2011,7,REG,0,0,0,0,1,1,29,0,0,0
5,MIA,Charles Clay,ClayCh00,2011-10-30,2011,8,REG,1,0,0,0,1,1,16,0,0,0
6,MIA,Charles Clay,ClayCh00,2011-11-06,2011,9,REG,1,0,0,0,3,3,50,0,0,0
7,MIA,Charles Clay,ClayCh00,2011-11-13,2011,10,REG,1,0,0,0,2,1,4,0,0,0
8,MIA,Charles Clay,ClayCh00,2011-11-20,2011,11,REG,1,0,0,0,4,4,69,1,0,0
9,MIA,Charles Clay,ClayCh00,2011-11-24,2011,12,REG,1,0,0,0,2,1,-1,0,0,0
10,MIA,Charles Clay,ClayCh00,2011-12-04,2011,13,REG,0,0,0,0,2,0,0,0,0,0
11,MIA,Charles Clay,ClayCh00,2011-12-11,2011,14,REG,0,0,0,0,0,0,0,0,0,0
12,MIA,Charles Clay,ClayCh00,2011-12-18,2011,15,REG,1,0,0,0,1,1,30,0,0,0
13,MIA,Charles Clay,ClayCh00,2011-12-24,2011,16,REG,0,0,0,0,3,1,1,1,0,0
14,MIA,Charles Clay,ClayCh00,2012-01-01,2011,17,REG,0,0,0,0,1,1,1,1,0,0
15,MIA,Charles Clay,ClayCh00,2012-09-09,2012,1,REG,1,0,0,0,1,0,0,0,36,2
16,MIA,Charles Clay,ClayCh00,2012-09-16,2012,2,REG,0,0,0,0,3,1,2,0,14,2
17,MIA,Charles Clay,ClayCh00,2012-09-23,2012,3,REG,1,0,0,0,0,0,0,0,36,6
18,MIA,Charles Clay,ClayCh00,2012-09-30,2012,4,REG,1,0,0,0,1,0,0,0,21,1
19,MIA,Charles Clay,ClayCh00,2012-10-07,2012,5,REG,1,0,0,0,5,3,35,0,21,0
20,MIA,Charles Clay,ClayCh00,2012-10-14,2012,6,REG,0,0,0,0,2,1,8,0,12,1
0,MIA,Charles Clay,ClayCh00,1970-01-01,2012,7,BYE,0,0,0,0,0,0,0,0,0,0
21,MIA,Charles Clay,ClayCh00,2012-10-28,2012,8,REG,0,0,0,0,1,0,0,0,28,1
22,MIA,Charles Clay,ClayCh00,2012-11-04,2012,9,REG,1,0,0,0,1,1,31,1,34,2
23,MIA,Charles Clay,ClayCh00,2012-11-11,2012,10,REG,1,0,0,0,4,1,15,0,22,2
24,MIA,Charles Clay,ClayCh00,2012-11-15,2012,11,REG,1,0,0,0,2,0,0,0,15,0
25,MIA,Charles Clay,ClayCh00,2012-11-25,2012,12,REG,0,0,0,0,6,6,84,1,37,0
26,MIA,Charles Clay,ClayCh00,2012-12-02,2012,13,REG,1,0,0,0,3,2,26,0,31,0
27,MIA,Charles Clay,ClayCh00,2012-12-09,2012,14,REG,0,0,0,0,2,1,3,0,16,5
28,MIA,Charles Clay,ClayCh00,2012-12-16,2012,15,REG,1,0,0,0,2,2,8,0,9,2
0,MIA,Charles Clay,ClayCh00,2012-12-23,2012,16,DNP,0,0,0,0,0,0,0,0,0,0
0,MIA,Charles Clay,ClayCh00,2012-12-30,2012,17,DNP,0,0,0,0,0,0,0,0,0,0
29,MIA,Charles Clay,ClayCh00,2013-09-08,2013,1,REG,1,0,0,0,6,5,54,0,62,5
30,MIA,Charles Clay,ClayCh00,2013-09-15,2013,2,REG,1,1,1,1,7,5,109,0,53,1
31,MIA,Charles Clay,ClayCh00,2013-09-22,2013,3,REG,1,0,0,0,6,4,40,0,46,2
32,MIA,Charles Clay,ClayCh00,2013-09-30,2013,4,REG,1,0,0,0,6,6,42,1,50,2
33,MIA,Charles Clay,ClayCh00,2013-10-06,2013,5,REG,1,0,0,0,6,3,52,1,48,0
0,MIA,Charles Clay,ClayCh00,1970-01-01,2013,6,BYE,0,0,0,0,0,0,0,0,0,0
34,MIA,Charles Clay,ClayCh00,2013-10-20,2013,7,REG,0,0,0,0,3,1,7,1,54,2
35,MIA,Charles Clay,ClayCh00,2013-10-27,2013,8,REG,1,1,1,0,8,5,37,0,67,4
36,MIA,Charles Clay,ClayCh00,2013-10-31,2013,9,REG,1,1,13,0,3,3,22,0,56,4
37,MIA,Charles Clay,ClayCh00,2013-11-11,2013,10,REG,1,2,0,0,8,4,21,0,42,8
38,MIA,Charles Clay,ClayCh00,2013-11-17,2013,11,REG,1,0,0,0,7,6,90,1,47,5
39,MIA,Charles Clay,ClayCh00,2013-11-24,2013,12,REG,1,0,0,0,7,4,27,0,46,4
40,MIA,Charles Clay,ClayCh00,2013-12-01,2013,13,REG,1,1,0,0,10,7,80,0,69,2
41,MIA,Charles Clay,ClayCh00,2013-12-08,2013,14,REG,1,0,0,0,10,7,97,2,54,5
42,MIA,Charles Clay,ClayCh00,2013-12-15,2013,15,REG,1,0,0,0,2,1,6,0,50,5
43,MIA,Charles Clay,ClayCh00,2013-12-22,2013,16,REG,1,0,0,0,7,4,32,0,52,6
44,MIA,Charles Clay,ClayCh00,2013-12-29,2013,17,REG,1,1,0,0,6,4,43,0,59,5
45,MIA,Charles Clay,ClayCh00,2014-09-07,2014,1,REG,1,0,0,0,6,2,27,0,66,0
46,MIA,Charles Clay,ClayCh00,2014-09-14,2014,2,REG,1,0,0,0,8,7,31,0,55,0
47,MIA,Charles Clay,ClayCh00,2014-09-21,2014,3,REG,1,0,0,0,4,3,21,0,56,0
