CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,BAL,Chris Collier,CollCh01,2024-09-05,2024,1,DNP,0,0,0,0,0,0,0,0,0,0
0,BAL,Chris Collier,CollCh01,2024-09-15,2024,2,DNP,0,0,0,0,0,0,0,0,0,0
1,BAL,Chris Collier,CollCh01,2024-09-22,2024,3,REG,0,0,0,0,0,0,0,0,0,1
0,BAL,Chris Collier,CollCh01,2024-09-29,2024,4,DNP,0,0,0,0,0,0,0,0,0,0
2,BAL,Chris Collier,CollCh01,2024-10-06,2024,5,REG,0,0,0,0,0,0,0,0,0,11
0,BAL,Chris Collier,CollCh01,2024-10-13,2024,6,DNP,0,0,0,0,0,0,0,0,0,0
3,BAL,Chris Collier,CollCh01,2024-10-21,2024,7,REG,0,0,0,0,0,0,0,0,0,6
4,BAL,Chris Collier,CollCh01,2024-10-27,2024,8,REG,0,0,0,0,0,0,0,0,0,7
5,BAL,Chris Collier,CollCh01,2024-11-03,2024,9,REG,0,0,0,0,0,0,0,0,3,3
0,BAL,Chris Collier,CollCh01,2024-11-07,2024,10,DNP,0,0,0,0,0,0,0,0,0,0
0,BAL,Chris Collier,CollCh01,2024-11-17,2024,11,DNP,0,0,0,0,0,0,0,0,0,0
0,BAL,Chris Collier,CollCh01,2024-11-25,2024,12,DNP,0,0,0,0,0,0,0,0,0,0
0,BAL,Chris Collier,CollCh01,2024-12-01,2024,13,DNP,0,0,0,0,0,0,0,0,0,0
0,BAL,Chris Collier,CollCh01,1970-01-01,2024,14,BYE,0,0,0,0,0,0,0,0,0,0
0,BAL,Chris Collier,CollCh01,2024-12-15,2024,15,DNP,0,0,0,0,0,0,0,0,0,0
6,LVR,Chris Collier,CollCh01,2024-12-22,2024,16,REG,0,0,0,0,0,0,0,0,0,8
7,LVR,Chris Collier,CollCh01,2024-12-29,2024,17,REG,0,3,6,0,0,0,0,0,3,9
8,LVR,Chris Collier,CollCh01,2025-01-05,2024,18,REG,0,2,6,0,2,1,-4,0,13,13
